Date,Open,High,Low,Close,Adj Close,Volume,Transactions,Block Size,Difficulty,Hashrate,Active Addressses
2017-11-09,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,7143.580078125,3226249984,341128.0,948715.0,1452839779146.0,1.0443039018574e+19,820490.0
2017-11-10,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,6618.14013671875,5208249856,271625.0,957897.0,1423367213139.0,1.0107467229016e+19,692632.0
2017-11-11,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,6357.60009765625,4908680192,194554.0,955967.0,1364422081125.0,6.857210551434758e+18,536909.0
2017-11-12,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,5950.06982421875,8957349888,185886.0,961424.0,1364422081125.0,4.877691413320036e+18,434508.0
2017-11-13,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6559.490234375,6263249920,309159.0,961228.0,1364422081125.0,7.975361239017197e+18,766736.0
2017-11-14,6561.47998046875,6764.97998046875,6461.75,6635.75,6635.75,3197110016,271867.0,947941.0,1364422081125.0,9.2459004168841e+18,730693.0
2017-11-15,6634.759765625,7342.25,6634.759765625,7315.5400390625,7315.5400390625,4200880128,321636.0,961319.0,1364422081125.0,9.2472934848732e+18,656508.0
2017-11-16,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,7871.68994140625,5123809792,310244.0,945289.0,1364422081125.0,1.0236336834849e+19,
2017-11-17,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,7708.990234375,4651670016,306450.0,959494.0,1364422081125.0,1.1249888872356e+19,841753.0
2017-11-18,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,7790.14990234375,3667190016,270738.0,972039.0,1364422081125.0,9.7877743994892e+18,722113.0
2017-11-19,7766.02978515625,8101.91015625,7694.10009765625,8036.490234375,8036.490234375,3149319936,264695.0,965985.0,1364422081125.0,1.0610146610005e+19,803338.0
2017-11-20,8039.06982421875,8336.8603515625,7949.35986328125,8200.6396484375,8200.6396484375,3488450048,336029.0,945862.0,1364422081125.0,1.0725128329638e+19,836952.0
2017-11-21,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,8071.259765625,4277609984,370918.0,962086.0,1364422081125.0,1.2083318296671e+19,844422.0
2017-11-22,8077.9501953125,8302.259765625,8075.47021484375,8253.5498046875,8253.5498046875,3633530112,311885.0,967813.0,1364422081125.0,1.1401944052329e+19,744622.0
2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,8038.77001953125,4225179904,352050.0,961757.0,1364422081125.0,9.9350857701065e+18,835255.0
2017-11-24,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,8253.6904296875,5058610176,305586.0,956760.0,1361966821649.0,1.0703603807436e+19,792418.0
2017-11-25,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,8790.919921875,4342060032,336533.0,966995.0,1347001430559.0,1.0284693888201e+19,838662.0
2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,9330.5498046875,5475579904,329524.0,957944.0,1347001430559.0,1.0256587326362e+19,791025.0
2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,9818.349609375,5653320192,379086.0,958452.0,1347001430559.0,1.0792945817706e+19,895407.0
2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,10058.7998046875,6348819968,365821.0,963751.0,1347001430559.0,1.0898768696391e+19,857193.0
2017-11-29,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,9888.6103515625,11568799744,397917.0,966491.0,1347001430559.0,1.1339673969867e+19,989871.0
2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,10233.599609375,8310689792,384219.0,974912.0,1347001430559.0,1.1332783272019e+19,934600.0
2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,10975.599609375,6783119872,412725.0,972686.0,1347001430559.0,1.1496552266387e+19,961135.0
2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096,326193.0,961585.0,1347001430559.0,1.1887072177598e+19,808982.0
2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,11323.2001953125,6608309760,352868.0,970221.0,1347001430559.0,1.1051307391562e+19,846141.0
2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,11657.2001953125,6132409856,400505.0,974881.0,1347001430559.0,1.2256573657714e+19,991943.0
2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,11916.7001953125,6895260160,405531.0,963049.0,1347001430559.0,1.1937893032851e+19,971003.0
2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032,443399.0,963853.0,1407975304733.0,1.3342796634339e+19,1072008.0
2017-12-07,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17899.69921875,17950699520,374765.0,947623.0,1590896927258.0,1.3007740610577e+19,871878.0
2017-12-08,17802.900390625,18353.400390625,14336.900390625,16569.400390625,16569.400390625,21135998976,384936.0,963467.0,1590896927258.0,1.2214283282461e+19,966052.0
2017-12-09,16523.30078125,16783.0,13674.900390625,15178.2001953125,15178.2001953125,13911300096,403225.0,972997.0,1590896927258.0,1.2986869909354e+19,984629.0
2017-12-10,15168.400390625,15850.599609375,13226.599609375,15455.400390625,15455.400390625,13433299968,341256.0,970716.0,1590896927258.0,1.3742019185411e+19,961658.0
2017-12-11,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,16936.80078125,12153900032,368427.0,969819.0,1590896927258.0,1.3318752795891e+19,977830.0
2017-12-12,16919.80078125,17781.80078125,16571.599609375,17415.400390625,17415.400390625,14603799552,372821.0,968749.0,1590896927258.0,1.3118380983427e+19,972328.0
2017-12-13,17500.0,17653.099609375,16039.7001953125,16408.19921875,16408.19921875,12976900096,424393.0,978753.0,1590896927258.0,1.3163876274379e+19,1090944.0
2017-12-14,16384.599609375,17085.80078125,16185.900390625,16564.0,16564.0,13777399808,490459.0,969229.0,1590896927258.0,1.4878857260313e+19,1133157.0
2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616,405507.0,970441.0,1590896927258.0,1.4220037479151e+19,1036971.0
2017-12-16,17760.30078125,19716.69921875,17515.30078125,19497.400390625,19497.400390625,12740599808,364051.0,971096.0,1590896927258.0,1.3163479627416e+19,949920.0
2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936,391725.0,969545.0,1590896927258.0,1.4393648748103e+19,1012311.0
2017-12-18,19106.400390625,19371.0,18355.900390625,19114.19921875,19114.19921875,14839499776,394057.0,968767.0,1718045833483.0,1.5317054913971e+19,1004904.0
2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840,378482.0,968040.0,1873105475222.0,1.5108397906927e+19,855045.0
2017-12-20,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,16624.599609375,22149699584,370141.0,973454.0,1873105475222.0,1.3506766084755e+19,918969.0
2017-12-21,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,15802.900390625,16516599808,335350.0,954314.0,1873105475222.0,1.2572536031212e+19,856302.0
2017-12-22,15898.0,15943.400390625,11833.0,13831.7998046875,13831.7998046875,22197999616,380493.0,976936.0,1873105475222.0,1.3044816129128e+19,959550.0
2017-12-23,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,14699.2001953125,13086000128,308072.0,977629.0,1873105475222.0,1.3816847402563e+19,888892.0
2017-12-24,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,13925.7998046875,11572299776,279371.0,976364.0,1873105475222.0,1.3664759948603e+19,925819.0
2017-12-25,13995.900390625,14593.0,13448.900390625,14026.599609375,14026.599609375,10664699904,228791.0,970845.0,1873105475222.0,1.342085265722e+19,758165.0
2017-12-26,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,16099.7998046875,13454300160,247298.0,971543.0,1873105475222.0,1.276354978401e+19,753514.0
2017-12-27,16163.5,16930.900390625,15114.2998046875,15838.5,15838.5,12487600128,307486.0,958074.0,1873105475222.0,1.4293912778301e+19,921366.0
2017-12-28,15864.099609375,15888.400390625,13937.2998046875,14606.5,14606.5,12336499712,304904.0,969909.0,1873105475222.0,1.4249239951851e+19,865808.0
2017-12-29,14695.7998046875,15279.0,14307.0,14656.2001953125,14656.2001953125,13025500160,353659.0,973728.0,1873105475222.0,1.432565620064e+19,959700.0
2017-12-30,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,12952.2001953125,14452599808,344260.0,958150.0,1873105475222.0,1.4328464009214e+19,874666.0
2017-12-31,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,14156.400390625,12136299520,290259.0,960776.0,1873105475222.0,1.5171616924443e+19,847972.0
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,241601.0,966169.0,1922580604981.0,1.5048148877267e+19,842391.0
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192,340809.0,968332.0,1931136454488.0,1.5957984830432e+19,982159.0
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,15201.0,16871900160,395806.0,975882.0,1931136454488.0,1.4891406580385e+19,953442.0
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,15599.2001953125,21783199744,424840.0,975713.0,1931136454488.0,1.6436908415446e+19,1071574.0
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072,342564.0,974894.0,1931136454488.0,1.5024039248099e+19,951484.0
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,17527.0,18314600448,358679.0,971532.0,1931136454488.0,1.4943722703185e+19,1043134.0
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,16477.599609375,15866000384,368025.0,973489.0,1931136454488.0,1.5835890599768e+19,994708.0
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,15170.099609375,18413899776,345506.0,955491.0,1931136454488.0,1.556454028144e+19,1022976.0
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,14595.400390625,16659999744,360101.0,971298.0,1931136454488.0,1.5884650830191e+19,985166.0
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,347227.0,970310.0,1931136454488.0,1.6501710256999e+19,989424.0
