Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2017-11-09,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,7143.580078125,3226249984,16672362.5,119100364751.14284,1023323.1736111112,1.0133370025986875e+19,0.0010432665981424,1452839779145.9192,885927.0,489808,325788305,324946,141515.354307,1960703.01860312
2017-11-10,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,6618.14013671875,5208249856,16674037.5,110351108678.32538,1045937.2388059702,1.0116605303472554e+19,0.0011273457960193,1364422081125.1477,856715.0,455920,326244225,298146,141655.509897,1970605.82711277
2017-11-11,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,6357.60009765625,4908680192,16675262.5,106014683067.29485,1045212.6632653062,9.868472742060816e+18,0.0014598107851319,1364422081125.1477,672609.0,366293,326610518,233171,141757.940738,1754424.36102834
2017-11-12,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,5950.06982421875,8957349888,16676000.0,99223413244.20316,1048056.5423728812,9.108560728400191e+18,0.0026731142162759,1364422081125.1477,446955.0,227933,326838451,143807,141819.776074,1201826.6532878
2017-11-13,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6559.490234375,6263249920,16677737.5,109397472549.61446,1054664.0,8.956033349744714e+18,0.0027455827475069,1364422081125.1477,901647.0,477044,327315495,306547,141966.37437,3856182.67321187
2017-11-14,6561.47998046875,6764.97998046875,6461.75,6635.75,6635.75,3197110016,16679387.5,110680221170.491,1017934.803030303,8.804370220570348e+18,0.002324800902607,1364422081125.1477,841850.0,429808,327745303,280698,142100.741764,3819307.0382225
2017-11-15,6634.759765625,7342.25,6634.759765625,7315.5400390625,7315.5400390625,4200880128,16681000.0,122030523391.55986,1052197.03875969,8.6998201070656e+18,0.0020760244269843,1364422081125.1477,838231.0,428858,328174161,278858,142236.475182,2555595.26874904
2017-11-16,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,7871.68994140625,5123809792,16683000.0,131323444022.41922,1032840.8,8.608993103646905e+18,0.0016687406257846,1364422081125.1477,933102.0,482396,328656557,328180,142401.72971,3838529.59856951
2017-11-17,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,7708.990234375,4651670016,16685087.5,128625249920.39336,1039190.6047904192,8.671586467113571e+18,0.0013891834209085,1364422081125.1477,967179.0,471796,329128353,328822,142575.274541,3648257.45612164
2017-11-18,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,7790.14990234375,3667190016,16686775.0,129992519375.8789,1032437.2148148149,8.659154796806076e+18,0.0011758399355828,1364422081125.1477,857269.0,402666,329531019,264681,142714.653565,2698296.52471144
