Date,Open,High,Low,Close,Adj Close,Volume,Transaction Count,Block Size,Difficulty,Hash Rate,Active Addresses
09/11/2017,308.644989,329.4519958,307.0559998,320.8840027,320.8840027,893249984,467172,13929,1420593057400400,114115178304720,278497
10/11/2017,320.67099,324.7179871,294.5419922,299.2529907,299.2529907,885985984,457427,13413,1429591654465600,115763909074260,274759
11/11/2017,298.5859985,319.4530029,298.1919861,314.6809998,314.6809998,842300992,394378,12665,1437743883884800,115717580582960,235263
12/11/2017,314.6900024,319.1530151,298.5130005,307.9079895,307.9079895,1613479936,434380,13233,1487331219801000,118255012784580,274397
13/11/2017,307.0249939,328.4150085,307.0249939,316.7160034,316.7160034,1041889984,443176,14443,1456779199764700,117460009362610,261901
14/11/2017,316.7630005,340.177002,316.7630005,337.631012,337.631012,1069680000,475984,16232,1448755022989000,114720045808620,288176
15/11/2017,337.9639893,340.9119873,329.8129883,333.3569946,333.3569946,722665984,540530,16453,1424360270396600,115345249990620,331730
16/11/2017,333.4429932,336.1589966,323.6059875,330.9240112,330.9240112,797254016,491482,15278,1397135204661100,111674481405850,292710
17/11/2017,330.1669922,334.9639893,327.5230103,332.3940125,332.3940125,621732992,508590,15301,1403215940839900,112607951497860,312500
18/11/2017,331.980011,349.6159973,327.6870117,347.6119995,347.6119995,649638976,459679,14628,1389738236610400,111518292601010,271282
19/11/2017,347.401001,371.2909851,344.7399902,354.3859863,354.3859863,1181529984,464563,14551,1402316828783890,112978516905890,277180
20/11/2017,354.0939941,372.1369934,353.2890015,366.730011,366.730011,807027008,530141,16654,1489214248965400,120194442743430,316000
21/11/2017,367.4429932,372.4700012,350.6929932,360.401001,360.401001,949912000,524044,16182,1471462729491700,118772015929330,321852
22/11/2017,360.3120117,381.4200134,360.1470032,380.6520081,380.6520081,800819008,546489,15978,1462847884820400,118388702119580,327822
23/11/2017,381.4389954,425.5480042,376.0880127,410.1659851,410.1659851,1845680000,537068,16029,1518894148327600,122149426220030,327080
24/11/2017,412.5010071,480.9729919,402.7579956,474.9110107,474.9110107,2292829952,525446,15104,1549354765785600,124807826681320,317272
25/11/2017,475.6759949,485.1919861,461.053009,466.276001,466.276001,1422080000,561139,16194,1562072389670500,125319280437740,313369
26/11/2017,465.973999,472.7229919,451.6059875,471.3299866,471.3299866,1197779968,542484,16099,1553379593941100,125155284202080,316791
27/11/2017,471.5310059,493.4049988,468.4849854,480.355011,480.355011,1396480000,608695,22187,1537205170278200,123422418656400,384202
28/11/2017,480.5180054,482.480011,466.3469849,472.9020081,472.9020081,1346499968,638989,18980,1508042853624900,121376286665420,406223
29/11/2017,473.2810059,522.3070068,425.0710144,427.5230103,427.5230103,2675940096,663579,18539,1520780408250060,123410568062090,444408
30/11/2017,431.2149963,465.4970093,401.2430115,447.1140137,447.1140137,1903040000,655457,18059,1542745956194400,124818010753220,419979
01/12/2017,445.2090149,472.6090088,428.3120117,466.5400085,466.5400085,1247879936,622720,18184,1546949558356100,125497470346090,382970
02/12/2017,466.8510132,476.2390137,456.6530151,463.4490051,463.4490051,943649984,627785,17954,1570293136111000,125605486490460,391241
03/12/2017,463.7049866,482.8139954,451.8519897,465.8529968,465.8529968,990556992,693808,19326,1509751249390500,121857522474160,426281
04/12/2017,466.0539856,474.7770081,453.3120117,470.20401,470.20401,1005550016,701834,19741,1530846399225200,125843696025640,431939
05/12/2017,470.2940063,473.5580139,457.6600037,463.2810059,463.2810059,1216720000,693090,19800,1477492059096120,123438986759100,421335
06/12/2017,462.6040039,462.7080078,420.2099915,428.5880127,428.5880127,1998259968,791746,21174,1468449809695800,123624915809870,594336
07/12/2017,426.368988,441.3970032,414.4110107,434.4079895,434.4079895,2129570048,659068,17899,1480719151843200,125156984627450,406948
08/12/2017,434.9890137,466.0620117,422.3670044,456.0310059,456.0310059,2336379904,766411,21220,1552890438945500,127319291958280,467737
09/12/2017,457.3439941,504.1470032,456.2529907,473.5020142,473.5020142,2003849984,707223,19891,1553202155649200,128293290537240,438871
10/12/2017,472.7890015,472.7890015,429.5140076,441.7210083,441.7210083,1404179968,716575,20864,1549426798576300,126709536570270,420596
11/12/2017,440.3580017,516.9689941,439.1040039,515.1359863,515.1359863,1771440000,828899,23554,1575712167783500,128319253114190,519028
12/12/2017,522.2860107,657.3179932,504.493988,651.4310303,651.4310303,5179829760,872340,25607,1556260952137900,128981535002790,576639
13/12/2017,644.9060059,747.992981,597.7979736,702.7670288,702.7670288,4524539904,909631,26216,1612737499302200,134036381500000,625388
14/12/2017,700.5939941,753.1209717,664.9890137,695.815979,695.815979,3821580032,942559,26049,1641299123634800,137612597335270,672131
15/12/2017,696.3759766,697.132019,621.0609741,684.447998,684.447998,2758710016,904346,26180,1716279356076900,143725774606250,611570
16/12/2017,686.1920166,718.3850098,680.7860107,696.2089844,696.2089844,2165690112,899857,26389,1740332446347650,141972695379730,594374
