Date,Open,High,Low,Close,Adj Close,Volume,ETH Gas price,ETH total supply,ETH daily transaction fee,Gas utilization rate of ETH,ETH daily new contracts,ETH market cap,ETH average daily block size,ETH average computing power of the entire network,ETH average daily transaction fee,ETH mining difficulty,ETH number of daily active addresses,Number of new addresses added per day on ETH,ETH number of daily transactions on the chain,ETH daily transaction volume on the chain
2017-11-09,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,320.8840026855469,893249984,1.3721729100368306e-08,95621566.74948,350.56,61.650000000000006,48579,29549597070.132557,14340.61588330632,102083248747923.56,0.0007234933070264871,1429281316924040.0,262399,107924.0,484538,18200819.185969677
2017-11-10,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,299.25299072265625,885985984,1.295270644039722e-08,95641919.78073,299.08,55.23,41795,29235520706.271828,13392.91214262769,102535985307398.84,0.0006678203396264332,1422935929759078.8,240748,100455.0,447845,13675881.173931152
2017-11-11,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,314.6809997558594,842300992,1.0083931932628696e-08,95662317.06198,235.87,55.400000000000006,34364,28932120163.52641,12942.124363867684,104517379861156.44,0.0005602413215681152,1435331009994017.2,231360,90339.0,421015,13204121.530113423
2017-11-12,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,307.9079895019531,1613479936,1.2607239573911662e-08,95682834.99948,292.63,54.83,27913,29390147269.422184,13245.320964161116,108505204166621.2,0.0006718631615199173,1485858735566387.5,223189,95159.0,435550,18208651.15907772
2017-11-13,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,316.71600341796875,1041889984,1.2704900458602226e-08,95702942.68698,306.1,58.25,30092,30304908659.45377,14180.349025974028,103970872583317.23,0.0006961548870709869,1458006217591902.5,231483,92372.0,439701,13980422.350758092
2017-11-14,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,337.6310119628906,1069680000,1.2931274254016254e-08,95723316.06198,324.83,60.16,25869,30776164950.06106,15258.77375783888,104914023853573.1,0.0007117455656956297,1456715529659390.0,235116,87794.0,456385,10719957.021519668
2017-11-15,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,333.35699462890625,722665984,1.32212901069896e-08,95743573.93698,355.94,64.96,29221,32138369467.63073,16680.902964522924,102210036325863.06,0.0006855322533738303,1430493381053852.5,263525,105824.0,519217,15519724.668040773
2017-11-16,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,330.92401123046875,797254016,1.4339237903526274e-08,95763926.78073,374.48,62.85,36174,31721949793.092453,15262.72338019066,100295169044710.95,0.0007481041688308576,1400193820071676.8,263389,100843.0,500572,15001357.925389169
2017-11-17,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,332.3940124511719,621732992,1.5476517379759683e-08,95784172.09323,415.81,64.52,34277,31984500494.937363,15981.48637316562,100675831189431.95,0.0007875905385338061,1402657899028116.5,273635,99736.0,527952,16954653.419076663
2017-11-18,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,347.61199951171875,649638976,1.0621282381959089e-08,95804612.59323,267.6,60.36,28117,31559559140.61171,14758.840894465897,100314037941843.69,0.0005657373718581598,1394308635173961.0,232491,108734.0,473011,14026396.60689896
