Date,Open,High,Low,Close,Adj Close,Volume,Transaction Count,Block Size,Difficulty,Hash Rate,Active Addresses
09/11/2017,62.48960114,66.83830261,61.72579956,64.2696991,64.2696991,279652992,29077,23252,1033230,28985094798528,61141
10/11/2017,64.436203,65.89640045,56.91320038,59.26010132,59.26010132,291596000,29698,21139,1032491,32510690431180,63062
11/11/2017,59.34889984,63.71160126,59.24219894,62.30329895,62.30329895,272494016,25978,20012,1032169,33456814194287,69496
12/11/2017,62.30920029,62.30920029,57.41339874,59.00540161,59.00540161,322820000,34159,23095,1032169,34542027423952,83931
13/11/2017,59.17580032,62.76440048,58.84870148,61.39649963,61.39649963,237478000,26605,23983,1120077,35012758836997,70442
14/11/2017,61.64289856,63.81240082,60.86610031,62.67959976,62.67959976,174111008,24375,20100,1180126,31731188805113,55356
15/11/2017,62.77519989,65.52469635,62.70880127,63.82360077,63.82360077,194636000,26290,25304,1180126,31332375455064,69656
16/11/2017,63.8091011,72.47910309,62.93740082,71.06020355,71.06020355,418128992,30400,27770,1180126,31159338976429,65263
17/11/2017,70.4484024,71.11840057,65.78179932,67.56900024,67.56900024,350504992,31024,31210,1094517,28318689012874,79350
18/11/2017,67.40519714,69.76560211,65.7141037,69.64369965,69.64369965,174063008,24365,18052,1074554,32683408969026,58726
19/11/2017,69.51190186,72.98079681,68.60420227,71.58930206,71.58930206,243056992,23815,16674,1074554,34851312529383,63657
20/11/2017,71.41300201,72.91840363,70.79299927,72.25279999,72.25279999,188976000,29536,21737,1154132,40239311922335,81525
21/11/2017,72.19680023,72.53450012,68.10939789,70.02829742,70.02829742,231664992,29760,24510,1198322,37946690170797,80660
22/11/2017,70.18219757,71.9509964,70.18219757,71.89279938,71.89279938,157890000,28407,25061,1198322,33109468140896,78751
23/11/2017,71.97509766,76.39679718,70.90280151,73.2233963,73.2233963,315247008,30623,26690,1203038,33640139245821,74092
24/11/2017,73.14189911,77.96829987,72.81230164,77.96829987,77.96829987,287392000,28816,25022,1222794,34257635840323,78102
25/11/2017,77.90869904,89.36720276,77.52230072,88.81690216,88.81690216,487896992,33856,28668,1222794,33927076719585,84456
26/11/2017,88.93930054,88.93930054,84.01730347,85.92680359,85.92680359,357456992,33004,24362,1222794,36836001477524,77131
27/11/2017,85.88970184,93.28620148,85.88970184,91.60269928,91.60269928,429591008,40417,26287,1252346,42995542523584,101664
28/11/2017,91.72399902,96.03379822,90.33979797,96.03379822,96.03379822,388931008,43480,28035,1260381,42423879578297,102115
29/11/2017,96.01249695,104.6090012,81.76809692,85.57099915,85.57099915,786819968,55781,33814,1260381,41870089455933,121354
30/11/2017,86.24669647,93.53990173,78.07540131,88.33070374,88.33070374,481948000,42914,34904,1466130,48684551259252,109459
01/12/2017,88.00350189,100.4120026,83.73829651,99.00370026,99.00370026,561342976,40679,35100,1502826,40535693430104,100824
02/12/2017,98.9414978,103.7949982,98.31590271,100.2839966,100.2839966,402553984,38855,35059,1502826,37958822333257,90964
03/12/2017,100.1949997,106.3909988,98.10160065,101.2630005,101.2630005,364022016,39697,32422,1492736,39560471531260,103862
04/12/2017,101.3960037,104.2360001,96.53250122,104.2360001,104.2360001,331151008,45698,28212,1391827,44047606317598,109777
05/12/2017,104.2770004,104.3030014,101.8399963,102.3970032,102.3970032,328726016,53733,33833,1391827,44132453863247,123361
06/12/2017,102.4779968,104.8180008,97.31469727,100.3519974,100.3519974,547512000,68780,37698,1472632,58186110709414,161057
07/12/2017,99.98410034,101.3430023,92.271698,98.29239655,98.29239655,645691008,64009,38997,1736262,63431501304613,164354
08/12/2017,98.32810211,133.0700073,95.39600372,124.8460007,124.8460007,1515559936,70853,33765,1736262,75355774508434,164381
09/12/2017,127.4789963,171.5509949,126.5879974,155.2420044,155.2420044,2436539904,79163,52040,2313542,94230029574912,181913
10/12/2017,155.6269989,155.6269989,130.1609955,148.6600037,148.6600037,1087340032,53943,38900,2473053,86549169239188,144909
11/12/2017,148.2579956,225.2870026,147.3410034,214.2030029,214.2030029,2913979904,79265,53100,2473053,88683695033708,174458
12/12/2017,212.4640045,341.723999,209.6820068,316.1589966,316.1589966,6961679872,156717,119704,3012495,96562142255092,336965
13/12/2017,315.3619995,341.7950134,287.4830017,302.6019897,302.6019897,3409789952,136446,90225,3032111,88967725319382,305627
14/12/2017,301.197998,311.3190002,265.6570129,279.3280029,279.3280029,2114880000,143609,88716,3032111,97494618293255,304685
15/12/2017,280.9679871,316.4060059,251.223999,299.7789917,299.7789917,2599940096,116514,77452,3119520,94678348632390,267139
16/12/2017,299.3370056,309.901001,290.1340027,298.9719849,298.9719849,1291379968,108366,62517,3166857,103540277661020,236763
17/12/2017,301.7839966,332.5899963,301.7839966,318.7189941,318.7189941,1703580032,107871,72305,3166857,103329663414680,242581
18/12/2017,318.9530029,360.9330139,302.0039978,358.3359985,358.3359985,1966599936,110604,75699,3342243,103982908528650,231541
19/12/2017,359.125,375.2860107,335.6749878,350.2529907,350.2529907,2150479872,138052,104723,3553475,95437113030014,313886
20/12/2017,349.6040039,349.6040039,308.6270142,314.6210022,314.6210022,2104060032,143881,179083,3553475,96423520110305,460937
21/12/2017,314.6600037,339.7390137,299.5289917,317.4620056,317.4620056,1555939968,162372,117250,3553475,102344522388060,371554
22/12/2017,319.2569885,320.302002,187.477005,264.9320068,264.9320068,2938040064,149956,98186,3432829,98442511607319,339519
23/12/2017,269.2669983,312.6679993,261.6369934,288.2659912,288.2659912,1352579968,117738,81046,3414697,103260647809380,271826
24/12/2017,291.0079956,291.0079956,251.0379944,275.980011,275.980011,1122909952,81111,62323,3414697,104459592256740,218945
25/12/2017,277.493988,286.7900085,269.572998,273.3900146,273.3900146,804377024,77925,63610,3493019,101837043952081,201105
26/12/2017,273.1080017,289.5109863,272.2619934,286.5039978,286.5039978,842993024,82613,64709,3569151,107709902820050,215867
27/12/2017,286.5889893,290.9440002,264.4230042,272.1740112,272.1740112,777137984,112765,76282,3569151,106411590346530,252739
28/12/2017,272.1260071,273.177002,231.3769989,249.9299927,249.9299927,2593240064,111207,76273,3587843,107607047145440,258498
29/12/2017,250.352005,258.0409851,238.3329926,245.5019989,245.5019989,1392210048,155481,97641,3707708,110118941142810,328178
30/12/2017,245.0870056,245.4329987,208.1970062,218.9629974,218.9629974,943667008,141900,134467,3707708,107388125648850,357060
31/12/2017,216.9750061,237.7910004,213.8110046,232.095993,232.095993,771041984,105948,98654,3707708,110498862771880,295213
01/01/2018,231.6660004,236.6340027,222.2030029,229.0330048,229.0330048,633142016,83076,68871,3755197,105335544208640,181729
02/01/2018,228.9900055,263.625,228.9900055,255.6840057,255.6840057,1237949952,127924,99391,3776555,104219928246070,272076
03/01/2018,255.6950073,260.7420044,243.1349945,245.3679962,245.3679962,3215280128,186764,140099,3776555,110304746082580,387056
04/01/2018,245.4750061,245.4750061,227.0130005,241.3699951,241.3699951,3481550080,225860,172647,3769404,105703978903150,523280
05/01/2018,241.0339966,256.1480103,237.8800049,249.2709961,249.2709961,1710599936,197217,189103,3738939,114052160239080,514232
06/01/2018,249.7680054,323.1149902,249.4149933,296.45401,296.45401,2264740096,173712,145657,3738939,107488606818010,400919
07/01/2018,296.053009,305.5270081,281.927002,288.4509888,288.4509888,1055400000,143412,127875,3738939,101709097820090,331702
08/01/2018,287.7250061,289.0690002,237.6649933,255.7630005,255.7630005,1182080000,146511,109444,3693345,100680200696320,317142
09/01/2018,254.6060028,258.5029907,240.1840057,247.0370026,247.0370026,940825024,145848,117076,3660956,98548037046141,313835
10/01/2018,248.072998,251.0540009,233.8589935,250.5180054,250.5180054,1009910016,140304,110744,3660956,103671266969800,316769
11/01/2018,251.5220032,255.0480042,223.003006,229.3659973,229.3659973,1079389952,120843,86921,3660956,101353692652330,256951
12/01/2018,229.7870026,243.5919952,224.8209991,236.8560028,236.8560028,691160000,106887,91208,3542598,99934626562856,250264
13/01/2018,236.8820038,263.1950073,236.8820038,259.1929932,259.1929932,961043008,93443,97443,3541058,98214898746809,261493
14/01/2018,260.57901,270.8519897,234.2720032,238.6750031,238.6750031,886414976,88779,63566,3541058,106805079832140,209222
15/01/2018,237.2890015,245.0039978,232.7740021,232.7740021,232.7740021,601769984,90381,71422,3553047,106722153601580,211193
16/01/2018,232.8170013,232.8170013,152.2929993,188.3309937,188.3309937,1405069952,117447,84844,3564823,103424945588480,254019
17/01/2018,190.1450043,197.7899933,141.0070038,186.5160065,186.5160065,1422489984,113111,81433,3564823,107062838091050,233394
18/01/2018,186.9490051,207.0160065,176.8300018,192.8370056,192.8370056,936784000,95276,70403,3578653,108286563844120,216692
19/01/2018,191.1920013,202.0749969,186.9380035,192.9640045,192.9640045,560284032,70009,56766,3682080,106716950497740,180763
20/01/2018,194.378006,214.5879974,194.378006,211.0180054,211.0180054,540785984,66798,52826,3682080,110812908142320,160442
21/01/2018,211.2350006,211.2350006,184.6360016,190.4210052,190.4210052,463516000,55466,46130,3682080,103709107371280,146241
22/01/2018,191.7899933,195.2460022,166.8829956,180.0079956,180.0079956,494091008,61730,50123,3702569,106484265749820,158933
23/01/2018,180.279007,186.3059998,165.7259979,177.8070068,177.8070068,441764992,59717,48501,3714485,105088179443330,143112
24/01/2018,178.4250031,186.279007,173.7189941,179.9869995,179.9869995,375948992,59072,44838,3714485,109872951368770,149966
25/01/2018,181.5630035,185.4230042,176.348999,180.2720032,180.2720032,363137984,61836,47501,3717183,108042487555710,157183
26/01/2018,179.8190002,182.8919983,167.0839996,176.7339935,176.7339935,375476992,57452,41660,3731199,112280995016320,155155
27/01/2018,176.6609955,183.154007,174.8789978,180.8860016,180.8860016,291632992,49382,54589,3731199,122461544556080,143549
28/01/2018,181.4210052,194.6790009,181.4210052,193.8650055,193.8650055,363515008,51278,54621,3731199,111155149384060,166274
29/01/2018,193.7510071,194.3860016,179.2319946,181.6640015,181.6640015,303560992,50067,39062,3987132,119641167165656,140595
30/01/2018,181.4450073,181.5180054,163.0339966,165.276001,165.276001,433227008,55270,40926,4011379,125197324660770,145505
31/01/2018,165.2960052,167.0679932,157.6450043,163.3509979,163.3509979,363292992,54531,47247,4011379,118840981542070,135798
01/02/2018,163.6820068,165.8139954,131.5480042,142.2969971,142.2969971,539880000,57962,43611,4093112,117711356600340,148594
02/02/2018,142.5619965,142.5619965,105.3460007,131.3789978,131.3789978,815539968,66669,53276,4159491,123889693712160,168294
03/02/2018,131.401001,165.5549927,121.1660004,160.25,160.25,687676032,49384,36454,4159491,122242033490390,122840
04/02/2018,160.3809967,173.7960052,139.6940002,148.0249939,148.0249939,1006080000,45225,41612,4193441,126843931562900,131901
05/02/2018,148.727005,153.5240021,118.1470032,125.3300018,125.3300018,844678016,51043,50880,4341368,132472102905200,144065
06/02/2018,127.5210037,146.1139984,106.9440002,142.9909973,142.9909973,1148409984,59946,42307,4341368,133372217200310,153545
07/02/2018,142.4819946,157.897995,131.5240021,138.2030029,138.2030029,817808000,50320,40718,4341368,137886618947670,131534
08/02/2018,138.3359985,151.0809937,138.3359985,149.4660034,149.4660034,869206976,37148,27787,4568541,133542110597130,103611
09/02/2018,149.7299957,163.9799957,142.5859985,163.9499969,163.9499969,722204992,44811,40608,4605561,138245035839570,118697
10/02/2018,163.4880066,169.3289948,149.1439972,155.5930023,155.5930023,576328000,46594,60887,4605561,131416880012390,158849
11/02/2018,155.3919983,155.7310028,142.6109924,148.9900055,148.9900055,495720000,36009,29027,4617873,128849762554680,100992
12/02/2018,150.1040039,163.3480072,150.1040039,161.5659943,161.5659943,535710016,40374,34556,4635151,137852771355160,115882
13/02/2018,161.7749939,162.3739929,153.5110016,159.5540009,159.5540009,483468000,41515,35953,4635151,134487731635450,114802
14/02/2018,159.5789948,218.2310028,159.5789948,213.3589935,213.3589935,2383340032,62134,64246,4635151,140330762821260,164966
15/02/2018,212.3470001,237.8769989,211.173996,225.4259949,225.4259949,2087289984,64146,59948,4765642,136308415046900,184240
16/02/2018,225.5,236.0879974,212.3289948,230.1239929,230.1239929,1300089984,55687,45121,4765866,139638692446390,145761
17/02/2018,229.5019989,233.451004,225.6029968,229.4649963,229.4649963,863401024,63949,50351,4765866,140240157727870,164509
18/02/2018,230.5090027,232.6439972,214.4579926,215.7359924,215.7359924,1011120000,75280,67579,4847021,146911179583765,218241
19/02/2018,215.4149933,226.9669952,215.3769989,223.0570068,223.0570068,767596992,55631,46965,4901960,141815781182600,142330
20/02/2018,223.0870056,253.897995,222.5070038,232.8509979,232.8509979,1739670016,57841,50090,4901960,141315817416280,155331
21/02/2018,230.947998,235.4100037,208.9250031,213.352005,213.352005,1195820032,47113,40246,4906530,142417018477330,131676
22/02/2018,212.8410034,222.7680054,191.8099976,195.3079987,195.3079987,974379008,43229,46086,4938398,145161496447110,128773
23/02/2018,194.1929932,216.1320038,184.0700073,209.3090057,209.3090057,1065680000,41534,43585,4938398,147019560121760,145773
24/02/2018,210.6369934,220.3070068,197.8840027,209.4219971,209.4219971,937312000,37171,32829,4938398,143189930525840,107071
25/02/2018,208.1320038,225.548996,202.3650055,220.4750061,220.4750061,1028590016,36437,30313,5005504,142854404462550,94635
26/02/2018,222.1380005,234.4170074,218.7359924,220.9620056,220.9620056,1297080064,41920,38521,5038170,140955848365860,121726
27/02/2018,221.7100067,224.2089996,215.8410034,216.598999,216.598999,856454016,42480,36608,5038170,148075784805970,112135
28/02/2018,217.279007,223.5099945,202.7059937,202.8950043,202.8950043,761321984,74744,55328,5037397,144823986427970,130667
01/03/2018,203.1190033,214.697998,201.5420074,209.75,209.75,678542016,50091,39026,5033510,143452526092410,111848
02/03/2018,209.5549927,213.1289978,204.8800049,212.5559998,212.5559998,627142016,38813,30434,5033510,147645651213060,94151
03/03/2018,213.8379974,217.7630005,209.5370026,210.6430054,210.6430054,681865984,35091,30493,5033510,151988954431130,101008
04/03/2018,210.2359924,214.1199951,205.3639984,213.798996,213.798996,574675008,31630,28816,5064507,143207989542060,90994
05/03/2018,213.7400055,215.9779968,209.2489929,211.1750031,211.1750031,594828992,37546,28667,5074912,156777693330480,96729
06/03/2018,210.5130005,210.5130005,193.1569977,196.6009979,196.6009979,661078016,36769,29425,5074912,162195104370350,103379
07/03/2018,196.826004,199.2749939,175.6470032,185.8390045,185.8390045,755924992,38530,29321,5244438,159862542670820,102866
08/03/2018,185.697998,188.1470032,176.173996,176.5110016,176.5110016,612508992,36806,81036,5445713,162757796020620,219312
09/03/2018,176.4810028,189.9149933,160.4259949,187.1679993,187.1679993,943363968,39903,33286,5445713,153537371127490,93021
10/03/2018,188.1130066,194.647995,176.5359955,177.7319946,177.7319946,625808000,30991,27785,5445833,157297144962900,85293
11/03/2018,177.5130005,193.477005,172.4700012,188.9459991,188.9459991,669377984,28583,27429,5517835,158806450673752,79567
12/03/2018,189.0160065,193.3399963,175.875,178.2339935,178.2339935,567628992,30179,35408,5517835,164879186748860,88789
13/03/2018,177.5970001,181.8699951,172.2570038,175.7819977,175.7819977,468094016,31265,29727,5517835,167032843685860,96022
14/03/2018,175.9369965,177.5469971,158.6300049,161.1009979,161.1009979,480652992,33328,32288,5610150,162564696348360,87068
15/03/2018,161.2019958,167.3320007,151.4790039,164.4759979,164.4759979,564609024,35691,35448,5671972,159918918656070,100094
16/03/2018,164.8170013,171.2579956,158.9909973,165.4499969,165.4499969,436628000,31561,28271,5671972,170114961396090,84691
17/03/2018,165.1880035,165.2180023,151.0579987,152.9689941,152.9689941,403808992,27818,28487,5686468,170562471648110,89822
18/03/2018,152.5370026,156.154007,138.0180054,154.0740051,154.0740051,595955008,33000,31935,5771051,161005049016170,85589
19/03/2018,155.4750061,163.048996,151.6629944,161.1419983,161.1419983,504832992,31025,32818,5771051,167236564956020,94512
20/03/2018,161.5209961,173.3000031,156.8150024,168.8170013,168.8170013,492892000,32184,30001,5771051,164176820036140,85878
21/03/2018,169.5570068,175.2610016,166.6150055,169.052002,169.052002,462536000,30694,27510,5740803,164381524685650,88461
22/03/2018,168.7230072,172.3059998,161.1130066,163.6719971,163.6719971,404996992,26996,25865,5721232,170863446582270,92161
23/03/2018,163.5769958,167.8320007,157.2630005,167.8320007,167.8320007,348056000,27804,27003,5721232,175437979264940,88567
24/03/2018,168.5339966,168.6529999,159.6309967,159.6309967,159.6309967,290270016,26526,21700,5842681,186455155358240,73388
25/03/2018,158.8639984,162.720993,157.5200043,160.0839996,160.0839996,241431008,23312,22001,6123409,183020950723810,75950
26/03/2018,160.1649933,160.9940033,143.1230011,149.220993,149.220993,407135008,28790,26130,6123409,188393125297190,89103
27/03/2018,148.9609985,149.6210022,135.779007,135.779007,135.779007,385104000,29504,25561,6123856,176123328831370,91138
28/03/2018,135.4900055,140.125,131.0339966,131.746994,131.746994,328374016,28661,25718,6397433,196376002590280,76114
29/03/2018,131.9250031,132.6100006,113.9339981,114.6790009,114.6790009,476804000,31286,31353,6397433,189011501141390,95829
30/03/2018,114.8040009,124.9020004,110.2570038,118.5979996,118.5979996,468439008,29474,27684,6397433,187668784200460,90932
31/03/2018,118.637001,123.8720016,116.1839981,116.6070023,116.6070023,295439008,23726,22021,6575133,204114036507900,71611
01/04/2018,116.9049988,117.8330002,110.5230026,115.2220001,115.2220001,274182016,22487,19452,6690855,195235219251910,70233
02/04/2018,115.2369995,121.4160004,114.7190018,119.3059998,119.3059998,271703008,24488,26967,6690855,207863093207800,84782
03/04/2018,119.5090027,136.4470062,118.5839996,134.4700012,134.4700012,375408992,29115,37719,6715927,189741430564400,97363
04/04/2018,133.9080048,134.6100006,116.5830002,118.4120026,118.4120026,380351008,26433,24711,6802626,203868572769360,85737
05/04/2018,118.2089996,121.2870026,114.4680023,119.1309967,119.1309967,294022016,26848,22253,6802626,204640194552060,76363
06/04/2018,118.8150024,119.9339981,112.7870026,113.1549988,113.1549988,233190000,25893,25588,6802626,211856109132320,88877
07/04/2018,113.1350021,119.3799973,113.0950012,116.2600021,116.2600021,211470000,22584,23471,7157500,210828598825910,80717
08/04/2018,116.2910004,118.5500031,115.9469986,117.6709976,117.6709976,194664000,20591,20459,7192917,200556111138240,76268
09/04/2018,117.7829971,122.4260025,113.3249969,114.9899979,114.9899979,260171008,25284,29381,7192917,207584896182250,87148
10/04/2018,115.2129974,115.4000015,112.5179977,114.2630005,114.2630005,202879008,26399,25668,7208566,213766316714020,87495
11/04/2018,114.2890015,119.0940018,113.3300018,118.2910004,118.2910004,230068992,27354,31276,7232139,195906059485480,90932
12/04/2018,118.2919998,129.3350067,113.5510025,129.3350067,129.3350067,587510976,32619,28744,7232139,202167128185360,89312
13/04/2018,129.2740021,133.0399933,124.0559998,125.3539963,125.3539963,458040000,32661,29641,7232139,213061529935090,82399
14/04/2018,125.223999,129.3390045,124.7669983,126.2939987,126.2939987,258806000,24558,26112,7148192,217815074403510,86968
15/04/2018,126.6689987,132.0449982,126.6689987,132.0449982,132.0449982,274427008,25481,25187,7135731,214360306968120,88027
16/04/2018,131.9680023,132.6260071,125.237999,128.3350067,128.3350067,290855008,26699,28800,7135731,213640461420370,95980
17/04/2018,128.7100067,139.6529999,128.7100067,132.9279938,132.9279938,532336000,30020,33243,7219603,204185548273610,102851
18/04/2018,132.3769989,140.8529968,132.3769989,139.996994,139.996994,381161984,28570,36531,7309402,215685597395020,97932
19/04/2018,140.0410004,146.8670044,138.9579926,146.3000031,146.3000031,408736000,30261,27406,7309402,232446978726440,87602
20/04/2018,146.5010071,155.723999,143.8439941,155.5370026,155.5370026,491945984,33553,31558,7373027,218312351126300,101295
21/04/2018,155.6849976,156.6100006,142.1779938,148.9340057,148.9340057,482924000,27629,26940,7708072,236743496071030,93506
22/04/2018,148.6080017,152.2299957,145.3139954,146.7740021,146.7740021,338735008,26376,22351,7708072,240790706566280,86755
23/04/2018,146.6719971,152.7680054,146.6699982,152.2519989,152.2519989,376060000,29507,29033,7708072,239437537365430,97818
24/04/2018,152.5749969,165.9429932,152.5749969,165.7810059,165.7810059,643558016,36949,34166,8321058,261227772907370,108417
25/04/2018,165.0870056,165.0870056,142.5930023,144.7640076,144.7640076,613467008,34019,35313,8376785,237372797528670,104003
26/04/2018,144.6990051,153.822998,142.6430054,153.6790009,153.6790009,412436992,29268,29705,8376785,232006230598110,99549
27/04/2018,153.4440002,153.6190033,145.9049988,145.9049988,145.9049988,386742016,31274,29929,8356854,237976344265010,100041
28/04/2018,145.7420044,153.326004,145.7420044,152.2960052,152.2960052,337116992,28846,26217,8329065,248995923899540,93557
29/04/2018,152.1649933,155.6210022,148.8970032,153.6309967,153.6309967,388081984,29353,29267,8329065,256733094975940,98675
30/04/2018,153.6470032,154.0809937,147.8710022,148.477005,148.477005,341396992,31786,29734,8425648,264894902749070,105224
01/05/2018,148.3439941,148.5449982,143.9389954,148.4880066,148.4880066,342152000,29737,29377,9006200,273644025850440,97318
02/05/2018,148.4450073,152.8869934,146.9839935,151.5769958,151.5769958,354656992,32848,38557,9006200,262867970324580,97452
03/05/2018,151.8589935,163.996994,151.0119934,161.4589996,161.4589996,617984000,36421,43661,9006200,250488355453030,108976
04/05/2018,160.4689941,170.378006,157.9369965,168.7879944,168.7879944,633054976,35402,35527,9002036,264873644355940,99070
