Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2017-11-09,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984,0.22,15785570759,6195,13929,13.79,191221,51000,6718203,24998074107,48,29549597070.13256,107924.0,484538,18200819.18596968,316.5092468261719
2017-11-10,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,885985984,0.19,15036090671,6300,13413,13.52,189377,42629,6715532,23709873840,67,29235520706.271828,100455.0,447845,13675881.173931152,309.7959899902344
2017-11-11,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,842300992,0.19,15394750336,6267,12665,13.58,160813,30604,6714315,22677610504,31,28932120163.52641,90339.0,421015,13204121.530113423,307.7279968261719
2017-11-12,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,1613479936,0.21,18011273725,6245,13233,13.83,184566,27014,6712808,22925780729,56,29390147269.422184,95159.0,435550,18208651.15907772,310.06600189208984
2017-11-13,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,1041889984,0.22,16603636136,6225,14443,13.65,181735,29034,6714950,24529577479,69,30304908659.45377,92372.0,439701,13980422.350758092,314.79524993896484
2017-11-14,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,1069680000,0.24,16704405736,6122,16232,13.87,200518,22702,6714816,25946874938,88,30776164950.06106,87794.0,456385,10719957.021519668,327.83350372314453
2017-11-15,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,722665984,0.25,17408995522,6237,16453,13.69,223801,32304,6714993,27301153015,77,32138369467.63073,105824.0,519217,15519724.668040773,335.51148986816406
2017-11-16,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,797254016,0.24,16023943398,6154,15278,13.8,203311,37185,6714876,25488120832,88,31721949793.092453,100843.0,500572,15001357.925389169,331.03299713134766
2017-11-17,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,621732992,0.24,16406020669,6235,15301,13.66,213857,39371,6715914,26784225318,78,31984500494.937363,99736.0,527952,16954653.419076663,331.26200103759766
2017-11-18,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,649638976,0.19,13339014477,6215,14628,13.71,184534,20088,6715508,24532718494,40,31559559140.61171,108734.0,473011,14026396.60689896,339.2237548828125
