Date,Open,High,Low,Close,Adj Close,Volume,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockReward,BlockSize,BlockTime,DailyActiveEthAddress,deployed contracts,Ethersupply2,GasLimit,GasUsed,NetworkHash,TransactionFee,TxGrowth,Uncles,verified contracts
2017-11-09,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,320.8840026855469,893249984,10743710,0.22,15785570759,6195,1420.593,20313.09375,13929,13.79,191221,51000,95628326.75,6718203,24998074107,114107.822,324913774650554876182,467172,745,48
2017-11-10,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,299.25299072265625,885985984,10839621,0.19,15036090671,6300,1429.592,20526.84375,13413,13.52,189377,42629,95648853.59375,6715532,23709873840,115773.7593,291688738911173226248,457427,697,67
2017-11-11,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,314.6809997558594,842300992,10916933,0.19,15394750336,6267,1437.744,20418.28125,12665,13.58,160813,30604,95669271.875,6714315,22677610504,115718.414,232953762073343777781,394378,687,31
2017-11-12,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,307.9079895019531,1613479936,11003411,0.21,18011273725,6245,1487.331,20210.71875,13233,13.83,184566,27014,95689482.59375,6712808,22925780729,118263.4894,297799562429250626367,434380,625,56
2017-11-13,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,316.71600341796875,1041889984,11085629,0.22,16603636136,6225,1456.779,20421.1875,14443,13.65,181735,29034,95709903.78125,6714950,24529577479,117469.6839,309385435142584601652,443176,742,69
2017-11-14,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,337.6310119628906,1069680000,11168202,0.24,16704405736,6122,1448.755,20050.03125,16232,13.87,200518,22702,95729953.8125,6714816,25946874938,114709.874,335979527230492319770,475984,719,88
2017-11-15,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,333.35699462890625,722665984,11273048,0.25,17408995522,6237,1424.358,20493.5625,16453,13.69,223801,32304,95750447.375,6714993,27301153015,115382.9053,412662550358806354474,540593,762,77
2017-11-16,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,330.92401123046875,797254016,11370633,0.24,16023943398,6154,1397.135,20222.53125,15278,13.8,203311,37185,95770669.90625,6714876,25488120832,111657.6225,353507082797256439997,491482,751,88
2017-11-17,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,332.3940124511719,621732992,11470443,0.24,16406020669,6235,1403.216,20364.0,15301,13.66,213857,39371,95791033.90625,6715914,26784225318,112630.8165,373486764295050208400,508590,700,78
2017-11-18,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,347.61199951171875,649638976,11545243,0.19,13339014477,6215,1389.738,20331.9375,14628,13.71,184534,20088,95811365.84375,6715508,24532718494,111516.8425,255609620533126714339,459679,718,40
2017-11-19,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,354.385986328125,1181529984,11615183,0.22,14229082585,6266,1402.317,20422.78125,14551,13.6,190248,15515,95831788.625,6714834,23975090718,112980.6417,282287107555640355383,464563,695,46
2017-11-20,354.093994140625,372.1369934082031,353.2890014648437,366.7300109863281,366.7300109863281,807027008,11691168,0.26,16089304528,6176,1489.214,20408.34375,16654,13.81,220195,11954,95852196.96875,6713109,26027982305,120188.5528,371508144057564609180,530141,797,85
2017-11-21,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,360.4010009765625,949912000,11778600,0.25,17548793491,6174,1471.463,20394.0,16182,13.8,218786,13914,95872590.96875,6715338,25906539931,118772.9291,363885755271037885352,524044,800,81
2017-11-22,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,380.6520080566406,800819008,11864256,0.25,16469836119,6242,1462.848,20504.4375,15978,13.67,221517,17558,95893095.40625,6716259,26017543726,118382.3196,365489233899613082003,546489,750,75
2017-11-23,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,410.1659851074219,1845680000,11951294,0.27,15992127664,6190,1518.894,20347.40625,16029,13.73,226587,20908,95913442.8125,6715977,26725364867,122161.9842,363134860953734755188,537068,759,77
2017-11-24,412.5010070800781,480.9729919433594,402.7579956054688,474.9110107421875,474.9110107421875,2292829952,12038971,0.28,15456892039,6234,1549.351,20413.125,15104,13.68,218669,20574,95933855.9375,6713855,26317732352,124844.7158,312003080397651703733,525529,728,74
2017-11-25,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,466.2760009765625,1422080000,12124340,0.24,12891179323,6201,1562.073,20315.0625,16192,13.69,217824,17320,95954171.0,6717095,27394849746,125309.3717,289454952242473202889,561166,730,55
2017-11-26,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,471.3299865722656,1197779968,12213147,0.31,14953923259,6169,1553.38,20360.8125,16099,13.79,221071,19358,95974531.8125,6715381,27674135132,125187.293,355108567824283180979,542484,794,80
2017-11-27,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,480.3550109863281,1396480000,12313525,0.29,15537337870,6086,1537.205,20271.75,22187,14.02,261418,11180,95994803.5625,6717512,30599511959,123438.9985,369147153812364788224,608695,852,61
2017-11-28,480.51800537109375,482.4800109863281,466.3469848632813,472.9020080566406,472.9020080566406,1346499968,12439003,0.31,16779210323,6094,1508.043,20309.625,18980,13.95,279130,27819,96015113.1875,6717145,30288687055,121376.5047,423203743142495619496,638989,860,73
2017-11-29,473.281005859375,522.3070068359375,425.0710144042969,427.5230102539063,427.5230102539063,2675940096,12559061,0.29,17499867713,6108,1520.78,20425.03125,18539,13.92,300257,13008,96035538.21875,6716943,29519996063,123404.9935,444283457464524015736,663579,903,91
2017-11-30,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,447.114013671875,1903040000,12668143,0.28,16354038320,6151,1542.746,20416.125,18059,13.83,286670,9617,96055954.34375,6716861,28880894729,124830.2891,423152742251986989286,655457,840,92
2017-12-01,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,466.5400085449219,1247879936,12772266,0.31,14561757161,6127,1546.95,20476.6875,18184,13.89,269459,19158,96076431.03125,6718817,31811531693,125492.702,416073298110365404963,622720,882,79
2017-12-02,466.85101318359375,476.239013671875,456.6530151367188,463.4490051269531,463.4490051269531,943649984,12867914,0.25,13179215357,6053,1570.293,20205.1875,17954,14.07,271772,10478,96096636.21875,6720306,30183667434,125605.2762,344504596509460534102,627785,858,60
2017-12-03,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,465.8529968261719,990556992,12971957,0.27,14068434201,6029,1509.751,20336.53125,19326,14.08,294406,8424,96116972.75,6721650,33003047721,121828.5383,407152401006737587746,693808,943,52
