,date,transactions,block_size_x,difficulty,hashrate,av_transaction_size,block_size_y,active_addresses,full_name,coin
0,2009/01/03,null,204,1,null,,204,null,bitcoin,btc
1,2009/01/04,null,null,null,null,,null,null,bitcoin,btc
2,2009/01/05,null,null,null,null,,null,null,bitcoin,btc
3,2009/01/06,null,null,null,null,,null,null,bitcoin,btc
4,2009/01/07,null,null,null,null,,null,null,bitcoin,btc
5,2009/01/08,null,null,null,null,,null,null,bitcoin,btc
6,2009/01/09,null,134,1,12576322,,134,14,bitcoin,btc
7,2009/01/10,null,134.23,1,9378233,,134.23,61,bitcoin,btc
8,2009/01/11,null,134.409,1,4857511,,134.409,93,bitcoin,btc
9,2009/01/12,7,153.372,1,4567766,,153.372,102,bitcoin,btc
10,2009/01/13,null,134.667,1,5654593,,134.667,123,bitcoin,btc
11,2009/01/14,1,138.194,1,6206668,,138.194,133,bitcoin,btc
12,2009/01/15,8,157.579,1,6365454,,157.579,140,bitcoin,btc
13,2009/01/16,2,139.87,1,6070043,,139.87,114,bitcoin,btc
14,2009/01/17,null,134.853,1,5240736,,134.853,109,bitcoin,btc
15,2009/01/18,1,138.944,1,5190081,,138.944,111,bitcoin,btc
16,2009/01/19,2,151.896,1,5762472,,151.896,133,bitcoin,btc
17,2009/01/20,1,143.728,1,5793593,,143.728,123,bitcoin,btc
18,2009/01/21,1,137.99,1,5559411,,137.99,105,bitcoin,btc
19,2009/01/22,1,147.747,1,4120719,,147.747,102,bitcoin,btc
20,2009/01/23,2,148.238,1,3518417,,148.238,95,bitcoin,btc
21,2009/01/24,1,141.06,1,8393223,,141.06,212,bitcoin,btc
22,2009/01/25,1,136,1,9962644,,136,193,bitcoin,btc
23,2009/01/26,1,158.948,1,7689965,,158.948,117,bitcoin,btc
24,2009/01/27,1,139.309,1,4617016,,139.309,101,bitcoin,btc
25,2009/01/28,null,134.652,1,4962996,,134.652,112,bitcoin,btc
26,2009/01/29,1,146.256,1,5795924,,146.256,134,bitcoin,btc
27,2009/01/30,null,134.872,1,6240808,,134.872,117,bitcoin,btc
28,2009/01/31,1,151.464,1,6051994,,151.464,159,bitcoin,btc
29,2009/02/01,1,137.204,1,6190608,,137.204,116,bitcoin,btc
30,2009/02/02,1,136.094,1,6153545,,136.094,130,bitcoin,btc
31,2009/02/03,16,167.496,1,6704449,,167.496,154,bitcoin,btc
32,2009/02/04,null,134.739,1,6346531,,134.739,119,bitcoin,btc
33,2009/02/05,null,134.722,1,6048969,,134.722,126,bitcoin,btc
34,2009/02/06,null,134.836,1,6295545,,134.836,122,bitcoin,btc
35,2009/02/07,4,159.31,1,6330966,,159.31,156,bitcoin,btc
36,2009/02/08,1,136.576,1,6434968,,136.576,134,bitcoin,btc
37,2009/02/09,1,172.604,1,6421922,,172.604,179,bitcoin,btc
38,2009/02/10,null,134.667,1,6511267,,134.667,120,bitcoin,btc
39,2009/02/11,2,148.128,1,6460281,,148.128,147,bitcoin,btc
40,2009/02/12,null,134.874,1,6046361,,134.874,119,bitcoin,btc
41,2009/02/13,null,134.903,1,6055061,,134.903,124,bitcoin,btc
42,2009/02/14,null,134.787,1,6655610,,134.787,136,bitcoin,btc
43,2009/02/15,3,148.383,1,6358856,,148.383,142,bitcoin,btc
44,2009/02/16,1,163.172,1,6230951,,163.172,153,bitcoin,btc
45,2009/02/17,null,134.897,1,5876537,,134.897,117,bitcoin,btc
46,2009/02/18,null,134.941,1,5957088,,134.941,118,bitcoin,btc
47,2009/02/19,1,150.048,1,5943972,,150.048,141,bitcoin,btc
48,2009/02/20,null,134.852,1,6302263,,134.852,122,bitcoin,btc
49,2009/02/21,null,134.965,1,5624662,,134.965,114,bitcoin,btc
50,2009/02/22,4,147.545,1,6022206,,147.545,133,bitcoin,btc
