Time,BTC total supply,Price
2009-01-04,50.0,null
2009-01-05,50.0,null
2009-01-06,50.0,null
2009-01-07,50.0,null
2009-01-08,50.0,null
2009-01-09,750.0,null
2009-01-10,1650.0,null
2009-01-11,7050.0,null
2009-01-12,11500.0,null
2009-01-13,17350.0,null
2009-01-14,23550.0,null
2009-01-15,29700.0,null
2009-01-16,35800.0,null
2009-01-17,41050.0,null
2009-01-18,46200.0,null
2009-01-19,52150.0,null
2009-01-20,57950.0,null
2009-01-21,63650.0,null
2009-01-22,67400.0,null
2009-01-23,70050.0,null
2009-01-24,80200.0,null
2009-01-25,90050.0,null
2009-01-26,96250.0,null
2009-01-27,101250.0,null
2009-01-28,106450.0,null
2009-01-29,112250.0,null
2009-01-30,118600.0,null
2009-01-31,124700.0,null
2009-02-01,130750.0,null
2009-02-02,137100.0,null
2009-02-03,143900.0,null
2009-02-04,150100.0,null
2009-02-05,156100.0,null
2009-02-06,162400.0,null
2009-02-07,168950.0,null
2009-02-08,175550.0,null
2009-02-09,181950.0,null
2009-02-10,188250.0,null
2009-02-11,194950.0,null
2009-02-12,200950.0,null
2009-02-13,206950.0,null
2009-02-14,213800.0,null
2009-02-15,220100.0,null
2009-02-16,226350.0,null
2009-02-17,232200.0,null
2009-02-18,238250.0,null
2009-02-19,244100.0,null
2009-02-20,250750.0,null
2009-02-21,256000.0,null
2009-02-22,262200.0,null
2009-02-23,267600.0,null
2009-02-24,272950.0,null
2009-02-25,278500.0,null
2009-02-26,283350.0,null
2009-02-27,289350.0,null
2009-02-28,294600.0,null
2009-03-01,299750.0,null
2009-03-02,305050.0,null
2009-03-03,310300.0,null
2009-03-04,315700.0,null
2009-03-05,320850.0,null
2009-03-06,326800.0,null
2009-03-07,332300.0,null
2009-03-08,337950.0,null
2009-03-09,343800.0,null
2009-03-10,349000.0,null
2009-03-11,354350.0,null
2009-03-12,360250.0,null
2009-03-13,365800.0,null
2009-03-14,371600.0,null
2009-03-15,377250.0,null
2009-03-16,383650.0,null
2009-03-17,389600.0,null
2009-03-18,395050.0,null
2009-03-19,401100.0,null
2009-03-20,407050.0,null
2009-03-21,411300.0,null
2009-03-22,415600.0,null
2009-03-23,421950.0,null
2009-03-24,427400.0,null
2009-03-25,433250.0,null
2009-03-26,438900.0,null
2009-03-27,444450.0,null
2009-03-28,450300.0,null
2009-03-29,455900.0,null
2009-03-30,462150.0,null
2009-03-31,467750.0,null
2009-04-01,473200.0,null
2009-04-02,479250.0,null
2009-04-03,484850.0,null
2009-04-04,490400.0,null
2009-04-05,497000.0,null
2009-04-06,502500.0,null
2009-04-07,507600.0,null
2009-04-08,512950.0,null
2009-04-09,517800.0,null
2009-04-10,522750.0,null
2009-04-11,529100.0,null
2009-04-12,534750.0,null
2009-04-13,540600.0,null
2009-04-14,546850.0,null
2009-04-15,552400.0,null
2009-04-16,558600.0,null
2009-04-17,564400.0,null
2009-04-18,570450.0,null
2009-04-19,576450.0,null
2009-04-20,582300.0,null
2009-04-21,588350.0,null
2009-04-22,594450.0,null
2009-04-23,598650.0,null
2009-04-24,604000.0,null
2009-04-25,610250.0,null
2009-04-26,615700.0,null
2009-04-27,620950.0,null
2009-04-28,626650.0,null
2009-04-29,632750.0,null
2009-04-30,639500.0,null
2009-05-01,645450.0,null
2009-05-02,651850.0,null
2009-05-03,657350.0,null
2009-05-04,663550.0,null
2009-05-05,670250.0,null
2009-05-06,676700.0,null
2009-05-07,682950.0,null
2009-05-08,689300.0,null
2009-05-09,693950.0,null
2009-05-10,696850.0,null
2009-05-11,702650.0,null
2009-05-12,709150.0,null
2009-05-13,714950.0,null
2009-05-14,721400.0,null
2009-05-15,728700.0,null
2009-05-16,734500.0,null
2009-05-17,740500.0,null
2009-05-18,746600.0,null
2009-05-19,752400.0,null
2009-05-20,756850.0,null
2009-05-21,761500.0,null
2009-05-22,766200.0,null
2009-05-23,766500.0,null
2009-05-24,771200.0,null
2009-05-25,776150.0,null
2009-05-26,782000.0,null
2009-05-27,788350.0,null
2009-05-28,793550.0,null
2009-05-29,798750.0,null
2009-05-30,803950.0,null
2009-05-31,809850.0,null
2009-06-01,813650.0,null
2009-06-02,817950.0,null
2009-06-03,822950.0,null
2009-06-04,824900.0,null
2009-06-05,828200.0,null
2009-06-06,829150.0,null
2009-06-07,829600.0,null
2009-06-08,832900.0,null
2009-06-09,837450.0,null
2009-06-10,841700.0,null
2009-06-11,846200.0,null
2009-06-12,850950.0,null
2009-06-13,854400.0,null
2009-06-14,858050.0,null
2009-06-15,862050.0,null
2009-06-16,865950.0,null
2009-06-17,869750.0,null
2009-06-18,873850.0,null
2009-06-19,878100.0,null
2009-06-20,882200.0,null
2009-06-21,886150.0,null
2009-06-22,890100.0,null
2009-06-23,894000.0,null
2009-06-24,897900.0,null
2009-06-25,901700.0,null
2009-06-26,906300.0,null
2009-06-27,910450.0,null
2009-06-28,913250.0,null
2009-06-29,916750.0,null
2009-06-30,921050.0,null
2009-07-01,925450.0,null
2009-07-02,928850.0,null
2009-07-03,933150.0,null
2009-07-04,937400.0,null
2009-07-05,941550.0,null
2009-07-06,945950.0,null
2009-07-07,949200.0,null
2009-07-08,953150.0,null
2009-07-09,957200.0,null
2009-07-10,961400.0,null
2009-07-11,965450.0,null
2009-07-12,969300.0,null
2009-07-13,973250.0,null
2009-07-14,976750.0,null
2009-07-15,979150.0,null
2009-07-16,982500.0,null
2009-07-17,986000.0,null
2009-07-18,986200.0,null
2009-07-19,988400.0,null
2009-07-20,992150.0,null
2009-07-21,995900.0,null
2009-07-22,999450.0,null
2009-07-23,1002650.0,null
2009-07-24,1006450.0,null
2009-07-25,1009450.0,null
2009-07-26,1009900.0,null
2009-07-27,1012900.0,null
2009-07-28,1015450.0,null
2009-07-29,1016950.0,null
2009-07-30,1017600.0,null
2009-07-31,1018250.0,null
2009-08-01,1019500.0,null
2009-08-02,1020900.0,null
2009-08-03,1021750.0,null
2009-08-04,1024350.0,null
2009-08-05,1028950.0,null
2009-08-06,1033700.0,null
2009-08-07,1037300.0,null
2009-08-08,1041450.0,null
2009-08-09,1046300.0,null
2009-08-10,1050400.0,null
2009-08-11,1053850.0,null
2009-08-12,1057350.0,null
2009-08-13,1061400.0,null
2009-08-14,1064600.0,null
2009-08-15,1066550.0,null
2009-08-16,1067600.0,null
2009-08-17,1068650.0,null
2009-08-18,1069150.0,null
2009-08-19,1069800.0,null
2009-08-20,1071000.0,null
2009-08-21,1071900.0,null
2009-08-22,1072200.0,null
2009-08-23,1072900.0,null
2009-08-24,1073300.0,null
2009-08-25,1075850.0,null
2009-08-26,1077850.0,null
2009-08-27,1079350.0,null
2009-08-28,1082550.0,null
2009-08-29,1086800.0,null
2009-08-30,1091000.0,null
2009-08-31,1095750.0,null
2009-09-01,1099900.0,null
2009-09-02,1103150.0,null
2009-09-03,1106300.0,null
2009-09-04,1109200.0,null
2009-09-05,1112850.0,null
2009-09-06,1116550.0,null
2009-09-07,1120450.0,null
2009-09-08,1123800.0,null
2009-09-09,1126600.0,null
2009-09-10,1129750.0,null
2009-09-11,1133100.0,null
2009-09-12,1136500.0,null
2009-09-13,1140100.0,null
2009-09-14,1144100.0,null
2009-09-15,1147250.0,null
2009-09-16,1149950.0,null
2009-09-17,1153950.0,null
2009-09-18,1158200.0,null
2009-09-19,1161650.0,null
2009-09-20,1165500.0,null
2009-09-21,1169350.0,null
2009-09-22,1171250.0,null
2009-09-23,1172400.0,null
2009-09-24,1176200.0,null
2009-09-25,1181300.0,null
2009-09-26,1185800.0,null
2009-09-27,1190500.0,null
2009-09-28,1194800.0,null
2009-09-29,1199050.0,null
2009-09-30,1203200.0,null
2009-10-01,1207400.0,null
2009-10-02,1211600.0,null
2009-10-03,1214250.0,null
2009-10-04,1217600.0,null
2009-10-05,1220250.0,null
