Time,BTC market cap,Price
2010-07-17,170133.68850000002,0.049510000000000005
2010-07-18,295723.092,0.08584
2010-07-19,279026.64,0.0808
2010-07-20,258760.42999999993,0.07473333333333332
2010-07-21,275064.646,0.07921
2010-07-22,194778.112,0.055945
2010-07-23,217456.03,0.062283333333333336
2010-07-24,190898.18099999998,0.05454
2010-07-25,177305.5,0.0505
2010-07-26,197346.80000000002,0.056
2010-07-27,211424.43777777776,0.059844444444444436
2010-07-28,208579.625,0.0589
2010-07-29,245666.92000000004,0.06920000000000001
2010-07-30,228787.5975,0.06428333333333333
2010-07-31,242085.40749999997,0.06785
2010-08-01,218689.12,0.0611
2010-08-02,215508.0,0.06
2010-08-03,216216.0,0.06
2010-08-04,209474.7625,0.05795
2010-08-05,221231.75,0.061
2010-08-06,225758.34,0.0621
2010-08-07,214916.34999999998,0.059
2010-08-08,222409.845,0.0609
2010-08-09,259962.94999999998,0.071
2010-08-10,257005.00000000003,0.07
2010-08-11,246734.2,0.067
2010-08-12,258541.50000000003,0.07
2010-08-13,238927.35,0.0645
2010-08-14,249018.90000000002,0.067
2010-08-15,243623.106,0.06529
2010-08-16,244747.30000000002,0.0655
2010-08-17,262062.50000000003,0.07
2010-08-18,255017.00000000003,0.068
2010-08-19,250611.90999999997,0.0667
2010-08-20,246656.625,0.0655
2010-08-21,250640.08000000002,0.0664
2010-08-22,249763.80000000002,0.066
2010-08-23,246375.64149999997,0.06491
2010-08-24,247370.5,0.065
2010-08-25,247341.59999999998,0.0648
2010-08-26,244944.0,0.064
2010-08-27,249362.75,0.065
2010-08-28,248412.84000000003,0.0646
2010-08-29,246592.0,0.064
2010-08-30,250836.176,0.06497
2010-08-31,232167.0,0.06
2010-09-01,241605.63000000006,0.062300000000000015
2010-09-02,245209.755,0.0631
2010-09-03,236928.6025,0.06085
2010-09-04,243459.783,0.06238
2010-09-05,240917.6,0.0616
2010-09-06,241425.80000000002,0.0616
2010-09-07,241520.90925,0.061505
2010-09-08,241949.00275,0.061495
2010-09-09,240917.00850000005,0.06111000000000001
2010-09-10,244143.99,0.0618
2010-09-11,252007.65900000004,0.06366000000000001
2010-09-12,244010.475,0.0615
2010-09-13,247233.89799999993,0.062179999999999985
2010-09-14,247079.74200000003,0.06199
2010-09-15,241294.98,0.0604
2010-09-16,247481.19,0.0618
2010-09-17,238422.576,0.05938
2010-09-18,245625.65,0.061
2010-09-19,253141.84500000003,0.0627
2010-09-20,251387.01,0.0621
2010-09-21,254183.58,0.06265
2010-09-22,252243.40610000002,0.062038
2010-09-23,253975.56,0.06231
2010-09-24,254307.81,0.0622
2010-09-25,254185.86900000006,0.06202000000000001
2010-09-26,255510.7245,0.06219
2010-09-27,256282.66,0.0622
2010-09-28,255738.84074999997,0.061904999999999995
2010-09-29,255966.9255,0.06183
2010-09-30,256705.49,0.0619
2010-10-01,257497.74399999998,0.06197
2010-10-02,255470.05000000002,0.0614
2010-10-03,254614.81500000006,0.06111000000000001
