Time,BTC average computing power of the entire network,Price
2009-01-04,0.0,null
2009-01-05,0.0,null
2009-01-06,0.0,null
2009-01-07,0.0,null
2009-01-08,0.0,null
2009-01-09,9229462.304542502,null
2009-01-10,7255974.189352193,null
2009-01-11,6338251.064571406,null
2009-01-12,5629372.926935339,null
2009-01-13,5058919.6648539435,null
2009-01-14,4595314.770821939,null
2009-01-15,4210607.643435068,null
2009-01-16,3884793.965489594,null
2009-01-17,3603974.3304983214,null
2009-01-18,3362397.761140001,null
2009-01-19,5579042.919117042,null
2009-01-20,5622800.203727174,null
2009-01-21,5793318.277957704,null
2009-01-22,5541296.890889004,null
2009-01-23,5220539.124157742,null
2009-01-24,5577540.740002519,null
2009-01-25,6070207.082897304,null
2009-01-26,6214276.316648149,null
2009-01-27,6089211.857855362,null
2009-01-28,5998441.427557648,null
2009-01-29,6046207.736130549,null
2009-01-30,6397840.530554363,null
2009-01-31,6600549.913043502,null
2009-02-01,6280900.188836441,null
2009-02-02,5986125.031682538,null
2009-02-03,5804635.370421191,null
2009-02-04,5994712.138243892,null
2009-02-05,6169467.677951415,null
2009-02-06,6217998.092205897,null
2009-02-07,6246049.643094284,null
2009-02-08,6305011.797215234,null
2009-02-09,6344734.591218734,null
2009-02-10,6348791.207911754,null
2009-02-11,6345543.639663325,null
2009-02-12,6321463.128386056,null
2009-02-13,6317616.502911933,null
2009-02-14,6371842.656215207,null
2009-02-15,6361225.898761541,null
2009-02-16,6324991.008873783,null
2009-02-17,6257053.678975398,null
2009-02-18,6221366.70206112,null
2009-02-19,6093059.687513128,null
2009-02-20,6161521.519481983,null
2009-02-21,6096225.577411818,null
2009-02-22,6043161.052109702,null
2009-02-23,5918222.88399206,null
2009-02-24,5809347.64582972,null
2009-02-25,5761170.780334242,null
2009-02-26,5648490.80088564,null
2009-02-27,5623165.358087408,null
2009-02-28,5577605.410473989,null
2009-03-01,5463066.88294529,null
2009-03-02,5417036.522781038,null
2009-03-03,5349817.235083923,null
2009-03-04,5318298.858633823,null
2009-03-05,5262701.6586082345,null
2009-03-06,5330655.437062995,null
2009-03-07,5373015.361362996,null
2009-03-08,5394512.644820623,null
2009-03-09,5416745.087854926,null
2009-03-10,5451475.813918719,null
2009-03-11,5451132.6166510945,null
2009-03-12,5504492.060804576,null
2009-03-13,5532905.074582022,null
2009-03-14,5598044.283329216,null
2009-03-15,5575278.21790677,null
2009-03-16,5667679.611642778,null
2009-03-17,5717672.58851949,null
2009-03-18,5693708.025261008,null
2009-03-19,5781458.407945098,null
2009-03-20,5814239.356857688,null
2009-03-21,5669045.1566264,null
2009-03-22,5503715.332429075,null
2009-03-23,5567678.114368186,null
2009-03-24,5532565.688509966,null
2009-03-25,5484006.870110906,null
2009-03-26,5476417.864560478,null
2009-03-27,5472257.699413408,null
2009-03-28,5447312.319023241,null
2009-03-29,5387376.957290672,null
2009-03-30,5838672.393320075,null
2009-03-31,5761232.112611302,null
2009-04-01,5637927.993259603,null
2009-04-02,5728142.479619925,null
2009-04-03,5717076.112033445,null
2009-04-04,5690751.817765279,null
2009-04-05,5818795.186878075,null
2009-04-06,5769216.443457771,null
2009-04-07,5729173.382292672,null
2009-04-08,5612376.825625083,null
2009-04-09,5539092.018960955,null
2009-04-10,5480313.7959518675,null
2009-04-11,5510727.818011043,null
2009-04-12,5530904.711591252,null
2009-04-13,5563878.677158574,null
2009-04-14,5530593.83100839,null
2009-04-15,5511366.202905286,null
2009-04-16,5629709.6530728685,null
2009-04-17,5704571.274529821,null
2009-04-18,5845325.710838612,null
2009-04-19,5897022.057224137,null
2009-04-20,5880018.70958824,null
2009-04-21,5905379.416750462,null
2009-04-22,5913566.634154358,null
2009-04-23,5727157.404696947,null
2009-04-24,5690639.61721997,null
2009-04-25,5689600.102590137,null
2009-04-26,5660343.663270876,null
2009-04-27,5577555.1110888,null
2009-04-28,5550696.108280691,null
2009-04-29,5578755.358113543,null
2009-04-30,5640359.230072951,null
2009-05-01,5634670.046637681,null
2009-05-02,5923583.402425063,null
2009-05-03,5885030.2117874995,null
2009-05-04,5913502.01560402,null
2009-05-05,6124546.742167142,null
2009-05-06,6187667.08780718,null
2009-05-07,6229288.805656376,null
2009-05-08,6194590.485412077,null
2009-05-09,6057408.067225689,null
2009-05-10,5653713.228623573,null
2009-05-11,5617131.793613496,null
2009-05-12,5719387.207469821,null
2009-05-13,5686102.944269713,null
2009-05-14,5641711.640318503,null
2009-05-15,5713793.944197595,null
2009-05-16,5683751.507342671,null
2009-05-17,5674454.4232399715,null
2009-05-18,6201653.761212909,null
2009-05-19,6244662.222667141,null
2009-05-20,5966762.123891777,null
2009-05-21,5801088.688252978,null
2009-05-22,5716547.692546604,null
2009-05-23,5109477.456922147,null
2009-05-24,5033516.637539504,null
2009-05-25,4820479.438456802,null
2009-05-26,4762546.71983281,null
2009-05-27,4807594.950167252,null
2009-05-28,4721715.734312289,null
2009-05-29,4665460.189493824,null
2009-05-30,4744353.204327298,null
2009-05-31,4726189.813866833,null
2009-06-01,4706562.929114461,null
2009-06-02,5170591.447698663,null
2009-06-03,5171196.691479964,null
2009-06-04,4870878.968876025,null
2009-06-05,4832839.669740191,null
2009-06-06,4319962.617270514,null
2009-06-07,4241500.717789972,null
2009-06-08,3879756.4781426317,null
2009-06-09,3786145.5707378383,null
2009-06-10,3727739.6447422593,null
2009-06-11,3704287.218900174,null
2009-06-12,3673132.8203213084,null
2009-06-13,3582585.28092814,null
2009-06-14,3496852.065381736,null
2009-06-15,3459139.3570723874,null
2009-06-16,3476650.653359867,null
2009-06-17,3395445.305404703,null
2009-06-18,3421149.6956204055,null
2009-06-19,3463689.0464591538,null
2009-06-20,4072472.99201666,null
2009-06-21,4044438.1606194144,null
2009-06-22,4020072.6274198247,null
2009-06-23,3985980.910334175,null
2009-06-24,3946762.3767617205,null
2009-06-25,3891029.6907087658,null
2009-06-26,3961504.0596596617,null
2009-06-27,4001701.7433080096,null
2009-06-28,3917013.79983155,null
2009-06-29,3893290.098563521,null
2009-06-30,3932840.8226730675,null
2009-07-01,3955369.4089813316,null
2009-07-02,3882230.0715614273,null
2009-07-03,3887619.5594108086,null
2009-07-04,3921661.836214618,null
2009-07-05,3948454.137396295,null
2009-07-06,4005896.892139306,null
2009-07-07,3905226.878279669,null
2009-07-08,3930577.0911141215,null
2009-07-09,3892803.504251677,null
2009-07-10,3889390.264438367,null
2009-07-11,4028387.9217620348,null
2009-07-12,4003207.726870852,null
2009-07-13,3980249.582533738,null
2009-07-14,3961264.832271372,null
2009-07-15,3836240.538233554,null
2009-07-16,3794853.7861944516,null
2009-07-17,3734276.4025027603,null
2009-07-18,3604469.4157143724,null
2009-07-19,3366099.5553979944,null
2009-07-20,3353409.955418968,null
2009-07-21,3320866.0127790845,null
2009-07-22,3329398.3215819206,null
2009-07-23,3283036.75367859,null
2009-07-24,3290782.6134635555,null
2009-07-25,3231876.815881874,null
2009-07-26,3053403.326252875,null
2009-07-27,3002440.498033934,null
2009-07-28,2926082.140262124,null
2009-07-29,2837130.5287003308,null
2009-07-30,2701951.1668785564,null
2009-07-31,2595576.526981902,null
2009-08-01,2501530.0737991347,null
2009-08-02,2423490.1558718625,null
2009-08-03,2339892.488034888,null
2009-08-04,2302119.254617122,null
2009-08-05,2360766.4654720942,null
2009-08-06,2405575.2134700064,null
2009-08-07,2589957.152432876,null
2009-08-08,2599418.0183918183,null
2009-08-09,2638114.0237329584,null
2009-08-10,2659824.141726459,null
2009-08-11,2669311.1321956743,null
2009-08-12,2653337.9108280037,null
2009-08-13,2865396.248295919,null
2009-08-14,2836498.5335042123,null
2009-08-15,2838719.1947031226,null
2009-08-16,2825926.6459342176,null
2009-08-17,2947140.1555899805,null
2009-08-18,2842605.3311009617,null
2009-08-19,2771902.602089152,null
2009-08-20,2739478.9550453755,null
2009-08-21,2727814.245511244,null
2009-08-22,2668235.2269143825,null
2009-08-23,2587830.0517662563,null
2009-08-24,2471889.362399528,null
2009-08-25,2411458.7057307274,null
2009-08-26,2346550.707865524,null
2009-08-27,2279983.935532193,null
2009-08-28,2246277.9952007043,null
2009-08-29,2249514.4917431846,null
2009-08-30,2253664.459707896,null
2009-08-31,2259262.4982200023,null
2009-09-01,2249945.8719471493,null
2009-09-02,2245601.062927147,null
2009-09-03,2230820.292110454,null
2009-09-04,2220703.808227407,null
2009-09-05,2208951.792519234,null
2009-09-06,2230637.5394545947,null
2009-09-07,2659059.602401974,null
2009-09-08,3389761.40381164,null
2009-09-09,3371696.4391015978,null
2009-09-10,3574716.765677921,null
2009-09-11,3595886.2408285947,null
2009-09-12,3536695.7857295275,null
2009-09-13,3513926.674169518,null
2009-09-14,3468806.487708861,null
2009-09-15,3422439.723940369,null
2009-09-16,3322851.5257434407,null
2009-09-17,3358164.8164416575,null
2009-09-18,3455787.336047809,null
2009-09-19,3458840.890719672,null
2009-09-20,3475478.463594289,null
2009-09-21,3492696.655628318,null
2009-09-22,3378940.9364677975,null
2009-09-23,3231560.798183515,null
2009-09-24,3245585.1198403635,null
2009-09-25,3411200.3085985454,null
2009-09-26,3496380.452787414,null
2009-09-27,3578649.656189878,null
2009-09-28,3599689.2822011695,null
2009-09-29,3767392.3429103624,null
2009-09-30,3775648.879673361,null
2009-10-01,3778614.6648815507,null
2009-10-02,3818157.1287525627,null
2009-10-03,3748139.1695314217,null
2009-10-04,3698306.6519602197,null
2009-10-05,3623866.207577048,null
2009-10-06,3837355.820315678,null
2009-10-07,3725013.397012185,null
2009-10-08,3647472.5669624223,null
2009-10-09,3608149.3063664967,null
2009-10-10,3575939.1424175045,null
2009-10-11,3530149.5800033556,null
2009-10-12,3458619.8377368473,null
2009-10-13,3366468.612543693,null
2009-10-14,3303926.878857868,null
2009-10-15,3299769.361549185,null
2009-10-16,3247776.3833783674,null
2009-10-17,3169424.815656383,null
2009-10-18,3125683.141011185,null
2009-10-19,3266233.9461818296,null
2009-10-20,3536158.4875731245,null
2009-10-21,3689519.694966053,null
2009-10-22,3720106.596994983,null
2009-10-23,3746984.3328688745,null
2009-10-24,3740212.3975306083,null
2009-10-25,3762919.4402146605,null
2009-10-26,3823471.364688441,null
2009-10-27,3897724.054366932,null
2009-10-28,3811672.657023763,null
2009-10-29,3734092.8165682545,null
2009-10-30,3769737.81904813,null
2009-10-31,3700045.0354878204,null
2009-11-01,3605462.996904543,null
2009-11-02,3418316.1332903937,null
2009-11-03,3285104.398759844,null
2009-11-04,3199806.872836051,null
2009-11-05,3126825.419717084,null
2009-11-06,3049566.3413556027,null
2009-11-07,3027090.3805187577,null
2009-11-08,2996507.572719802,null
2009-11-09,2946343.9087635158,null
2009-11-10,2926212.669954678,null
2009-11-11,2932801.716616424,null
2009-11-12,2929101.14437961,null
2009-11-13,2941423.560276394,null
2009-11-14,2977711.555941034,null
2009-11-15,3124938.6261652606,null
2009-11-16,3472966.5021635005,null
2009-11-17,3700263.238982495,null
2009-11-18,3761000.597382755,null
2009-11-19,3871568.505216633,null
2009-11-20,3899879.8305287333,null
2009-11-21,3930623.4821526636,null
2009-11-22,4113754.21354424,null
2009-11-23,4216701.741619241,null
2009-11-24,4432678.94782734,null
2009-11-25,4438445.706677071,null
2009-11-26,4398421.929424402,null
2009-11-27,4301938.126540435,null
2009-11-28,4225240.907299093,null
2009-11-29,4100798.2007608055,null
2009-11-30,4065990.123484446,null
2009-12-01,4000847.499825819,null
2009-12-02,4106336.876530859,null
2009-12-03,4075808.517152348,null
2009-12-04,4005633.742770821,null
2009-12-05,3844463.946805775,null
2009-12-06,3831524.7673894325,null
2009-12-07,3825978.4969874066,null
2009-12-08,3926915.656226091,null
2009-12-09,3988911.570721905,null
2009-12-10,4082684.6289083418,null
2009-12-11,4456707.869368258,null
