Time,BTC number of daily active addresses,Price
2009-01-04,1,0.0
2009-01-05,0,0.0
2009-01-06,0,0.0
2009-01-07,0,0.0
2009-01-08,0,0.0
2009-01-09,14,0.0
2009-01-10,18,0.0
2009-01-11,108,0.0
2009-01-12,96,0.0
2009-01-13,119,0.0
2009-01-14,124,0.0
2009-01-15,141,0.0
2009-01-16,125,0.0
2009-01-17,108,0.0
2009-01-18,103,0.0
2009-01-19,123,0.0
2009-01-20,134,0.0
2009-01-21,126,0.0
2009-01-22,86,0.0
2009-01-23,57,0.0
2009-01-24,221,0.0
2009-01-25,199,0.0
2009-01-26,124,0.0
2009-01-27,125,0.0
2009-01-28,104,0.0
2009-01-29,116,0.0
2009-01-30,140,0.0
2009-01-31,122,0.0
2009-02-01,142,0.0
2009-02-02,130,0.0
2009-02-03,147,0.0
2009-02-04,130,0.0
2009-02-05,120,0.0
2009-02-06,126,0.0
2009-02-07,158,0.0
2009-02-08,134,0.0
2009-02-09,128,0.0
2009-02-10,171,0.0
2009-02-11,145,0.0
2009-02-12,125,0.0
2009-02-13,120,0.0
2009-02-14,137,0.0
2009-02-15,126,0.0
2009-02-16,139,0.0
2009-02-17,148,0.0
2009-02-18,121,0.0
2009-02-19,117,0.0
2009-02-20,150,0.0
2009-02-21,105,0.0
2009-02-22,136,0.0
2009-02-23,108,0.0
2009-02-24,107,0.0
2009-02-25,111,0.0
2009-02-26,97,0.0
2009-02-27,120,0.0
2009-02-28,142,0.0
2009-03-01,111,0.0
2009-03-02,106,0.0
2009-03-03,114,0.0
2009-03-04,108,0.0
2009-03-05,129,0.0
2009-03-06,128,0.0
2009-03-07,110,0.0
2009-03-08,113,0.0
2009-03-09,144,0.0
2009-03-10,104,0.0
2009-03-11,107,0.0
2009-03-12,122,0.0
2009-03-13,125,0.0
2009-03-14,116,0.0
2009-03-15,113,0.0
2009-03-16,128,0.0
2009-03-17,168,0.0
2009-03-18,109,0.0
2009-03-19,136,0.0
2009-03-20,119,0.0
2009-03-21,98,0.0
2009-03-22,86,0.0
2009-03-23,139,0.0
2009-03-24,109,0.0
2009-03-25,117,0.0
2009-03-26,142,0.0
2009-03-27,111,0.0
2009-03-28,117,0.0
2009-03-29,112,0.0
2009-03-30,125,0.0
2009-03-31,145,0.0
2009-04-01,109,0.0
2009-04-02,121,0.0
2009-04-03,112,0.0
2009-04-04,111,0.0
2009-04-05,132,0.0
2009-04-06,128,0.0
2009-04-07,102,0.0
2009-04-08,107,0.0
2009-04-09,97,0.0
2009-04-10,99,0.0
2009-04-11,135,0.0
2009-04-12,113,0.0
2009-04-13,128,0.0
2009-04-14,125,0.0
2009-04-15,111,0.0
2009-04-16,124,0.0
2009-04-17,116,0.0
2009-04-18,125,0.0
2009-04-19,131,0.0
2009-04-20,163,0.0
2009-04-21,192,0.0
2009-04-22,124,0.0
2009-04-23,84,0.0
2009-04-24,107,0.0
2009-04-25,125,0.0
2009-04-26,125,0.0
2009-04-27,105,0.0
2009-04-28,114,0.0
