Time,BTC total addresses,Price
2009-01-04,0,0.0
2009-01-05,1,0.0
2009-01-06,1,0.0
2009-01-07,1,0.0
2009-01-08,1,0.0
2009-01-09,15,0.0
2009-01-10,33,0.0
2009-01-11,141,0.0
2009-01-12,236,0.0
2009-01-13,354,0.0
2009-01-14,478,0.0
2009-01-15,608,0.0
2009-01-16,731,0.0
2009-01-17,837,0.0
2009-01-18,940,0.0
2009-01-19,1060,0.0
2009-01-20,1177,0.0
2009-01-21,1293,0.0
2009-01-22,1368,0.0
2009-01-23,1422,0.0
2009-01-24,1626,0.0
2009-01-25,1824,0.0
2009-01-26,1948,0.0
2009-01-27,2049,0.0
2009-01-28,2153,0.0
2009-01-29,2269,0.0
2009-01-30,2396,0.0
2009-01-31,2518,0.0
2009-02-01,2640,0.0
2009-02-02,2768,0.0
2009-02-03,2913,0.0
2009-02-04,3039,0.0
2009-02-05,3159,0.0
2009-02-06,3285,0.0
2009-02-07,3420,0.0
2009-02-08,3553,0.0
2009-02-09,3681,0.0
2009-02-10,3807,0.0
2009-02-11,3942,0.0
2009-02-12,4063,0.0
2009-02-13,4183,0.0
2009-02-14,4320,0.0
2009-02-15,4446,0.0
2009-02-16,4574,0.0
2009-02-17,4691,0.0
2009-02-18,4812,0.0
2009-02-19,4929,0.0
2009-02-20,5062,0.0
2009-02-21,5167,0.0
2009-02-22,5295,0.0
2009-02-23,5403,0.0
2009-02-24,5510,0.0
2009-02-25,5621,0.0
2009-02-26,5718,0.0
2009-02-27,5838,0.0
2009-02-28,5943,0.0
2009-03-01,6046,0.0
2009-03-02,6152,0.0
2009-03-03,6257,0.0
2009-03-04,6365,0.0
2009-03-05,6468,0.0
2009-03-06,6587,0.0
2009-03-07,6697,0.0
2009-03-08,6810,0.0
2009-03-09,6929,0.0
2009-03-10,7033,0.0
2009-03-11,7140,0.0
2009-03-12,7259,0.0
2009-03-13,7370,0.0
2009-03-14,7486,0.0
2009-03-15,7599,0.0
2009-03-16,7727,0.0
2009-03-17,7846,0.0
2009-03-18,7955,0.0
2009-03-19,8076,0.0
2009-03-20,8195,0.0
2009-03-21,8280,0.0
2009-03-22,8366,0.0
2009-03-23,8493,0.0
2009-03-24,8602,0.0
2009-03-25,8719,0.0
2009-03-26,8832,0.0
2009-03-27,8943,0.0
2009-03-28,9060,0.0
2009-03-29,9172,0.0
2009-03-30,9297,0.0
2009-03-31,9409,0.0
2009-04-01,9518,0.0
2009-04-02,9639,0.0
2009-04-03,9751,0.0
2009-04-04,9862,0.0
