,date,transactions,block_size_x,difficulty,hashrate,av_transaction_size,block_size_y,active_addresses,full_name,coin
0,2015/07/30,null,643.886,121335493201,11114186636,,643.886,,ethereum,eth
1,2015/07/31,null,582.028,602941851594,51376122067,,582.028,,ethereum,eth
2,2015/08/01,null,575.164,887254173531,57794141228,,575.164,,ethereum,eth
3,2015/08/02,null,580.879,1020253707547,67898971177,,580.879,,ethereum,eth
4,2015/08/03,null,587.112,1125837358847,74572708586,,587.112,,ethereum,eth
5,2015/08/04,null,586.97,1216587344565,82043945495,,586.97,,ethereum,eth
6,2015/08/05,null,578.946,1327837857487,86146792187,,578.946,,ethereum,eth
7,2015/08/06,null,583.671,1380846362252,88328908216,,583.671,,ethereum,eth
8,2015/08/07,2050,632.625,1470838650662,95297747680,0.0566,632.625,1214,ethereum,eth
9,2015/08/08,2881,667.595,1586123528941,104892236891,0.0401,667.595,959,ethereum,eth
10,2015/08/09,1329,618.298,1709479787485,109676945486,0.00844,618.298,817,ethereum,eth
11,2015/08/10,2037,631.186,1837695763268,120610799180,0.0112,631.186,1482,ethereum,eth
12,2015/08/11,4963,692.014,2036390797503,134766886331,0.00187,692.014,4204,ethereum,eth
13,2015/08/12,2036,653.426,2207079742290,142999727420,0.0175,653.426,1114,ethereum,eth
14,2015/08/13,2842,665.722,2336979708058,156606018232,0.0122,665.722,1704,ethereum,eth
15,2015/08/14,3174,659.751,2671253150472,196722874450,0.0089,659.751,2082,ethereum,eth
16,2015/08/15,2284,638.335,3378028425874,227666580264,0.00695,638.335,1703,ethereum,eth
17,2015/08/16,2440,640.654,3631632144443,231942202731,0.00378,640.654,1556,ethereum,eth
18,2015/08/17,2512,634.708,3908024035253,258915864705,0.00423,634.708,1635,ethereum,eth
19,2015/08/18,2494,648.488,4377694725369,270470331405,0.00572,648.488,1688,ethereum,eth
20,2015/08/19,3246,653.321,4419573021825,284044135459,0.00593,653.321,1845,ethereum,eth
21,2015/08/20,2303,650.093,4469109431846,221468069465,0.00402,650.093,1508,ethereum,eth
22,2015/08/21,3919,667.585,4415252643655,277264309584,0.003,667.585,1993,ethereum,eth
23,2015/08/22,3579,648.038,4828340997895,312618144214,0.0168,648.038,2063,ethereum,eth
24,2015/08/23,4190,680.592,5138351075673,317162749743,0.00259,680.592,2261,ethereum,eth
25,2015/08/24,4432,672.547,5179118882691,333335492749,0.0026,672.547,2123,ethereum,eth
26,2015/08/25,4487,679.73,5173287673223,325201816316,0.0022,679.73,2376,ethereum,eth
27,2015/08/26,4156,668.652,5587304091732,343102359407,0.00204,668.652,2218,ethereum,eth
28,2015/08/27,5590,707.929,5925309861486,341118418030,0.0018,707.929,2404,ethereum,eth
29,2015/08/28,4758,690.88,6250868351996,355219519712,0.00243,690.88,2281,ethereum,eth
30,2015/08/29,4139,682.036,6657649139910,351443303077,0.00157,682.036,2021,ethereum,eth
31,2015/08/30,4572,688.936,6780904668948,340150290111,0.00151,688.936,2391,ethereum,eth
32,2015/08/31,5196,730.651,7213764433229,359341490869,0.00188,730.651,2256,ethereum,eth
33,2015/09/01,5153,741.283,7641499013978,363512354042,0.00207,741.283,2287,ethereum,eth
34,2015/09/02,5195,766.282,8283953338039,355779356316,0.00207,766.282,2216,ethereum,eth
35,2015/09/03,4777,755.39,8354596884231,339122685055,0.00185,755.39,2055,ethereum,eth
36,2015/09/04,5642,762.357,6469670080246,349982135772,0.00219,762.357,2078,ethereum,eth
37,2015/09/05,5519,752.895,6235386210269,374913124969,0.00214,752.895,2146,ethereum,eth
38,2015/09/06,5521,733.459,6305025872317,388433114376,0.00195,733.459,2292,ethereum,eth
39,2015/09/07,5702,752.6,6339141092888,379841573552,0.00208,752.6,2386,ethereum,eth
40,2015/09/08,5622,759.387,6077004932539,370785471097,0.00231,759.387,2415,ethereum,eth
41,2015/09/09,5604,764.624,6202066849532,386137579875,0.00216,764.624,2338,ethereum,eth
42,2015/09/10,5341,729.94,6289587949043,392080890204,0.00177,729.94,2322,ethereum,eth
43,2015/09/11,6460,735.909,6561787910853,421668550189,0.00145,735.909,2592,ethereum,eth
44,2015/09/12,5596,761.423,6832639915712,424171784402,0.00208,761.423,2307,ethereum,eth
45,2015/09/13,6057,763.561,7022050607216,432689994307,0.00155,763.561,2361,ethereum,eth
46,2015/09/14,5572,771.17,6626273317244,399653850867,0.00161,771.17,2471,ethereum,eth
47,2015/09/15,5409,755.325,6418523305692,387803268389,0.00143,755.325,2198,ethereum,eth
48,2015/09/16,5872,738.598,6179108814558,383930083752,0.00238,738.598,2238,ethereum,eth
49,2015/09/17,5368,753.392,6040422718682,362139920117,0.0014,753.392,2274,ethereum,eth
50,2015/09/18,5802,784.676,5652727817263,346369552396,0.00176,784.676,2143,ethereum,eth
51,2015/09/19,5205,734.69,5548291301468,357412908757,0.0013,734.69,2030,ethereum,eth
52,2015/09/20,6402,765.962,6202288372044,408789286949,0.00153,765.962,2205,ethereum,eth
53,2015/09/21,6305,778.834,6541475961495,410003700797,0.00149,778.834,2310,ethereum,eth
54,2015/09/22,6804,806.983,6624026779678,410100833217,0.0015,806.983,2355,ethereum,eth
55,2015/09/23,7404,784.06,6895375007165,438890619973,0.00129,784.06,2686,ethereum,eth
56,2015/09/24,6224,781.651,7029217239892,436218902912,0.00143,781.651,2427,ethereum,eth
57,2015/09/25,5851,767.053,6977082570625,443478115526,0.0013,767.053,2339,ethereum,eth
58,2015/09/26,5907,764.729,7226850619904,440625930565,0.00115,764.729,2176,ethereum,eth
59,2015/09/27,5760,724.726,7252906515025,426457256785,0.00109,724.726,2176,ethereum,eth
60,2015/09/28,6123,755.213,6747096187571,391416619823,0.000992,755.213,2380,ethereum,eth
61,2015/09/29,5738,762.181,6057282503508,347260201937,0.000955,762.181,2267,ethereum,eth
62,2015/09/30,5870,741.895,5625252282980,332846785960,0.000959,741.895,2223,ethereum,eth
63,2015/10/01,6421,740.884,5652882534059,365320370591,0.000951,740.884,2188,ethereum,eth
64,2015/10/02,6063,773.068,5981731817267,378477872389,0.00109,773.068,2063,ethereum,eth
65,2015/10/03,6112,768.651,6290812311295,390965346687,0.00111,768.651,2084,ethereum,eth
66,2015/10/04,6624,775.841,6205739662281,371097040216,0.000961,775.841,2082,ethereum,eth
67,2015/10/05,6279,771.409,6284591115849,385593881655,0.00121,771.409,2128,ethereum,eth
68,2015/10/06,6458,781.023,6276470353925,368489379087,0.000962,781.023,2140,ethereum,eth
