Time,ETH daily transaction fee,Price
2015-07-30,0.0,0.0
2015-07-31,0.0,0.0
2015-08-01,0.0,0.0
2015-08-02,0.0,0.0
2015-08-03,0.0,0.0
2015-08-04,0.0,0.0
2015-08-05,0.0,0.0
2015-08-06,0.0,0.0
2015-08-07,15.86,3.49087358
2015-08-08,72.01,2.64024425
2015-08-09,28.39,0.69646382
2015-08-10,18.67,0.66556972
2015-08-11,24.63,0.70228821
2015-08-12,25.3,1.19412768
2015-08-13,18.25,1.44813585
2015-08-14,27.49,1.95217466
2015-08-15,8.49,1.73802364
2015-08-16,8.2,1.46309757
2015-08-17,6.48,1.31342125
2015-08-18,13.21,1.29511821
2015-08-19,9.76,1.26502979
2015-08-20,12.35,1.31215394
2015-08-21,6.06,1.4865005
2015-08-22,44.82,1.42915428
2015-08-23,6.41,1.40486002
2015-08-24,8.36,1.34696114
2015-08-25,8.26,1.18612492
2015-08-26,7.72,1.19119453
2015-08-27,8.37,1.15213394
2015-08-28,11.05,1.18332875
2015-08-29,5.95,1.18745327
2015-08-30,5.4,1.17879224
2015-08-31,6.66,1.23122013
2015-09-01,8.3,1.3388381
2015-09-02,7.29,1.3469727
2015-09-03,7.65,1.29891336
2015-09-04,8.56,1.27088296
2015-09-05,9.79,1.31005204
2015-09-06,7.69,1.3656491
2015-09-07,9.51,1.25252545
2015-09-08,10.1,1.23939872
2015-09-09,10.22,1.24503684
2015-09-10,7.67,1.19812691
2015-09-11,9.59,0.98693073
2015-09-12,9.92,0.99802619
2015-09-13,11.04,0.985183
2015-09-14,9.85,0.89336598
2015-09-15,8.31,0.97980434
2015-09-16,7.99,0.94147724
2015-09-17,15.43,0.89967048
2015-09-18,9.9,0.86027586
2015-09-19,10.29,0.84628642
2015-09-20,10.86,0.88392901
2015-09-21,9.83,0.94609672
2015-09-22,11.0,0.88314307
2015-09-23,11.02,0.90080476
2015-09-24,9.8,0.8330701
2015-09-25,9.98,0.7689485
2015-09-26,10.16,0.72844189
2015-09-27,7.21,0.77423698
2015-09-28,9.27,0.67991251
2015-09-29,9.92,0.57203287
2015-09-30,8.72,0.64813733
2015-10-01,7.91,0.72640109
2015-10-02,10.12,0.6599189
2015-10-03,9.21,0.70160943
2015-10-04,10.24,0.67040098
2015-10-05,11.25,0.66451824
2015-10-06,9.73,0.62358665
2015-10-07,10.96,0.65175253
2015-10-08,12.68,0.59597468
2015-10-09,10.7,0.66239917
2015-10-10,13.08,0.64317811
2015-10-11,9.76,0.63022649
2015-10-12,8.45,0.65778887
2015-10-13,12.93,0.60851949
2015-10-14,10.6,0.56445336
2015-10-15,14.55,0.54174834
2015-10-16,26.26,0.55452949
2015-10-17,11.45,0.53965616
2015-10-18,12.23,0.51858705
2015-10-19,14.51,0.51569498
2015-10-20,10.22,0.49077821
2015-10-21,11.32,0.47601378
2015-10-22,11.87,0.4251838
2015-10-23,13.42,0.56755406
2015-10-24,11.47,0.54779279
2015-10-25,9.67,0.65844512
2015-10-26,10.27,0.65446395
2015-10-27,16.73,0.82599086
2015-10-28,12.7,0.83443052
2015-10-29,10.99,1.15395772
2015-10-30,15.7,1.30969465
2015-10-31,13.16,0.96135074
2015-11-01,13.6,0.95633382
2015-11-02,15.43,1.04413021
2015-11-03,11.21,0.9752112
2015-11-04,10.4,0.98588955
2015-11-05,9.79,0.96298873
2015-11-06,10.69,0.86616153
2015-11-07,21.99,0.90581286
2015-11-08,40.02,0.93218809
2015-11-09,16.31,1.10504436
2015-11-10,14.36,0.9734078
2015-11-11,21.69,0.85077131
2015-11-12,24.75,0.77559644
2015-11-13,19.16,0.89510471
2015-11-14,16.93,0.89270341
2015-11-15,12.38,0.89043051
2015-11-16,9.94,0.90162373
2015-11-17,10.52,0.91575503
2015-11-18,10.18,0.96721065
2015-11-19,14.62,1.00674951
2015-11-20,13.11,0.91102046
2015-11-21,11.29,0.92227244
2015-11-22,11.33,0.96180123
2015-11-23,12.77,0.96452993
2015-11-24,12.9,0.94214731
2015-11-25,10.37,0.88942003
2015-11-26,12.13,0.8747912
2015-11-27,9.59,0.87907678
2015-11-28,14.58,0.88074028
2015-11-29,9.06,0.90759629
2015-11-30,18.77,0.86545026
2015-12-01,14.12,0.87134773
2015-12-02,12.35,0.84483999
2015-12-03,10.18,0.8063283
2015-12-04,10.94,0.81392032
2015-12-05,13.04,0.8587696
2015-12-06,17.95,0.86979187
2015-12-07,10.37,0.79386562
2015-12-08,9.97,0.78596514
2015-12-09,9.75,0.7860868
2015-12-10,9.97,0.8399682
2015-12-11,13.02,0.83151817
2015-12-12,23.09,0.99525732
2015-12-13,17.57,0.97319835
2015-12-14,47.93,0.96965766
2015-12-15,90.94,1.01842892
2015-12-16,89.38,0.98498374
2015-12-17,38.28,0.9809624
2015-12-18,30.25,0.91734028
2015-12-19,28.83,0.90443665
2015-12-20,33.14,0.92230278
2015-12-21,39.97,0.89747751
2015-12-22,31.21,0.89644194
2015-12-23,83.35,0.85935557
2015-12-24,70.67,0.87774491
2015-12-25,30.88,0.8661043
2015-12-26,22.3,0.86289287
2015-12-27,33.59,0.8465516
2015-12-28,90.88,0.87239414
2015-12-29,36.0,0.84508348
2015-12-30,76.22,0.88109893
2015-12-31,30.54,0.95315617
2016-01-01,16.99,0.94212908
2016-01-02,18.73,0.95676959
2016-01-03,19.35,0.94983006
2016-01-04,20.11,0.94864452
2016-01-05,21.49,0.97059739
2016-01-06,90.57,0.94355929
2016-01-07,74.44,0.95830619
2016-01-08,30.81,0.96605694
2016-01-09,27.45,0.97822481
2016-01-10,40.37,0.9913255
2016-01-11,21.25,1.06275415
2016-01-12,27.59,1.14950073
2016-01-13,51.14,1.13267255
2016-01-14,34.83,1.14019752
2016-01-15,25.41,1.29996228
2016-01-16,20.15,1.25592315
2016-01-17,21.48,1.23351443
2016-01-18,19.58,1.52444291
2016-01-19,45.13,1.38271248
2016-01-20,18.67,1.59637213
2016-01-21,20.98,1.53912294
2016-01-22,30.01,1.53445899
2016-01-23,18.46,1.52795529
2016-01-24,22.71,2.04427361
2016-01-25,28.29,2.53277397
