Time,ETH market cap,Price
2015-08-07,2.522864831777445E8,3.49087358
2015-08-08,1.9088651416517186E8,2.64024425
2015-08-09,5.03725754654279E7,0.69646382
2015-08-10,4.815647149261435E7,0.66556972
2015-08-11,5.083258455194954E7,0.70228821
2015-08-12,8.646577649418838E7,1.19412768
2015-08-13,1.0489893633219433E8,1.44813585
2015-08-14,1.4146802915224335E8,1.95217466
2015-08-15,1.2600100726141399E8,1.73802364
2015-08-16,1.0610930460574684E8,1.46309757
2015-08-17,9.529059956568623E7,1.31342125
2015-08-18,9.399849246245241E7,1.29511821
2015-08-19,9.184820466026476E7,1.26502979
2015-08-20,9.530092081133403E7,1.31215394
2015-08-21,1.0799991541469133E8,1.4865005
2015-08-22,1.0387278587885872E8,1.42915428
2015-08-23,1.021444866465959E8,1.40486002
2015-08-24,9.797072060459566E7,1.34696114
2015-08-25,8.630369409081955E7,1.18612492
2015-08-26,8.670452677639154E7,1.19119453
2015-08-27,8.389025624021196E7,1.15213394
2015-08-28,8.619104215486056E7,1.18332875
2015-08-29,8.651863290417968E7,1.18745327
2015-08-30,8.591237101468244E7,1.17879224
2015-08-31,8.976028468012147E7,1.23122013
2015-09-01,9.763334826928923E7,1.3388381
2015-09-02,9.825317194698901E7,1.3469727
2015-09-03,9.476933049252607E7,1.29891336
2015-09-04,9.275104883783658E7,1.27088296
2015-09-05,9.56428016788159E7,1.31005204
2015-09-06,9.973731889177516E7,1.3656491
2015-09-07,9.150783494552913E7,1.25252545
2015-09-08,9.058019207721652E7,1.23939872
2015-09-09,9.10252916079648E7,1.24503684
2015-09-10,8.762730975684768E7,1.19812691
2015-09-11,7.2207817539752E7,0.98693073
2015-09-12,7.304593437188783E7,0.99802619
2015-09-13,7.213198888282186E7,0.985183
2015-09-14,6.54322821606717E7,0.89336598
2015-09-15,7.178840346532439E7,0.97980434
2015-09-16,6.900479305572821E7,0.94147724
2015-09-17,6.5964142697739825E7,0.89967048
2015-09-18,6.309754552143221E7,0.86027586
2015-09-19,6.209410198045173E7,0.84628642
2015-09-20,6.488089720600216E7,0.88392901
2015-09-21,6.946963490330832E7,0.94609672
2015-09-22,6.487020300904329E7,0.88314307
2015-09-23,6.6191699891973086E7,0.90080476
2015-09-24,6.123663225691181E7,0.8330701
2015-09-25,5.654358544517127E7,0.7689485
2015-09-26,5.358436095975289E7,0.72844189
2015-09-27,5.6973007515002474E7,0.77423698
2015-09-28,5.004863322806999E7,0.67991251
2015-09-29,4.212146458930118E7,0.57203287
2015-09-30,4.774167867791202E7,0.64813733
2015-10-01,5.352585860046424E7,0.72640109
2015-10-02,4.864490937694177E7,0.6599189
2015-10-03,5.173697439460047E7,0.70160943
2015-10-04,4.945257150819929E7,0.67040098
2015-10-05,4.903601701839984E7,0.66451824
2015-10-06,4.603164292459312E7,0.62358665
2015-10-07,4.8127372480124295E7,0.65175253
2015-10-08,4.402449747012881E7,0.59597468
2015-10-09,4.894835732054111E7,0.66239917
2015-10-10,4.75441759346487E7,0.64317811
2015-10-11,4.6603613418652415E7,0.63022649
2015-10-12,4.865909906164574E7,0.65778887
2015-10-13,4.503082402959861E7,0.60851949
2015-10-14,4.178465510498016E7,0.56445336
2015-10-15,4.0117708413977295E7,0.54174834
2015-10-16,4.1078216624757364E7,0.55452949
2015-10-17,3.999080573592339E7,0.53965616
2015-10-18,3.844276193177348E7,0.51858705
2015-10-19,3.824187203750953E7,0.51569498
2015-10-20,3.640706301759681E7,0.49077821
2015-10-21,3.532414796801553E7,0.47601378
2015-10-22,3.156291019740246E7,0.4251838
2015-10-23,4.2146850418398656E7,0.56755406
2015-10-24,4.0694341099284306E7,0.54779279
2015-10-25,4.893224592233787E7,0.65844512
2015-10-26,4.865370751314617E7,0.65446395
2015-10-27,6.14274461435536E7,0.82599086
2015-10-28,6.207715907871322E7,0.83443052
2015-10-29,8.587926160954681E7,1.15395772
2015-10-30,9.750572961829594E7,1.30969465
2015-10-31,7.159907727679572E7,0.96135074
2015-11-01,7.125176425542063E7,0.95633382
2015-11-02,7.782218601388758E7,1.04413021
2015-11-03,7.271173887362373E7,0.9752112
2015-11-04,7.353580229172981E7,0.98588955
2015-11-05,7.185359912376046E7,0.96298873
2015-11-06,6.465258410428277E7,0.86616153
2015-11-07,6.763643542648816E7,0.90581286
2015-11-08,6.963167505291694E7,0.93218809
2015-11-09,8.257291038449849E7,1.10504436
2015-11-10,7.276320192486376E7,0.9734078
2015-11-11,6.361947554413865E7,0.85077131
2015-11-12,5.801984937536491E7,0.77559644
2015-11-13,6.6985104077291414E7,0.89510471
2015-11-14,6.683083815684981E7,0.89270341
2015-11-15,6.668580915769605E7,0.89043051
2015-11-16,6.754878953303827E7,0.90162373
2015-11-17,6.863264983740228E7,0.91575503
2015-11-18,7.251565477873565E7,0.96721065
2015-11-19,7.550735720006813E7,1.00674951
2015-11-20,6.835057948956789E7,0.91102046
2015-11-21,6.921927081256108E7,0.92227244
2015-11-22,7.221182883928448E7,0.96180123
2015-11-23,7.244298655626918E7,0.96452993
2015-11-24,7.078723816475892E7,0.94214731
2015-11-25,6.6849142597727485E7,0.88942003
2015-11-26,6.57730718253777E7,0.8747912
2015-11-27,6.611933752843664E7,0.87907678
2015-11-28,6.6268585587132685E7,0.88074028
2015-11-29,6.831409590789478E7,0.90759629
2015-11-30,6.516545193171605E7,0.86545026
2015-12-01,6.563335477998317E7,0.87134773
2015-12-02,6.3659315549917065E7,0.84483999
2015-12-03,6.077929127914632E7,0.8063283
2015-12-04,6.137372241711062E7,0.81392032
2015-12-05,6.4778490849169485E7,0.8587696
2015-12-06,6.56326599556079E7,0.86979187
2015-12-07,5.992451071633651E7,0.79386562
2015-12-08,5.9349081500186026E7,0.78596514
2015-12-09,5.9380019937655315E7,0.7860868
2015-12-10,6.347337708288819E7,0.8399682
2015-12-11,6.285776118208402E7,0.83151817
2015-12-12,7.526197345139727E7,0.99525732
2015-12-13,7.362153051691164E7,0.97319835
2015-12-14,7.337920464777592E7,0.96965766
2015-12-15,7.70977033462202E7,1.01842892
2015-12-16,7.459203021176542E7,0.98498374
2015-12-17,7.431358068278871E7,0.9809624
2015-12-18,6.951828561687957E7,0.91734028
2015-12-19,6.856478256147969E7,0.90443665
2015-12-20,6.994318196880856E7,0.92230278
2015-12-21,6.808443496473537E7,0.89747751
2015-12-22,6.803047138396819E7,0.89644194
2015-12-23,6.523944198146176E7,0.85935557
2015-12-24,6.6659227006759584E7,0.87774491
2015-12-25,6.579831842305393E7,0.8661043
2015-12-26,6.557711064168781E7,0.86289287
2015-12-27,6.435820553144527E7,0.8465516
2015-12-28,6.6346250615578756E7,0.87239414
2015-12-29,6.429193816911119E7,0.84508348
2015-12-30,6.705520916585295E7,0.88109893
2015-12-31,7.256496414365432E7,0.95315617
