Time,ETH average computing power of the entire network,Price
2015-07-30,2.710179289764E8,0.0
2015-07-31,3.92895519197516E10,0.0
2015-08-01,5.26408351329957E10,0.0
2015-08-02,6.06266563018034E10,0.0
2015-08-03,6.73840947373006E10,0.0
2015-08-04,7.29211463834797E10,0.0
2015-08-05,7.98737980321894E10,0.0
2015-08-06,7.95646224661289E10,0.0
2015-08-07,8.63334430708303E10,3.49087358
2015-08-08,9.59152341264901E10,2.64024425
2015-08-09,9.98375852687058E10,0.69646382
2015-08-10,1.070650989806741E11,0.66556972
2015-08-11,1.18263028051263E11,0.70228821
2015-08-12,1.319626166418161E11,1.19412768
2015-08-13,1.374901325435133E11,1.44813585
2015-08-14,1.597972888442549E11,1.95217466
2015-08-15,2.069346396611124E11,1.73802364
2015-08-16,2.092351106362297E11,1.46309757
2015-08-17,2.327502289987245E11,1.31342125
2015-08-18,2.57874417030334E11,1.29511821
2015-08-19,2.559965604620959E11,1.26502979
2015-08-20,2.697212895644942E11,1.31215394
2015-08-21,2.418582450348178E11,1.4865005
2015-08-22,2.82982756176523E11,1.42915428
2015-08-23,3.007682880934675E11,1.40486002
2015-08-24,3.02920546608582E11,1.34696114
2015-08-25,3.00068758558922E11,1.18612492
2015-08-26,3.218772909811631E11,1.19119453
2015-08-27,3.259095151962458E11,1.15213394
2015-08-28,3.379586805318459E11,1.18332875
2015-08-29,3.314163313846607E11,1.18745327
2015-08-30,3.173599841713392E11,1.17879224
2015-08-31,3.441300220265462E11,1.23122013
2015-09-01,3.460098152595507E11,1.3388381
2015-09-02,3.489950435666166E11,1.3469727
2015-09-03,3.368670268524065E11,1.29891336
2015-09-04,3.238375123308949E11,1.27088296
2015-09-05,3.491111534166042E11,1.31005204
2015-09-06,3.631452717130891E11,1.3656491
2015-09-07,3.565579354915962E11,1.25252545
2015-09-08,3.45300173895014E11,1.23939872
2015-09-09,3.591877732109967E11,1.24503684
2015-09-10,3.618096416923768E11,1.19812691
2015-09-11,3.804060062561474E11,0.98693073
2015-09-12,3.933227286947412E11,0.99802619
2015-09-13,4.072656879404937E11,0.985183
2015-09-14,3.805571238114944E11,0.89336598
2015-09-15,3.630544954107909E11,0.97980434
2015-09-16,3.557533297527637E11,0.94147724
2015-09-17,3.503008737070781E11,0.89967048
2015-09-18,3.200832564116609E11,0.86027586
2015-09-19,3.200177074918463E11,0.84628642
2015-09-20,3.654291102785847E11,0.88392901
2015-09-21,3.866990121204487E11,0.94609672
2015-09-22,3.805420909869803E11,0.88314307
2015-09-23,4.039620944209857E11,0.90080476
2015-09-24,4.108667835900336E11,0.8330701
2015-09-25,4.063973321224051E11,0.7689485
2015-09-26,4.18683308735186E11,0.72844189
2015-09-27,4.123309175003171E11,0.77423698
2015-09-28,3.781545532671614E11,0.67991251
2015-09-29,3.382809601842898E11,0.57203287
2015-09-30,3.158319914407065E11,0.64813733
2015-10-01,3.226995528914709E11,0.72640109
2015-10-02,3.525461035538988E11,0.6599189
2015-10-03,3.72443871013778E11,0.70160943
2015-10-04,3.512670035757969E11,0.67040098
2015-10-05,3.613707745324251E11,0.66451824
2015-10-06,3.608129175346385E11,0.62358665
2015-10-07,3.415305235981306E11,0.65175253
2015-10-08,3.540689433072927E11,0.59597468
2015-10-09,3.501401813470266E11,0.66239917
2015-10-10,3.423761757886005E11,0.64317811
2015-10-11,3.589322877370456E11,0.63022649
2015-10-12,3.585110679795339E11,0.65778887
2015-10-13,3.768984790494773E11,0.60851949
2015-10-14,3.723684083501809E11,0.56445336
2015-10-15,3.583523243526975E11,0.54174834
2015-10-16,3.34711325973798E11,0.55452949
2015-10-17,3.476434994641418E11,0.53965616
2015-10-18,3.416110937283306E11,0.51858705
2015-10-19,3.421811433900787E11,0.51569498
2015-10-20,3.41446055898896E11,0.49077821
2015-10-21,3.365703996380956E11,0.47601378
2015-10-22,3.262873442813347E11,0.4251838
2015-10-23,3.413623556276252E11,0.56755406
2015-10-24,3.735636566989984E11,0.54779279
2015-10-25,3.870234560760837E11,0.65844512
2015-10-26,3.833087789735482E11,0.65446395
2015-10-27,3.793991731485672E11,0.82599086
2015-10-28,3.935686235044496E11,0.83443052
2015-10-29,4.088331561280714E11,1.15395772
2015-10-30,4.385239284027322E11,1.30969465
2015-10-31,4.715449067570425E11,0.96135074
2015-11-01,4.578138887503973E11,0.95633382
2015-11-02,4.585153608704281E11,1.04413021
2015-11-03,4.246001346533893E11,0.9752112
2015-11-04,4.599827819864555E11,0.98588955
2015-11-05,4.447688459752243E11,0.96298873
2015-11-06,4.52709368787504E11,0.86616153
2015-11-07,4.357156026400327E11,0.90581286
2015-11-08,4.453627658089917E11,0.93218809
2015-11-09,4.461609059820873E11,1.10504436
2015-11-10,4.516140555387938E11,0.9734078
2015-11-11,4.500920446770805E11,0.85077131
2015-11-12,4.531643417387283E11,0.77559644
2015-11-13,4.614862275747181E11,0.89510471
2015-11-14,4.747481601443469E11,0.89270341
2015-11-15,4.849336087792512E11,0.89043051
2015-11-16,4.853851369298706E11,0.90162373
2015-11-17,4.832860304914924E11,0.91575503
2015-11-18,4.998321844756609E11,0.96721065
2015-11-19,5.117353670166239E11,1.00674951
2015-11-20,4.622736842903396E11,0.91102046
2015-11-21,4.372157858639663E11,0.92227244
2015-11-22,4.405044311935263E11,0.96180123
2015-11-23,4.442669219368427E11,0.96452993
2015-11-24,4.435884276077648E11,0.94214731
2015-11-25,4.322784631707374E11,0.88942003
2015-11-26,4.37280613096274E11,0.8747912
2015-11-27,4.357788367331615E11,0.87907678
2015-11-28,4.473715622785327E11,0.88074028
2015-11-29,4.486776954436862E11,0.90759629
2015-11-30,4.570289993722402E11,0.86545026
2015-12-01,4.596931443535599E11,0.87134773
2015-12-02,4.527384213439396E11,0.84483999
2015-12-03,4.437703132171577E11,0.8063283
2015-12-04,4.524655239683674E11,0.81392032
2015-12-05,4.714832941169279E11,0.8587696
2015-12-06,4.518777065091594E11,0.86979187
2015-12-07,4.420766429247113E11,0.79386562
2015-12-08,4.394643197577545E11,0.78596514
2015-12-09,4.32748998911512E11,0.7860868
2015-12-10,4.541151941426971E11,0.8399682
2015-12-11,4.739060107045341E11,0.83151817
2015-12-12,4.654056567505413E11,0.99525732
2015-12-13,5.126952494697951E11,0.97319835
2015-12-14,4.951348144150646E11,0.96965766
2015-12-15,5.132790749612222E11,1.01842892
2015-12-16,5.012686337735599E11,0.98498374
2015-12-17,5.005404697478924E11,0.9809624
2015-12-18,5.108333352023371E11,0.91734028
2015-12-19,5.137531575571674E11,0.90443665
2015-12-20,4.873063011674193E11,0.92230278
2015-12-21,4.914874411575185E11,0.89747751
2015-12-22,5.191548403714357E11,0.89644194
2015-12-23,5.064246564060812E11,0.85935557
2015-12-24,4.974680534359154E11,0.87774491
2015-12-25,5.032275915809367E11,0.8661043
2015-12-26,4.866746312823847E11,0.86289287
2015-12-27,5.060312328271805E11,0.8465516
2015-12-28,4.94986644981937E11,0.87239414
2015-12-29,5.004312232027601E11,0.84508348
2015-12-30,4.873118636175234E11,0.88109893
2015-12-31,5.013007427688018E11,0.95315617
2016-01-01,4.930261591696307E11,0.94212908
2016-01-02,4.772837466350775E11,0.95676959
2016-01-03,4.902526865897176E11,0.94983006
2016-01-04,4.972656920681147E11,0.94864452
2016-01-05,4.877369086271868E11,0.97059739
2016-01-06,4.916185010147173E11,0.94355929
2016-01-07,4.820769399250802E11,0.95830619
2016-01-08,4.915711303279006E11,0.96605694
2016-01-09,4.978778885518101E11,0.97822481
2016-01-10,4.909660980570693E11,0.9913255
2016-01-11,5.15793651065947E11,1.06275415
2016-01-12,5.13653459759049E11,1.14950073
2016-01-13,4.911906158462471E11,1.13267255
2016-01-14,5.067102998945063E11,1.14019752
2016-01-15,5.286740769880658E11,1.29996228
2016-01-16,5.377063938804643E11,1.25592315
2016-01-17,5.283801253823823E11,1.23351443
2016-01-18,5.485860653774088E11,1.52444291
2016-01-19,5.466069663941228E11,1.38271248
2016-01-20,5.502868135116536E11,1.59637213
2016-01-21,5.549239642828329E11,1.53912294
2016-01-22,5.631801583981746E11,1.53445899
2016-01-23,5.819175710072354E11,1.52795529
2016-01-24,5.797023350624703E11,2.04427361
2016-01-25,5.923776910224453E11,2.53277397
2016-01-26,6.290324816635729E11,2.6500597
2016-01-27,6.21930461848341E11,2.36073828
2016-01-28,6.10396307346892E11,2.41116261
2016-01-29,6.301395690733566E11,2.57491207
2016-01-30,6.291581229154316E11,2.56336069
2016-01-31,6.05473725933E11,2.47952342
2016-02-01,6.314305515728821E11,2.21671295
2016-02-02,6.245133209702025E11,2.16603947
2016-02-03,6.323397499024255E11,2.50334001
2016-02-04,6.410535876629731E11,2.52249646
2016-02-05,6.606208081321602E11,2.55200076
2016-02-06,6.275981411123452E11,2.53738356
2016-02-07,6.45041696083912E11,2.76247025
2016-02-08,6.830451351860819E11,3.02670121
2016-02-09,6.517716241296237E11,3.6983912
2016-02-10,6.664666920912512E11,4.14425755
2016-02-11,6.980108266986079E11,4.64397573
2016-02-12,6.662409181522194E11,6.36936092
