Time,ETH number of daily transactions on the chain,Price
2015-07-30,8893,0.0
2015-07-31,0,0.0
2015-08-01,0,0.0
2015-08-02,0,0.0
2015-08-03,0,0.0
2015-08-04,0,0.0
2015-08-05,0,0.0
2015-08-06,0,0.0
2015-08-07,1348,3.49087358
2015-08-08,2733,2.64024425
2015-08-09,1685,0.69646382
2015-08-10,1330,0.66556972
2015-08-11,5421,0.70228821
2015-08-12,2236,1.19412768
2015-08-13,2151,1.44813585
2015-08-14,3677,1.95217466
2015-08-15,2520,1.73802364
2015-08-16,2492,1.46309757
2015-08-17,2204,1.31342125
2015-08-18,2567,1.29511821
2015-08-19,2550,1.26502979
2015-08-20,2749,1.31215394
2015-08-21,3042,1.4865005
2015-08-22,4456,1.42915428
2015-08-23,3385,1.40486002
2015-08-24,4553,1.34696114
2015-08-25,4197,1.18612492
2015-08-26,4868,1.19119453
2015-08-27,4840,1.15213394
2015-08-28,4860,1.18332875
2015-08-29,4275,1.18745327
2015-08-30,4108,1.17879224
2015-08-31,5291,1.23122013
2015-09-01,5046,1.3388381
2015-09-02,5214,1.3469727
2015-09-03,5028,1.29891336
2015-09-04,5341,1.27088296
2015-09-05,5546,1.31005204
2015-09-06,5118,1.3656491
2015-09-07,5922,1.25252545
2015-09-08,5873,1.23939872
2015-09-09,5572,1.24503684
2015-09-10,5037,1.19812691
2015-09-11,6626,0.98693073
2015-09-12,5672,0.99802619
2015-09-13,6157,0.985183
2015-09-14,5606,0.89336598
2015-09-15,5127,0.97980434
2015-09-16,5805,0.94147724
2015-09-17,5725,0.89967048
2015-09-18,5462,0.86027586
2015-09-19,5377,0.84628642
2015-09-20,6187,0.88392901
2015-09-21,6292,0.94609672
2015-09-22,6575,0.88314307
2015-09-23,7440,0.90080476
2015-09-24,6581,0.8330701
2015-09-25,5700,0.7689485
2015-09-26,6252,0.72844189
2015-09-27,5830,0.77423698
2015-09-28,6006,0.67991251
2015-09-29,5641,0.57203287
2015-09-30,5819,0.64813733
2015-10-01,6401,0.72640109
2015-10-02,6118,0.6599189
2015-10-03,5965,0.70160943
2015-10-04,6533,0.67040098
2015-10-05,6482,0.66451824
2015-10-06,6355,0.62358665
2015-10-07,6853,0.65175253
2015-10-08,7229,0.59597468
2015-10-09,6619,0.66239917
2015-10-10,6755,0.64317811
2015-10-11,6257,0.63022649
2015-10-12,6177,0.65778887
2015-10-13,6806,0.60851949
2015-10-14,6746,0.56445336
2015-10-15,6596,0.54174834
2015-10-16,6843,0.55452949
2015-10-17,6631,0.53965616
2015-10-18,6288,0.51858705
2015-10-19,6853,0.51569498
2015-10-20,5988,0.49077821
2015-10-21,6190,0.47601378
2015-10-22,5785,0.4251838
2015-10-23,6734,0.56755406
2015-10-24,6542,0.54779279
2015-10-25,5885,0.65844512
2015-10-26,6061,0.65446395
2015-10-27,6510,0.82599086
2015-10-28,6732,0.83443052
2015-10-29,7695,1.15395772
2015-10-30,8263,1.30969465
2015-10-31,7491,0.96135074
2015-11-01,7247,0.95633382
2015-11-02,6957,1.04413021
2015-11-03,6979,0.9752112
2015-11-04,6973,0.98588955
2015-11-05,7263,0.96298873
2015-11-06,7123,0.86616153
2015-11-07,8381,0.90581286
2015-11-08,14990,0.93218809
2015-11-09,8564,1.10504436
2015-11-10,7744,0.9734078
2015-11-11,9796,0.85077131
2015-11-12,9557,0.77559644
2015-11-13,8736,0.89510471
2015-11-14,7168,0.89270341
2015-11-15,7268,0.89043051
2015-11-16,7146,0.90162373
2015-11-17,7270,0.91575503
2015-11-18,7364,0.96721065
2015-11-19,8458,1.00674951
2015-11-20,7192,0.91102046
2015-11-21,6798,0.92227244
2015-11-22,7159,0.96180123
2015-11-23,8165,0.96452993
2015-11-24,6989,0.94214731
2015-11-25,7183,0.88942003
2015-11-26,7320,0.8747912
2015-11-27,6964,0.87907678
2015-11-28,6549,0.88074028
2015-11-29,6839,0.90759629
2015-11-30,8886,0.86545026
2015-12-01,6887,0.87134773
2015-12-02,6803,0.84483999
2015-12-03,6567,0.8063283
2015-12-04,6865,0.81392032
2015-12-05,6892,0.8587696
2015-12-06,9247,0.86979187
2015-12-07,6735,0.79386562
2015-12-08,7103,0.78596514
2015-12-09,6894,0.7860868
2015-12-10,7111,0.8399682
2015-12-11,7814,0.83151817
2015-12-12,7982,0.99525732
2015-12-13,8086,0.97319835
2015-12-14,12181,0.96965766
2015-12-15,15628,1.01842892
2015-12-16,18025,0.98498374
2015-12-17,10255,0.9809624
2015-12-18,8966,0.91734028
2015-12-19,9161,0.90443665
2015-12-20,9321,0.92230278
2015-12-21,12314,0.89747751
2015-12-22,10293,0.89644194
2015-12-23,27168,0.85935557
2015-12-24,19424,0.87774491
2015-12-25,10455,0.8661043
2015-12-26,8960,0.86289287
2015-12-27,11026,0.8465516
2015-12-28,23522,0.87239414
2015-12-29,11727,0.84508348
2015-12-30,22208,0.88109893
2015-12-31,10906,0.95315617
2016-01-01,8400,0.94212908
2016-01-02,9039,0.95676959
2016-01-03,9215,0.94983006
2016-01-04,9220,0.94864452
2016-01-05,9580,0.97059739
2016-01-06,19401,0.94355929
2016-01-07,25455,0.95830619
2016-01-08,11832,0.96605694
2016-01-09,10341,0.97822481
2016-01-10,11793,0.9913255
2016-01-11,10603,1.06275415
2016-01-12,10843,1.14950073
2016-01-13,16532,1.13267255
2016-01-14,11687,1.14019752
2016-01-15,10406,1.29996228
2016-01-16,9647,1.25592315
2016-01-17,10649,1.23351443
2016-01-18,10407,1.52444291
2016-01-19,16207,1.38271248
2016-01-20,9300,1.59637213
2016-01-21,11239,1.53912294
2016-01-22,13746,1.53445899
2016-01-23,10741,1.52795529
2016-01-24,12683,2.04427361
2016-01-25,13451,2.53277397
2016-01-26,18234,2.6500597
2016-01-27,17240,2.36073828
2016-01-28,19482,2.41116261
2016-01-29,15712,2.57491207
2016-01-30,15487,2.56336069
2016-01-31,13825,2.47952342
2016-02-01,14712,2.21671295
2016-02-02,14317,2.16603947
2016-02-03,14162,2.50334001
2016-02-04,13856,2.52249646
2016-02-05,15634,2.55200076
2016-02-06,30840,2.53738356
2016-02-07,14217,2.76247025
2016-02-08,15558,3.02670121
2016-02-09,15352,3.6983912
2016-02-10,16045,4.14425755
2016-02-11,19996,4.64397573
2016-02-12,19042,6.36936092
2016-02-13,19038,4.41588974
2016-02-14,17280,4.95998287
2016-02-15,17047,5.71886015
2016-02-16,17185,5.26333189
2016-02-17,17780,3.9274509
2016-02-18,19521,3.6640377
2016-02-19,18314,4.38084459
2016-02-20,18027,4.59809685
2016-02-21,16971,4.28471136
2016-02-22,16593,4.90154696
2016-02-23,18527,5.82967377
2016-02-24,18284,6.15653133
2016-02-25,20310,6.50093651
2016-02-26,21355,5.8241024
2016-02-27,20116,6.3977809
2016-02-28,16777,6.52915525
2016-02-29,20738,6.60254622
2016-03-01,20032,6.53641224
2016-03-02,24801,8.38777447
2016-03-03,23746,8.52542782
2016-03-04,24231,9.44318676
2016-03-05,26049,11.92475796
2016-03-06,28165,11.24402618
2016-03-07,24922,9.89782238
2016-03-08,25244,9.91042233
2016-03-09,22241,10.04279709
2016-03-10,24927,11.25952244
2016-03-11,24650,11.04093933
2016-03-12,26962,13.33665657
2016-03-13,27156,14.54772949
2016-03-14,27105,12.99977493
2016-03-15,30570,12.53937244
2016-03-16,27347,13.24864769
2016-03-17,34195,11.13146973
2016-03-18,32147,11.01172447
2016-03-19,32695,11.00950146
2016-03-20,33327,10.12177372
2016-03-21,30904,10.7028656
2016-03-22,35610,11.17704868
2016-03-23,28200,11.58344746
2016-03-24,39027,11.89057636
2016-03-25,33622,10.80713367
2016-03-26,36620,10.97277355
2016-03-27,34661,10.64578438
2016-03-28,33493,11.40559769
2016-03-29,31789,11.86002159
2016-03-30,36054,11.83287334
2016-03-31,33004,11.88503265
2016-04-01,33371,11.82422066
2016-04-02,30022,11.45416546
2016-04-03,29528,11.5846262
2016-04-04,33719,11.15642166
2016-04-05,37450,10.88610268
2016-04-06,36640,10.42926121
2016-04-07,27747,10.21233654
2016-04-08,36605,10.27226067
2016-04-09,30771,9.96868324
2016-04-10,32853,8.50895214
2016-04-11,30642,8.8178339
2016-04-12,37182,7.67186689
2016-04-13,29147,7.12070036
2016-04-14,38701,8.27220345
2016-04-15,31538,8.30276871
2016-04-16,36966,8.35909748
2016-04-17,39461,9.57394218
2016-04-18,33352,9.06841278
2016-04-19,29390,9.13057518
2016-04-20,36156,8.53954411
2016-04-21,33508,8.49539566
2016-04-22,35975,8.16850376
2016-04-23,31335,7.85513306
2016-04-24,34435,8.24351597
2016-04-25,32135,7.78498888
2016-04-26,35532,7.45745134
2016-04-27,33614,7.85904932
2016-04-28,30775,7.28087854
2016-04-29,39815,7.45272541
2016-04-30,37825,9.31284428
2016-05-01,47475,8.75332546
2016-05-02,38829,9.1801405
2016-05-03,40269,9.96475506
2016-05-04,34792,9.64718056
2016-05-05,39712,9.60092926
2016-05-06,39758,9.75081062
2016-05-07,39858,9.30714512
2016-05-08,38588,9.26994324
2016-05-09,37889,9.41054821
2016-05-10,41177,9.40432358
2016-05-11,38244,9.46284485
2016-05-12,43029,10.33878708
2016-05-13,47532,10.39747715
2016-05-14,50418,10.29762363
2016-05-15,40985,10.0948925
2016-05-16,39134,10.16970253
2016-05-17,36751,11.30505466
2016-05-18,47038,13.38962555
2016-05-19,45724,13.85283089
2016-05-20,44872,14.72865677
2016-05-21,42733,13.66317368
