Time,ETH daily transaction volume on the chain,Price
2015-07-30,0.0,0.0
2015-07-31,0.0,0.0
2015-08-01,0.0,0.0
2015-08-02,0.0,0.0
2015-08-03,0.0,0.0
2015-08-04,0.0,0.0
2015-08-05,0.0,0.0
2015-08-06,0.0,0.0
2015-08-07,1311172.9090274894,3.49087358
2015-08-08,1.3228786306910448E7,2.64024425
2015-08-09,1635311.7158473008,0.69646382
2015-08-10,1425054.6535641924,0.66556972
2015-08-11,1273429.6183765167,0.70228821
2015-08-12,1399562.1497708464,1.19412768
2015-08-13,985707.3157151632,1.44813585
2015-08-14,3044468.4362004343,1.95217466
2015-08-15,1247892.9189884074,1.73802364
2015-08-16,8203016.783446901,1.46309757
2015-08-17,922737.1850445041,1.31342125
2015-08-18,3942807.71359321,1.29511821
2015-08-19,1660390.2356757428,1.26502979
2015-08-20,1090766.088764794,1.31215394
2015-08-21,374720.9581839448,1.4865005
2015-08-22,849788.9726491323,1.42915428
2015-08-23,531156.8304996327,1.40486002
2015-08-24,388812.99332945637,1.34696114
2015-08-25,459016.0284328162,1.18612492
2015-08-26,432602.24106739304,1.19119453
2015-08-27,309425.48029768304,1.15213394
2015-08-28,336850.0818354335,1.18332875
2015-08-29,466151.8197224358,1.18745327
2015-08-30,240061.78646853825,1.17879224
2015-08-31,515206.9146338445,1.23122013
2015-09-01,2257455.495126489,1.3388381
2015-09-02,372565.1760523067,1.3469727
2015-09-03,436508.3891694681,1.29891336
2015-09-04,342203.7986651302,1.27088296
2015-09-05,167867.32307692876,1.31005204
2015-09-06,207146.85649768624,1.3656491
2015-09-07,281315.39071803354,1.25252545
2015-09-08,224769.14136072886,1.23939872
2015-09-09,1175841.07511835,1.24503684
2015-09-10,184464.6773907776,1.19812691
2015-09-11,436539.65621684573,0.98693073
2015-09-12,545204.0051241727,0.99802619
2015-09-13,163145.0350644021,0.985183
2015-09-14,330955.7683283105,0.89336598
2015-09-15,961856.3508635389,0.97980434
2015-09-16,736959.5705201991,0.94147724
2015-09-17,282546.09279808315,0.89967048
2015-09-18,407435.2161840554,0.86027586
2015-09-19,452252.4614319467,0.84628642
2015-09-20,169985.62184311898,0.88392901
2015-09-21,131935.3252866961,0.94609672
2015-09-22,219485.0310533028,0.88314307
2015-09-23,126470.69169829373,0.90080476
2015-09-24,249086.2639589527,0.8330701
2015-09-25,528176.3119996802,0.7689485
2015-09-26,441603.5779685181,0.72844189
2015-09-27,219188.010799602,0.77423698
2015-09-28,735088.5127435515,0.67991251
2015-09-29,505819.5161641044,0.57203287
2015-09-30,396561.58060777216,0.64813733
2015-10-01,767277.115246867,0.72640109
2015-10-02,185082.08759451323,0.6599189
2015-10-03,104308.56231618885,0.70160943
2015-10-04,437374.73328997765,0.67040098
2015-10-05,131047.89509639503,0.66451824
2015-10-06,524853.3854596486,0.62358665
2015-10-07,175553.1215882708,0.65175253
2015-10-08,354853.79468024586,0.59597468
2015-10-09,309931.33946528734,0.66239917
2015-10-10,174833.99604733626,0.64317811
2015-10-11,152829.59497027664,0.63022649
2015-10-12,164756.83441699547,0.65778887
2015-10-13,325047.7651091703,0.60851949
2015-10-14,1051027.4943757686,0.56445336
2015-10-15,358350.8773914036,0.54174834
2015-10-16,927433.5409976188,0.55452949
2015-10-17,252288.95662235055,0.53965616
2015-10-18,175375.99000387007,0.51858705
2015-10-19,439263.9594606022,0.51569498
2015-10-20,325699.1234960796,0.49077821
2015-10-21,852415.6456374992,0.47601378
2015-10-22,583649.4179797934,0.4251838
2015-10-23,639185.8295547649,0.56755406
2015-10-24,442417.4021913467,0.54779279
2015-10-25,147349.0693813554,0.65844512
2015-10-26,746873.1102991627,0.65446395
2015-10-27,601022.4652953205,0.82599086
2015-10-28,1686707.8439729721,0.83443052
2015-10-29,1114274.878158403,1.15395772
2015-10-30,1329000.4553479888,1.30969465
2015-10-31,499448.11140990944,0.96135074
2015-11-01,192111.72773353977,0.95633382
2015-11-02,288712.82841451996,1.04413021
2015-11-03,500214.6712908321,0.9752112
2015-11-04,772026.891032411,0.98588955
2015-11-05,468694.78670138953,0.96298873
2015-11-06,357988.1824740762,0.86616153
2015-11-07,2541670.9987271535,0.90581286
2015-11-08,1545250.6828717657,0.93218809
2015-11-09,1111024.6303506524,1.10504436
2015-11-10,1387676.8115272308,0.9734078
2015-11-11,559135.579160696,0.85077131
2015-11-12,395290.46040637797,0.77559644
2015-11-13,554228.323618225,0.89510471
2015-11-14,160988.35708060654,0.89270341
2015-11-15,352279.49860794895,0.89043051
2015-11-16,374847.2411517363,0.90162373
2015-11-17,1784795.3671083618,0.91575503
2015-11-18,879829.8876917885,0.96721065
2015-11-19,347790.4373736772,1.00674951
2015-11-20,198373.80793859757,0.91102046
2015-11-21,113740.63973865905,0.92227244
2015-11-22,246444.4938626006,0.96180123
2015-11-23,525734.8839957615,0.96452993
2015-11-24,532834.6070999308,0.94214731
2015-11-25,229128.46115915553,0.88942003
2015-11-26,992642.3014949397,0.8747912
2015-11-27,1300537.86485308,0.87907678
2015-11-28,122725.90072046714,0.88074028
2015-11-29,186704.93591532038,0.90759629
2015-11-30,213068.19309134953,0.86545026
2015-12-01,201019.49047621008,0.87134773
2015-12-02,355852.9289533548,0.84483999
2015-12-03,175037.35581820493,0.8063283
2015-12-04,251389.65504312716,0.81392032
2015-12-05,149462.3158645541,0.8587696
2015-12-06,231829.22347231835,0.86979187
2015-12-07,346358.0817032822,0.79386562
2015-12-08,236291.17646574456,0.78596514
2015-12-09,361689.95741981,0.7860868
2015-12-10,200715.81994280376,0.8399682
2015-12-11,146092.5092895209,0.83151817
2015-12-12,605830.2168514432,0.99525732
2015-12-13,426091.8119624132,0.97319835
2015-12-14,194368.57966825113,0.96965766
2015-12-15,1046281.6202058973,1.01842892
2015-12-16,1524206.4796390873,0.98498374
2015-12-17,487854.8149049825,0.9809624
2015-12-18,278240.9074034629,0.91734028
2015-12-19,248989.37704195167,0.90443665
2015-12-20,152940.9402083934,0.92230278
2015-12-21,224113.56379118815,0.89747751
2015-12-22,241617.1278063979,0.89644194
