Time,ETH Gas price,Price
2015-08-07,5.422966234649561E-7,3.49087358
2015-08-08,2.592581962349158E-7,2.64024425
2015-08-09,2.0106835499682553E-7,0.69646382
2015-08-10,3.9040461978103053E-7,0.66556972
2015-08-11,1.3411358873185359E-7,0.70228821
2015-08-12,3.6087435091113786E-7,1.19412768
2015-08-13,2.598635296416005E-7,1.44813585
2015-08-14,2.736894142460129E-7,1.95217466
2015-08-15,1.4098889411051528E-7,1.73802364
2015-08-16,1.2718013308594418E-7,1.46309757
2015-08-17,1.2681071959975719E-7,1.31342125
2015-08-18,1.8840103938043813E-7,1.29511821
2015-08-19,1.299510501289771E-7,1.26502979
2015-08-20,1.7375164437993481E-7,1.31215394
2015-08-21,7.68205656412338E-8,1.4865005
2015-08-22,3.670815034370893E-7,1.42915428
2015-08-23,7.431183932746232E-8,1.40486002
2015-08-24,7.270278463318461E-8,1.34696114
2015-08-25,8.282733702019269E-8,1.18612492
2015-08-26,6.369325854710727E-8,1.19119453
2015-08-27,7.361247606407229E-8,1.15213394
2015-08-28,8.291503075498579E-8,1.18332875
2015-08-29,6.034090542735413E-8,1.18745327
2015-08-30,5.5068597881602826E-8,1.17879224
2015-08-31,5.344564644363119E-8,1.23122013
2015-09-01,5.8443245303277246E-8,1.3388381
2015-09-02,5.678553226154341E-8,1.3469727
2015-09-03,5.8138599487649226E-8,1.29891336
2015-09-04,5.537704759949006E-8,1.27088296
2015-09-05,5.860180697684142E-8,1.31005204
2015-09-06,5.7084498820889616E-8,1.3656491
2015-09-07,5.457237263822492E-8,1.25252545
2015-09-08,6.26858476340285E-8,1.23939872
2015-09-09,5.8309743846892814E-8,1.24503684
2015-09-10,5.649864421669344E-8,1.19812691
2015-09-11,5.4346529760712226E-8,0.98693073
2015-09-12,6.006143861349525E-8,0.99802619
2015-09-13,5.7653210403876924E-8,0.985183
2015-09-14,5.590469821097304E-8,0.89336598
2015-09-15,5.739389965834883E-8,0.97980434
2015-09-16,5.709411614192291E-8,0.94147724
2015-09-17,9.914139758799324E-8,0.89967048
2015-09-18,5.644026944812676E-8,0.86027586
2015-09-19,5.580130937853799E-8,0.84628642
2015-09-20,5.183818415824233E-8,0.88392901
2015-09-21,5.40120437296891E-8,0.94609672
2015-09-22,5.423498034943401E-8,0.88314307
2015-09-23,5.3545273624535496E-8,0.90080476
2015-09-24,5.497702583019264E-8,0.8330701
2015-09-25,5.654963447829175E-8,0.7689485
2015-09-26,5.716412972240204E-8,0.72844189
2015-09-27,5.238400591769255E-8,0.77423698
2015-09-28,5.2035978674836387E-8,0.67991251
2015-09-29,5.6875299483998845E-8,0.57203287
2015-09-30,5.345606092941442E-8,0.64813733
2015-10-01,5.160541611564076E-8,0.72640109
2015-10-02,5.50891126276222E-8,0.6599189
2015-10-03,5.570739163294334E-8,0.70160943
2015-10-04,5.413021724702797E-8,0.67040098
2015-10-05,5.2635861967472285E-8,0.66451824
2015-10-06,5.3737463209996156E-8,0.62358665
2015-10-07,5.405421854139298E-8,0.65175253
2015-10-08,5.4394415900150106E-8,0.59597468
2015-10-09,5.785136849115267E-8,0.66239917
2015-10-10,7.288665600630597E-8,0.64317811
2015-10-11,5.88363034001771E-8,0.63022649
2015-10-12,5.3015941718000475E-8,0.65778887
2015-10-13,5.364202842389444E-8,0.60851949
2015-10-14,5.902532494374093E-8,0.56445336
2015-10-15,5.7560808177324984E-8,0.54174834
2015-10-16,5.25658436184048E-8,0.55452949
2015-10-17,5.5749980162501597E-8,0.53965616
2015-10-18,5.2193807068652105E-8,0.51858705
2015-10-19,5.2737938221099983E-8,0.51569498
2015-10-20,5.441809751253439E-8,0.49077821
2015-10-21,6.257334022487653E-8,0.47601378
2015-10-22,5.476641170341331E-8,0.4251838
2015-10-23,5.489007475173336E-8,0.56755406
2015-10-24,5.111795434093513E-8,0.54779279
2015-10-25,5.0819711968797896E-8,0.65844512
2015-10-26,5.523549445997133E-8,0.65446395
2015-10-27,5.0753605029627044E-8,0.82599086
2015-10-28,5.3580787353975635E-8,0.83443052
2015-10-29,5.2614451092797123E-8,1.15395772
2015-10-30,5.354165954269877E-8,1.30969465
2015-10-31,5.135102898897086E-8,0.96135074
2015-11-01,5.215273729815673E-8,0.95633382
2015-11-02,5.218560306558863E-8,1.04413021
2015-11-03,5.334487930345122E-8,0.9752112
2015-11-04,5.185424497696405E-8,0.98588955
2015-11-05,5.215448082638268E-8,0.96298873
2015-11-06,5.226117711481587E-8,0.86616153
2015-11-07,5.789362870032597E-8,0.90581286
2015-11-08,5.215440897396129E-8,0.93218809
2015-11-09,5.1844296973325804E-8,1.10504436
2015-11-10,5.408135754632037E-8,0.9734078
2015-11-11,5.447260796312679E-8,0.85077131
2015-11-12,5.919984159414022E-8,0.77559644
2015-11-13,5.280041583358808E-8,0.89510471
2015-11-14,5.0966538405393986E-8,0.89270341
2015-11-15,5.180194357879594E-8,0.89043051
2015-11-16,5.2383376987991976E-8,0.90162373
2015-11-17,5.862580794109528E-8,0.91575503
2015-11-18,5.2799964208055695E-8,0.96721065
2015-11-19,5.350377523296777E-8,1.00674951
2015-11-20,5.568008801989859E-8,0.91102046
2015-11-21,5.613227141682442E-8,0.92227244
2015-11-22,5.617949504362479E-8,0.96180123
2015-11-23,5.6640326475374055E-8,0.96452993
2015-11-24,6.120495185068118E-8,0.94214731
2015-11-25,5.4675219494907685E-8,0.88942003
2015-11-26,5.2437771700769845E-8,0.8747912
2015-11-27,5.448803978151898E-8,0.87907678
2015-11-28,5.2884588616570537E-8,0.88074028
