,date,transactions,block_size_x,difficulty,hashrate,av_transaction_size,block_size_y,active_addresses,full_name,coin
0,2011/10/07,null,199,0.000244,null,,199,null,litecoin,ltc
1,2011/10/08,null,134,0.000244,12.68,,134,1,litecoin,ltc
2,2011/10/09,null,null,null,null,,null,null,litecoin,ltc
3,2011/10/10,null,null,null,null,,null,null,litecoin,ltc
4,2011/10/11,null,null,null,null,,null,null,litecoin,ltc
5,2011/10/12,null,134,0.000244,null,,134,1,litecoin,ltc
6,2011/10/13,92,145.075,0.00373,3981152,,145.075,9775,litecoin,ltc
7,2011/10/14,62,182.773,0.046,10173213,,182.773,1530,litecoin,ltc
8,2011/10/15,438,326.503,0.0625,2465190,,326.503,1503,litecoin,ltc
9,2011/10/16,1415,929.83,0.0743,3243604,,929.83,4846,litecoin,ltc
10,2011/10/17,1578,907.877,0.0903,3784099,,907.877,3139,litecoin,ltc
11,2011/10/18,1651,926.676,0.0903,3491184,,926.676,3739,litecoin,ltc
12,2011/10/19,1388,1012,0.124,4615624,,1012,2624,litecoin,ltc
13,2011/10/20,1851,1045,0.126,4406201,,1045,3739,litecoin,ltc
14,2011/10/21,1681,870.534,0.136,5721538,,870.534,3175,litecoin,ltc
15,2011/10/22,1505,939.054,0.168,6050692,,939.054,2892,litecoin,ltc
16,2011/10/23,1562,830.992,0.168,6517777,,830.992,3120,litecoin,ltc
17,2011/10/24,1443,981.126,0.196,7697206,,981.126,2685,litecoin,ltc
18,2011/10/25,1260,1012,0.22,5792978,,1012,2409,litecoin,ltc
19,2011/10/26,1310,1421,0.22,6077776,,1421,4213,litecoin,ltc
20,2011/10/27,933,912.834,0.22,5405281,,912.834,1873,litecoin,ltc
21,2011/10/28,1388,1525,0.2,4135097,,1525,2616,litecoin,ltc
22,2011/10/29,1522,1271,0.188,5105674,,1271,2930,litecoin,ltc
23,2011/10/30,1749,968.761,0.188,6118471,,968.761,3196,litecoin,ltc
24,2011/10/31,1779,1218,0.193,6436955,,1218,3724,litecoin,ltc
25,2011/11/01,1980,1060,0.203,7950239,,1060,3927,litecoin,ltc
26,2011/11/02,2348,902.419,0.252,14851569,,902.419,4539,litecoin,ltc
27,2011/11/03,2029,941.158,0.381,17710885,,941.158,3605,litecoin,ltc
28,2011/11/04,2112,979.066,0.423,21185640,,979.066,3926,litecoin,ltc
29,2011/11/05,1592,1084,0.619,21431536,,1084,2842,litecoin,ltc
30,2011/11/06,1716,1114,0.619,19395028,,1114,3003,litecoin,ltc
31,2011/11/07,1608,1130,0.619,18682079,,1130,2792,litecoin,ltc
32,2011/11/08,1734,1284,0.64,17478903,,1284,2996,litecoin,ltc
33,2011/11/09,1505,1248,0.642,17764696,,1248,2641,litecoin,ltc
34,2011/11/10,1487,1180,0.642,16439840,,1180,2635,litecoin,ltc
35,2011/11/11,2003,2233,0.634,17303985,,2233,3314,litecoin,ltc
36,2011/11/12,1295,921.344,0.602,17506448,,921.344,2413,litecoin,ltc
37,2011/11/13,1572,1812,0.602,17740277,,1812,2861,litecoin,ltc
38,2011/11/14,1460,1306,0.602,16699834,,1306,2834,litecoin,ltc
39,2011/11/15,4823,29110,0.605,18117610,,29110,7095,litecoin,ltc
40,2011/11/16,21994,122796,0.606,17589267,,122796,40944,litecoin,ltc
41,2011/11/17,15859,103421,0.606,17734298,,103421,25412,litecoin,ltc
42,2011/11/18,11761,32346,0.617,19580764,,32346,11483,litecoin,ltc
43,2011/11/19,2499,13566,0.638,18724322,,13566,3379,litecoin,ltc
44,2011/11/20,4203,15576,0.638,20058404,,15576,2830,litecoin,ltc
45,2011/11/21,2616,71107,0.639,19732050,,71107,3406,litecoin,ltc
46,2011/11/22,1735,58503,0.669,19193929,,58503,2999,litecoin,ltc
47,2011/11/23,1596,34905,0.669,18876649,,34905,2902,litecoin,ltc
48,2011/11/24,1222,23231,0.669,18145330,,23231,2451,litecoin,ltc
49,2011/11/25,1317,11468,0.657,17795447,,11468,2795,litecoin,ltc
50,2011/11/26,1508,33021,0.641,18781302,,33021,2798,litecoin,ltc
51,2011/11/27,1409,18461,0.641,19342354,,18461,2841,litecoin,ltc
52,2011/11/28,1300,8412,0.641,18838894,,8412,2655,litecoin,ltc
53,2011/11/29,883,4381,0.666,18716620,,4381,2052,litecoin,ltc
54,2011/11/30,1170,860.533,0.666,21950282,,860.533,2300,litecoin,ltc
55,2011/12/01,1186,933.806,0.666,23686916,,933.806,2326,litecoin,ltc
56,2011/12/02,1157,979.997,0.766,27486420,,979.997,2354,litecoin,ltc
57,2011/12/03,1314,1152,0.767,28797421,,1152,2606,litecoin,ltc
58,2011/12/04,964,921.11,0.81,30974481,,921.11,2080,litecoin,ltc
59,2011/12/05,839,894.596,0.987,26058406,,894.596,1810,litecoin,ltc
60,2011/12/06,947,1139,0.987,28117205,,1139,3224,litecoin,ltc
61,2011/12/07,928,945.646,0.987,29548412,,945.646,2011,litecoin,ltc
62,2011/12/08,990,1021,0.968,26823454,,1021,1979,litecoin,ltc
63,2011/12/09,740,1363,0.958,24724165,,1363,1650,litecoin,ltc
64,2011/12/10,821,725.529,0.958,25690188,,725.529,1729,litecoin,ltc
65,2011/12/11,846,842.743,0.958,29249490,,842.743,1720,litecoin,ltc
66,2011/12/12,778,760.706,0.915,27317276,,760.706,1758,litecoin,ltc
67,2011/12/13,594,1126,0.915,20355254,,1126,1457,litecoin,ltc
68,2011/12/14,602,963.648,0.915,16129895,,963.648,1401,litecoin,ltc
69,2011/12/15,715,661.143,0.915,20308206,,661.143,1593,litecoin,ltc
70,2011/12/16,773,650.897,0.785,20061832,,650.897,1866,litecoin,ltc
71,2011/12/17,689,682.117,0.722,23171063,,682.117,1770,litecoin,ltc
72,2011/12/18,774,911.132,0.722,22433666,,911.132,1933,litecoin,ltc
73,2011/12/19,746,876.386,0.736,20562636,,876.386,1786,litecoin,ltc
74,2011/12/20,768,775.82,0.775,21276836,,775.82,1871,litecoin,ltc
75,2011/12/21,768,636.036,0.775,21946241,,636.036,1914,litecoin,ltc
76,2011/12/22,798,611.069,0.785,29371303,,611.069,2082,litecoin,ltc
77,2011/12/23,801,927.719,0.867,26157608,,927.719,1729,litecoin,ltc
78,2011/12/24,626,1026,0.867,14135000,,1026,1391,litecoin,ltc
79,2011/12/25,594,868.175,0.867,11388493,,868.175,1299,litecoin,ltc
80,2011/12/26,616,799.851,0.867,13223883,,799.851,1390,litecoin,ltc
81,2011/12/27,719,966.782,0.867,14551029,,966.782,1758,litecoin,ltc
82,2011/12/28,711,817.355,0.757,13279337,,817.355,1638,litecoin,ltc
83,2011/12/29,1028,578.489,0.502,21537013,,578.489,2829,litecoin,ltc
84,2011/12/30,940,636.209,0.675,40160922,,636.209,2610,litecoin,ltc
85,2011/12/31,686,682.432,1.066,37845712,,682.432,1752,litecoin,ltc
86,2012/01/01,649,938.963,1.066,28937434,,938.963,1690,litecoin,ltc
87,2012/01/02,718,663.6,1.069,32549870,,663.6,1998,litecoin,ltc
88,2012/01/03,784,687.479,1.102,33614519,,687.479,1976,litecoin,ltc
89,2012/01/04,723,648.539,1.102,35603969,,648.539,1985,litecoin,ltc
90,2012/01/05,760,811.803,1.102,35193187,,811.803,2023,litecoin,ltc
91,2012/01/06,654,968.509,1.197,36134663,,968.509,1788,litecoin,ltc
92,2012/01/07,597,648.798,1.211,29278779,,648.798,1539,litecoin,ltc
93,2012/01/08,499,845.556,1.211,20554109,,845.556,1236,litecoin,ltc
94,2012/01/09,430,924.965,1.211,14928483,,924.965,1061,litecoin,ltc
95,2012/01/10,457,1511,1.211,11875515,,1511,1132,litecoin,ltc
96,2012/01/11,437,896.459,1.211,13116570,,896.459,1104,litecoin,ltc
97,2012/01/12,823,1056,0.84,14189251,,1056,1858,litecoin,ltc
98,2012/01/13,868,566.504,0.65,28405357,,566.504,2491,litecoin,ltc
99,2012/01/14,708,509.414,0.784,39889312,,509.414,2162,litecoin,ltc
100,2012/01/15,456,803.303,1.144,29723025,,803.303,1310,litecoin,ltc
101,2012/01/16,425,804.635,1.144,18938342,,804.635,1437,litecoin,ltc
102,2012/01/17,386,698.806,1.144,15969831,,698.806,1088,litecoin,ltc
103,2012/01/18,360,778.143,1.144,14021758,,778.143,1092,litecoin,ltc
104,2012/01/19,233,2534,1.144,11222398,,2534,815,litecoin,ltc
105,2012/01/20,248,622.733,1.144,11075112,,622.733,908,litecoin,ltc
106,2012/01/21,287,804.257,1.144,13020439,,804.257,954,litecoin,ltc
107,2012/01/22,382,624.226,0.586,8438740,,624.226,1279,litecoin,ltc
108,2012/01/23,478,538.32,0.524,13500851,,538.32,1643,litecoin,ltc
109,2012/01/24,438,579.273,0.524,13043624,,579.273,1449,litecoin,ltc
110,2012/01/25,515,516.262,0.524,13166697,,516.262,1670,litecoin,ltc
111,2012/01/26,589,589.374,0.476,13973613,,589.374,1798,litecoin,ltc
112,2012/01/27,650,640.743,0.468,14528314,,640.743,2001,litecoin,ltc
113,2012/01/28,794,546.613,0.474,17449998,,546.613,2409,litecoin,ltc
114,2012/01/29,663,446.849,0.585,29775043,,446.849,2415,litecoin,ltc
115,2012/01/30,608,511.779,0.597,30976513,,511.779,2258,litecoin,ltc
116,2012/01/31,448,699.776,1.033,31969157,,699.776,1383,litecoin,ltc
117,2012/02/01,625,8686,1.033,20967128,,8686,1862,litecoin,ltc
118,2012/02/02,867,10617,1.033,30134826,,10617,2404,litecoin,ltc
119,2012/02/03,928,12310,1.012,35427183,,12310,2419,litecoin,ltc
120,2012/02/04,995,9512,0.968,38699956,,9512,2668,litecoin,ltc
121,2012/02/05,1049,9444,0.968,42483286,,9444,2709,litecoin,ltc
122,2012/02/06,874,10590,1.396,50509558,,10590,2309,litecoin,ltc
123,2012/02/07,1003,16858,1.429,42598049,,16858,2413,litecoin,ltc
124,2012/02/08,1037,13157,1.429,44340877,,13157,2453,litecoin,ltc
125,2012/02/09,935,2368,1.467,43418815,,2368,2318,litecoin,ltc
126,2012/02/10,824,1534,1.492,40810415,,1534,2203,litecoin,ltc
127,2012/02/11,869,775.577,1.492,43975278,,775.577,2238,litecoin,ltc
128,2012/02/12,790,863.23,1.498,47022797,,863.23,2248,litecoin,ltc
129,2012/02/13,733,829.865,1.528,45891764,,829.865,2075,litecoin,ltc
130,2012/02/14,781,833.494,1.528,46373862,,833.494,2052,litecoin,ltc
131,2012/02/15,599,714.156,1.528,46446878,,714.156,1841,litecoin,ltc
132,2012/02/16,768,998.525,1.583,45843402,,998.525,2068,litecoin,ltc
133,2012/02/17,736,878.922,1.593,46687816,,878.922,1991,litecoin,ltc
134,2012/02/18,719,754.184,1.593,47108696,,754.184,1988,litecoin,ltc
135,2012/02/19,774,883.229,1.628,50931520,,883.229,2042,litecoin,ltc
136,2012/02/20,800,911.598,1.669,49305900,,911.598,1980,litecoin,ltc
137,2012/02/21,776,817.011,1.669,49865981,,817.011,2086,litecoin,ltc
138,2012/02/22,704,715.101,1.674,50285792,,715.101,1919,litecoin,ltc
139,2012/02/23,729,1038,1.727,54428604,,1038,2436,litecoin,ltc
140,2012/02/24,592,754.49,1.727,48333993,,754.49,1694,litecoin,ltc
141,2012/02/25,495,1057,1.727,44386727,,1057,1775,litecoin,ltc
142,2012/02/26,500,573.906,1.735,53738240,,573.906,1656,litecoin,ltc
143,2012/02/27,463,890.681,1.742,43346767,,890.681,1440,litecoin,ltc
144,2012/02/28,487,828.137,1.742,38967255,,828.137,1498,litecoin,ltc
145,2012/02/29,496,1319,1.742,37179234,,1319,1479,litecoin,ltc
146,2012/03/01,641,1055,1.665,34681400,,1055,1711,litecoin,ltc
147,2012/03/02,856,861.96,1.362,44033973,,861.96,2185,litecoin,ltc
148,2012/03/03,900,559.931,1.362,55549278,,559.931,2295,litecoin,ltc
149,2012/03/04,611,562.03,1.868,87451931,,562.03,1641,litecoin,ltc
150,2012/03/05,414,547.34,2.051,63949406,,547.34,1322,litecoin,ltc
151,2012/03/06,468,945.163,2.051,47175502,,945.163,1447,litecoin,ltc
152,2012/03/07,511,792.985,2.051,39225094,,792.985,1366,litecoin,ltc
153,2012/03/08,473,1233,1.85,33952843,,1233,1401,litecoin,ltc
154,2012/03/09,490,739.415,1.682,33449284,,739.415,1546,litecoin,ltc
