Time,LTC market cap,Price
2013-04-30,75820420.5380875,4.40351725
2013-05-01,73994371.912938,4.28954124
2013-05-02,65315002.55706,3.78002214
2013-05-03,58652366.69556,3.3904376
2013-05-04,52522267.659201,3.03227091
2013-05-05,60576741.766864,3.49312592
2013-05-06,62430525.913152,3.59422016
2013-05-07,58669948.66345,3.37086749
2013-05-08,57279301.005726,3.28361988
2013-05-09,59421611.000997,3.39939594
2013-05-10,59673035.890775,3.4065299
2013-05-11,60737456.25918,3.46038008
2013-05-12,59121918.054399,3.36281109
2013-05-13,57428813.137812,3.26088858
2013-05-14,57876775.087308,3.28101492
2013-05-15,49897081.25359,2.82399011
2013-05-16,51850592.4989,2.92974305
2013-05-17,51250792.0612325,2.89141655
2013-05-18,56779221.41667,3.19864917
2013-05-19,58706573.300544,3.30205488
2013-05-20,59031347.6302335,3.31485009
2013-05-21,56950094.4823405,3.19326329
2013-05-22,55225735.7972125,3.09191275
2013-05-23,55789577.6972175,3.11852193
2013-05-24,56818081.6627295,3.17013001
2013-05-25,57237716.3507495,3.18774509
2013-05-26,56185530.217475,3.12410855
2013-05-27,58190561.085235,3.23070002
2013-05-28,55980413.995503,3.10280037
2013-05-29,55877862.97829,3.09212899
2013-05-30,55703979.8303295,3.07745743
2013-05-31,53872694.2111995,2.97139311
2013-06-01,53429039.2028095,2.94213581
2013-06-02,51432569.291985,2.82779098
2013-06-03,49739926.395575,2.73052502
2013-06-04,49317609.7846845,2.70330501
2013-06-05,52395654.69313,2.8674674
2013-06-06,52650349.8235075,2.87684035
2013-06-07,50951028.44246,2.7791369
2013-06-08,47830070.764275,2.60405993
2013-06-09,46961254.6161345,2.55273461
2013-06-10,43932882.9039075,2.38438463
2013-06-11,45998960.899416,2.49284434
2013-06-12,44584136.81619,2.41216993
2013-06-13,44406955.585032,2.39850903
2013-06-14,42089473.905156,2.26920676
2013-06-15,39727534.478115,2.1389997
2013-06-16,38789055.177138,2.08581996
2013-06-17,39830046.742563,2.13885903
2013-06-18,42556255.462116,2.28164101
2013-06-19,43065049.870722,2.30478644
2013-06-20,43023670.758561,2.29816866
2013-06-21,43617120.523053,2.32596111
2013-06-22,53772115.279329,2.86342502
2013-06-23,54505951.69971,2.89759588
2013-06-24,59054204.147926,3.13449526
2013-06-25,53749051.781975,2.84831095
2013-06-26,53043389.815234,2.80642462
2013-06-27,54539737.9093215,2.88080001
2013-06-28,57585372.763545,3.03684282
2013-06-29,52446152.959125,2.76123214
2013-06-30,53034744.79344,2.78822064
2013-07-01,57330339.3797895,3.00915861
2013-07-02,56287322.197854,2.94967508
2013-07-03,54419464.0916305,2.84685397
2013-07-04,51216605.6498325,2.67515993
2013-07-05,51896760.73645,2.7068615
2013-07-06,46517670.751482,2.42302251
2013-07-07,47253216.37228,2.45777678
2013-07-08,52211784.811151,2.71115971
2013-07-09,49855643.66747,2.5847609
2013-07-10,50408699.1617925,2.60924721
2013-07-11,54896996.456973,2.83712006
2013-07-12,52754385.727737,2.72275782
2013-07-13,54474088.562784,2.80747962
2013-07-14,56899080.489811,2.92842889
2013-07-15,55923409.346464,2.87367344
2013-07-16,58463778.03084,2.9993422
2013-07-17,60061948.610998,3.07634521
2013-07-18,61497503.146224,3.14510536
2013-07-19,56421258.6202115,2.88130379
2013-07-20,58086145.935688,2.96239996
2013-07-21,56436427.9272365,2.87428427
