Time,LTC average daily block size,Price
2011-10-07,0.00028000,
2011-10-08,0.00021500,
2011-10-09,0E-8,
2011-10-10,0E-8,
2011-10-11,0E-8,
2011-10-12,0.00021500,
2011-10-13,0.00022598,
2011-10-14,0.00024531,
2011-10-15,0.00030786,
2011-10-16,0.00079526,
2011-10-17,0.00106823,
2011-10-18,0.00105309,
2011-10-19,0.00100491,
2011-10-20,0.00113513,
2011-10-21,0.00093013,
2011-10-22,0.00111359,
2011-10-23,0.00091131,
2011-10-24,0.00101068,
2011-10-25,0.00109995,
2011-10-26,0.00140363,
2011-10-27,0.00117221,
2011-10-28,0.00145408,
2011-10-29,0.00118902,
2011-10-30,0.00127909,
2011-10-31,0.00124289,
2011-11-01,0.00113512,
2011-11-02,0.00099218,
2011-11-03,0.00109172,
2011-11-04,0.00101297,
2011-11-05,0.00115859,
2011-11-06,0.00113752,
2011-11-07,0.00124887,
2011-11-08,0.00132436,
2011-11-09,0.00136327,
2011-11-10,0.00125481,
2011-11-11,0.00132086,
2011-11-12,0.00207571,
2011-11-13,0.00117405,
2011-11-14,0.00211924,
2011-11-15,0.01978319,
2011-11-16,0.09370178,
2011-11-17,0.12319463,
2011-11-18,0.05068446,
2011-11-19,0.00650056,
2011-11-20,0.02097186,
2011-11-21,0.05257976,
2011-11-22,0.07421510,
2011-11-23,0.02745491,
2011-11-24,0.03489617,
2011-11-25,0.01002798,
2011-11-26,0.02564350,
2011-11-27,0.02664276,
2011-11-28,0.00108739,
2011-11-29,0.01244352,
2011-11-30,0.00092763,
2011-12-01,0.00107402,
2011-12-02,0.00109824,
2011-12-03,0.00117659,
2011-12-04,0.00098940,
2011-12-05,0.00105663,
2011-12-06,0.00090898,
2011-12-07,0.00116204,
2011-12-08,0.00113634,
2011-12-09,0.00144961,
2011-12-10,0.00091078,
2011-12-11,0.00089953,
2011-12-12,0.00085720,
2011-12-13,0.00103734,
2011-12-14,0.00116860,
2011-12-15,0.00083392,
2011-12-16,0.00073477,
2011-12-17,0.00075707,
2011-12-18,0.00093125,
2011-12-19,0.00081714,
2011-12-20,0.00099562,
2011-12-21,0.00075365,
2011-12-22,0.00067890,
2011-12-23,0.00090134,
2011-12-24,0.00106112,
2011-12-25,0.00107240,
2011-12-26,0.00088235,
2011-12-27,0.00102715,
2011-12-28,0.00100223,
2011-12-29,0.00065908,
2011-12-30,0.00067665,
2011-12-31,0.00080629,
2012-01-01,0.00075197,
2012-01-02,0.00101053,
2012-01-03,0.00076637,
2012-01-04,0.00074700,
2012-01-05,0.00074611,
2012-01-06,0.00086828,
2012-01-07,0.00110576,
2012-01-08,0.00083895,
2012-01-09,0.00099464,
2012-01-10,0.00132685,
2012-01-11,0.00114745,
2012-01-12,0.00101790,
2012-01-13,0.00083332,
2012-01-14,0.00059778,
2012-01-15,0.00082982,
2012-01-16,0.00085655,
2012-01-17,0.00082565,
2012-01-18,0.00084470,
2012-01-19,0.00082265,
2012-01-20,0.00240148,
2012-01-21,0.00059660,
2012-01-22,0.00092718,
2012-01-23,0.00055250,
2012-01-24,0.00069563,
2012-01-25,0.00063065,
2012-01-26,0.00057459,
2012-01-27,0.00073881,
2012-01-28,0.00073290,
2012-01-29,0.00054207,
2012-01-30,0.00054748,
