Time,LTC average computing power of the entire network,Price
2011-10-07,0E-8,
2011-10-08,0E-8,
2011-10-09,0E-8,
2011-10-10,0E-8,
2011-10-11,0E-8,
2011-10-12,0E-8,
2011-10-13,0.00000246,
2011-10-14,0.00000259,
2011-10-15,0.00000238,
2011-10-16,0.00000289,
2011-10-17,0.00000357,
2011-10-18,0.00000346,
2011-10-19,0.00000391,
2011-10-20,0.00000445,
2011-10-21,0.00000556,
2011-10-22,0.00000557,
2011-10-23,0.00000655,
2011-10-24,0.00000686,
2011-10-25,0.00000586,
2011-10-26,0.00000592,
2011-10-27,0.00000568,
2011-10-28,0.00000487,
2011-10-29,0.00000483,
2011-10-30,0.00000619,
2011-10-31,0.00000639,
2011-11-01,0.00000803,
2011-11-02,0.00001656,
2011-11-03,0.00001566,
2011-11-04,0.00002004,
2011-11-05,0.00001862,
2011-11-06,0.00001948,
2011-11-07,0.00001919,
2011-11-08,0.00001738,
2011-11-09,0.00001772,
2011-11-10,0.00001731,
2011-11-11,0.00001677,
2011-11-12,0.00001782,
2011-11-13,0.00001756,
2011-11-14,0.00001714,
2011-11-15,0.00001772,
2011-11-16,0.00001785,
2011-11-17,0.00001761,
2011-11-18,0.00001931,
2011-11-19,0.00001876,
2011-11-20,0.00001971,
2011-11-21,0.00001949,
2011-11-22,0.00001874,
2011-11-23,0.00001875,
2011-11-24,0.00001807,
2011-11-25,0.00001772,
2011-11-26,0.00001844,
2011-11-27,0.00001899,
2011-11-28,0.00001915,
2011-11-29,0.00001861,
2011-11-30,0.00002100,
2011-12-01,0.00002373,
2011-12-02,0.00002498,
2011-12-03,0.00002880,
2011-12-04,0.00002870,
2011-12-05,0.00002494,
2011-12-06,0.00002648,
2011-12-07,0.00002951,
2011-12-08,0.00002802,
2011-12-09,0.00002548,
2011-12-10,0.00002519,
2011-12-11,0.00002892,
2011-12-12,0.00002921,
2011-12-13,0.00002307,
2011-12-14,0.00001906,
2011-12-15,0.00001828,
2011-12-16,0.00002143,
2011-12-17,0.00002287,
2011-12-18,0.00002281,
2011-12-19,0.00002162,
2011-12-20,0.00002047,
2011-12-21,0.00002191,
2011-12-22,0.00002933,
2011-12-23,0.00002515,
2011-12-24,0.00001881,
2011-12-25,0.00001483,
2011-12-26,0.00001300,
2011-12-27,0.00001302,
2011-12-28,0.00001423,
2011-12-29,0.00002637,
2011-12-30,0.00003169,
2011-12-31,0.00003236,
2012-01-01,0.00002934,
2012-01-02,0.00003111,
2012-01-03,0.00003283,
2012-01-04,0.00003450,
2012-01-05,0.00003551,
2012-01-06,0.00003444,
2012-01-07,0.00003133,
2012-01-08,0.00002498,
2012-01-09,0.00002024,
2012-01-10,0.00001700,
2012-01-11,0.00001489,
2012-01-12,0.00001435,
2012-01-13,0.00003188,
2012-01-14,0.00003460,
2012-01-15,0.00002690,
2012-01-16,0.00002268,
2012-01-17,0.00001894,
2012-01-18,0.00001618,
2012-01-19,0.00001458,
2012-01-20,0.00001311,
2012-01-21,0.00001253,
2012-01-22,0.00001185,
2012-01-23,0.00001297,
2012-01-24,0.00001328,
2012-01-25,0.00001324,
2012-01-26,0.00001493,
2012-01-27,0.00001446,
2012-01-28,0.00001577,
2012-01-29,0.00003014,
2012-01-30,0.00003006,
2012-01-31,0.00002381,
