Time,Number of new addresses added per day on LTC,Price
2011-10-07,1,
2011-10-08,1,
2011-10-09,0,
2011-10-10,0,
2011-10-11,0,
2011-10-12,1,
2011-10-13,8700,
2011-10-14,1947,
2011-10-15,984,
2011-10-16,2118,
2011-10-17,2366,
2011-10-18,2499,
2011-10-19,2190,
2011-10-20,2370,
2011-10-21,2867,
2011-10-22,2005,
2011-10-23,2356,
2011-10-24,2320,
2011-10-25,1750,
2011-10-26,1872,
2011-10-27,1521,
2011-10-28,1526,
2011-10-29,2083,
2011-10-30,2384,
2011-10-31,2274,
2011-11-01,2858,
2011-11-02,3647,
2011-11-03,2750,
2011-11-04,3261,
2011-11-05,2222,
2011-11-06,2319,
2011-11-07,2250,
2011-11-08,2107,
2011-11-09,2239,
2011-11-10,2003,
2011-11-11,2219,
2011-11-12,2352,
2011-11-13,1987,
2011-11-14,2162,
2011-11-15,3775,
2011-11-16,30253,
2011-11-17,32154,
2011-11-18,14240,
2011-11-19,2644,
2011-11-20,2144,
2011-11-21,2233,
2011-11-22,2738,
2011-11-23,1979,
2011-11-24,2022,
2011-11-25,1725,
2011-11-26,2130,
2011-11-27,2086,
2011-11-28,1822,
2011-11-29,1515,
2011-11-30,1600,
2011-12-01,1724,
2011-12-02,1848,
2011-12-03,1794,
2011-12-04,1790,
2011-12-05,1310,
2011-12-06,1340,
2011-12-07,1445,
2011-12-08,1396,
2011-12-09,1232,
2011-12-10,1249,
2011-12-11,1289,
2011-12-12,1232,
2011-12-13,956,
2011-12-14,881,
2011-12-15,1082,
2011-12-16,1196,
2011-12-17,1367,
2011-12-18,1399,
2011-12-19,1250,
2011-12-20,1296,
2011-12-21,1273,
2011-12-22,1573,
2011-12-23,1328,
2011-12-24,966,
2011-12-25,785,
2011-12-26,845,
2011-12-27,1039,
2011-12-28,1003,
2011-12-29,1913,
2011-12-30,2196,
2011-12-31,1278,
2012-01-01,1137,
2012-01-02,1342,
2012-01-03,1356,
2012-01-04,1385,
2012-01-05,1331,
2012-01-06,1327,
2012-01-07,1078,
2012-01-08,764,
2012-01-09,669,
2012-01-10,617,
2012-01-11,652,
2012-01-12,857,
2012-01-13,1916,
2012-01-14,1770,
2012-01-15,899,
2012-01-16,797,
2012-01-17,650,
2012-01-18,617,
2012-01-19,443,
2012-01-20,462,
2012-01-21,495,
2012-01-22,643,
2012-01-23,988,
2012-01-24,948,
2012-01-25,1047,
2012-01-26,1073,
2012-01-27,1263,
2012-01-28,1426,
2012-01-29,1867,
2012-01-30,1620,
2012-01-31,1015,
2012-02-01,906,
2012-02-02,1461,
2012-02-03,1614,
2012-02-04,1726,
2012-02-05,1846,
2012-02-06,1598,
2012-02-07,1519,
2012-02-08,1621,
2012-02-09,1525,
2012-02-10,1311,
2012-02-11,1476,
2012-02-12,1402,
2012-02-13,1271,
2012-02-14,1317,
2012-02-15,1267,
2012-02-16,1208,
2012-02-17,1328,
2012-02-18,1200,
2012-02-19,1371,
2012-02-20,1305,
2012-02-21,1362,
2012-02-22,1275,
2012-02-23,1400,
2012-02-24,1069,
2012-02-25,1018,
2012-02-26,1018,
2012-02-27,768,
2012-02-28,828,
2012-02-29,769,
2012-03-01,900,
2012-03-02,1398,
2012-03-03,1542,
2012-03-04,1230,
2012-03-05,739,
2012-03-06,782,
2012-03-07,734,
2012-03-08,782,
2012-03-09,795,
2012-03-10,864,
2012-03-11,862,
2012-03-12,879,
2012-03-13,1015,
2012-03-14,1482,
2012-03-15,1639,
2012-03-16,1144,
2012-03-17,1066,
2012-03-18,1041,
