Time,LTC number of daily transactions on the chain,Price
2011-10-07,1,
2011-10-08,1,
2011-10-09,0,
2011-10-10,0,
2011-10-11,0,
2011-10-12,1,
2011-10-13,8698,
2011-10-14,1971,
2011-10-15,939,
2011-10-16,2043,
2011-10-17,2348,
2011-10-18,2458,
2011-10-19,2172,
2011-10-20,2363,
2011-10-21,2873,
2011-10-22,1995,
2011-10-23,2367,
2011-10-24,2341,
2011-10-25,1770,
2011-10-26,1879,
2011-10-27,1542,
2011-10-28,1535,
2011-10-29,2104,
2011-10-30,2410,
2011-10-31,2271,
2011-11-01,2873,
2011-11-02,3669,
2011-11-03,2767,
2011-11-04,3283,
2011-11-05,2229,
2011-11-06,2331,
2011-11-07,2259,
2011-11-08,2119,
2011-11-09,2244,
2011-11-10,2014,
2011-11-11,2155,
2011-11-12,2321,
2011-11-13,1987,
2011-11-14,2170,
2011-11-15,2926,
2011-11-16,18760,
2011-11-17,20024,
2011-11-18,13736,
2011-11-19,4350,
2011-11-20,2832,
2011-11-21,4922,
2011-11-22,2752,
2011-11-23,1969,
2011-11-24,2007,
2011-11-25,1735,
2011-11-26,2125,
2011-11-27,2090,
2011-11-28,1836,
2011-11-29,1568,
2011-11-30,1757,
2011-12-01,1933,
2011-12-02,1907,
2011-12-03,1961,
2011-12-04,1911,
2011-12-05,1308,
2011-12-06,1472,
2011-12-07,1576,
2011-12-08,1522,
2011-12-09,1331,
2011-12-10,1351,
2011-12-11,1481,
2011-12-12,1442,
2011-12-13,966,
2011-12-14,931,
2011-12-15,1215,
2011-12-16,1214,
2011-12-17,1388,
2011-12-18,1404,
2011-12-19,1281,
2011-12-20,1321,
2011-12-21,1296,
2011-12-22,1609,
2011-12-23,1352,
2011-12-24,984,
2011-12-25,809,
2011-12-26,891,
2011-12-27,1059,
2011-12-28,1022,
2011-12-29,1950,
2011-12-30,2229,
2011-12-31,1309,
2012-01-01,1166,
2012-01-02,1366,
2012-01-03,1368,
2012-01-04,1411,
2012-01-05,1335,
2012-01-06,1331,
2012-01-07,1095,
2012-01-08,803,
2012-01-09,696,
2012-01-10,636,
2012-01-11,688,
2012-01-12,894,
2012-01-13,1963,
2012-01-14,1780,
2012-01-15,900,
2012-01-16,798,
2012-01-17,648,
2012-01-18,620,
2012-01-19,446,
2012-01-20,465,
2012-01-21,491,
2012-01-22,635,
2012-01-23,995,
2012-01-24,947,
2012-01-25,1050,
2012-01-26,1084,
2012-01-27,1269,
2012-01-28,1423,
2012-01-29,1874,
2012-01-30,1625,
2012-01-31,1015,
2012-02-01,926,
2012-02-02,1451,
2012-02-03,1646,
2012-02-04,1785,
2012-02-05,1909,
2012-02-06,1630,
2012-02-07,1549,
2012-02-08,1650,
2012-02-09,1554,
2012-02-10,1348,
2012-02-11,1511,
2012-02-12,1462,
2012-02-13,1328,
2012-02-14,1365,
2012-02-15,1310,
2012-02-16,1265,
2012-02-17,1381,
2012-02-18,1243,
2012-02-19,1430,
2012-02-20,1358,
2012-02-21,1400,
2012-02-22,1306,
2012-02-23,1426,
2012-02-24,1107,
2012-02-25,1063,
2012-02-26,1193,
2012-02-27,890,
2012-02-28,973,
2012-02-29,865,
2012-03-01,1002,
2012-03-02,1514,
2012-03-03,1735,
2012-03-04,1649,
2012-03-05,1001,
2012-03-06,950,
2012-03-07,775,
2012-03-08,902,
2012-03-09,825,
2012-03-10,873,
2012-03-11,879,
2012-03-12,910,
2012-03-13,1034,
2012-03-14,1530,
2012-03-15,1677,
2012-03-16,1172,
2012-03-17,1129,
2012-03-18,1094,
