Time,BTC number of daily transactions on the chain,Price
2009-01-04,1,null
2009-01-05,0,null
2009-01-06,0,null
2009-01-07,0,null
2009-01-08,0,null
2009-01-09,14,null
2009-01-10,18,null
2009-01-11,108,null
2009-01-12,95,null
2009-01-13,118,null
2009-01-14,124,null
2009-01-15,132,null
2009-01-16,123,null
2009-01-17,106,null
2009-01-18,103,null
2009-01-19,120,null
2009-01-20,118,null
2009-01-21,116,null
2009-01-22,76,null
2009-01-23,54,null
2009-01-24,205,null
2009-01-25,198,null
2009-01-26,124,null
2009-01-27,102,null
2009-01-28,104,null
2009-01-29,116,null
2009-01-30,128,null
2009-01-31,122,null
2009-02-01,122,null
2009-02-02,128,null
2009-02-03,150,null
2009-02-04,127,null
2009-02-05,120,null
2009-02-06,126,null
2009-02-07,135,null
2009-02-08,133,null
2009-02-09,128,null
2009-02-10,127,null
2009-02-11,135,null
2009-02-12,121,null
2009-02-13,120,null
2009-02-14,137,null
2009-02-15,126,null
2009-02-16,128,null
2009-02-17,118,null
2009-02-18,121,null
2009-02-19,117,null
2009-02-20,134,null
2009-02-21,105,null
2009-02-22,128,null
2009-02-23,108,null
2009-02-24,107,null
2009-02-25,111,null
2009-02-26,97,null
2009-02-27,120,null
2009-02-28,106,null
2009-03-01,104,null
2009-03-02,106,null
2009-03-03,107,null
2009-03-04,108,null
2009-03-05,105,null
2009-03-06,120,null
2009-03-07,110,null
2009-03-08,113,null
2009-03-09,120,null
2009-03-10,104,null
2009-03-11,107,null
2009-03-12,119,null
2009-03-13,112,null
2009-03-14,116,null
2009-03-15,113,null
2009-03-16,128,null
2009-03-17,120,null
2009-03-18,109,null
2009-03-19,123,null
2009-03-20,119,null
2009-03-21,86,null
2009-03-22,86,null
2009-03-23,129,null
2009-03-24,109,null
2009-03-25,117,null
2009-03-26,114,null
2009-03-27,111,null
2009-03-28,117,null
2009-03-29,115,null
2009-03-30,125,null
2009-03-31,113,null
2009-04-01,109,null
2009-04-02,121,null
2009-04-03,112,null
2009-04-04,111,null
2009-04-05,132,null
2009-04-06,112,null
2009-04-07,102,null
2009-04-08,107,null
2009-04-09,97,null
2009-04-10,99,null
2009-04-11,128,null
2009-04-12,113,null
2009-04-13,120,null
2009-04-14,125,null
2009-04-15,111,null
2009-04-16,124,null
2009-04-17,116,null
2009-04-18,124,null
2009-04-19,122,null
2009-04-20,118,null
2009-04-21,122,null
2009-04-22,123,null
2009-04-23,84,null
2009-04-24,107,null
2009-04-25,125,null
2009-04-26,111,null
2009-04-27,105,null
2009-04-28,114,null
2009-04-29,122,null
2009-04-30,136,null
2009-05-01,119,null
2009-05-02,129,null
2009-05-03,111,null
2009-05-04,127,null
2009-05-05,135,null
2009-05-06,130,null
2009-05-07,125,null
2009-05-08,127,null
2009-05-09,93,null
2009-05-10,58,null
2009-05-11,117,null
2009-05-12,130,null
2009-05-13,117,null
2009-05-14,134,null
2009-05-15,148,null
2009-05-16,117,null
2009-05-17,120,null
2009-05-18,122,null
2009-05-19,116,null
2009-05-20,89,null
2009-05-21,93,null
2009-05-22,94,null
2009-05-23,6,null
2009-05-24,94,null
2009-05-25,99,null
2009-05-26,117,null
2009-05-27,127,null
2009-05-28,104,null
2009-05-29,105,null
2009-05-30,104,null
2009-05-31,118,null
2009-06-01,77,null
2009-06-02,86,null
2009-06-03,100,null
2009-06-04,39,null
2009-06-05,66,null
2009-06-06,19,null
2009-06-07,9,null
2009-06-08,66,null
2009-06-09,91,null
2009-06-10,85,null
2009-06-11,90,null
2009-06-12,95,null
2009-06-13,69,null
2009-06-14,73,null
2009-06-15,80,null
2009-06-16,78,null
2009-06-17,76,null
2009-06-18,82,null
2009-06-19,85,null
2009-06-20,82,null
2009-06-21,79,null
2009-06-22,79,null
2009-06-23,79,null
2009-06-24,79,null
2009-06-25,77,null
2009-06-26,93,null
2009-06-27,83,null
2009-06-28,57,null
2009-06-29,70,null
2009-06-30,88,null
2009-07-01,89,null
2009-07-02,68,null
2009-07-03,87,null
2009-07-04,85,null
2009-07-05,83,null
2009-07-06,88,null
2009-07-07,65,null
2009-07-08,79,null
2009-07-09,81,null
2009-07-10,84,null
2009-07-11,81,null
2009-07-12,77,null
2009-07-13,79,null
2009-07-14,70,null
2009-07-15,48,null
2009-07-16,67,null
2009-07-17,70,null
2009-07-18,4,null
2009-07-19,44,null
2009-07-20,75,null
2009-07-21,76,null
2009-07-22,71,null
2009-07-23,64,null
2009-07-24,76,null
2009-07-25,60,null
2009-07-26,9,null
2009-07-27,60,null
2009-07-28,51,null
2009-07-29,30,null
2009-07-30,14,null
