Time,BTC full node data size,Price
2009-01-04,2.85E-4,null
2009-01-05,2.85E-4,null
2009-01-06,2.85E-4,null
2009-01-07,2.85E-4,null
2009-01-08,2.85E-4,null
2009-01-09,0.003295,null
2009-01-10,0.007165,null
2009-01-11,0.030419,null
2009-01-12,0.051087,null
2009-01-13,0.076595,null
2009-01-14,0.103366,null
2009-01-15,0.133206,null
2009-01-16,0.159831,null
2009-01-17,0.182746,null
2009-01-18,0.204987,null
2009-01-19,0.231113,null
2009-01-20,0.258114,null
2009-01-21,0.284042,null
2009-01-22,0.301403,null
2009-01-23,0.313269,null
2009-01-24,0.359031,null
2009-01-25,0.40177,null
2009-01-26,0.428544,null
2009-01-27,0.452871,null
2009-01-28,0.47532,null
2009-01-29,0.500309,null
2009-01-30,0.529135,null
2009-01-31,0.555434,null
2009-02-01,0.583876,null
2009-02-02,0.611556,null
2009-02-03,0.644795,null
2009-02-04,0.672365,null
2009-02-05,0.698251,null
2009-02-06,0.725445,null
2009-02-07,0.756878,null
2009-02-08,0.785596,null
2009-02-09,0.81323,null
2009-02-10,0.84546,null
2009-02-11,0.875608,null
2009-02-12,0.902056,null
2009-02-13,0.927959,null
2009-02-14,0.957534,null
2009-02-15,0.984711,null
2009-02-16,1.01344,null
2009-02-17,1.042146,null
2009-02-18,1.068275,null
2009-02-19,1.093544,null
2009-02-20,1.124123,null
2009-02-21,1.146799,null
2009-02-22,1.175105,null
2009-02-23,1.198426,null
2009-02-24,1.221535,null
2009-02-25,1.245494,null
2009-02-26,1.266443,null
2009-02-27,1.292328,null
2009-02-28,1.319158,null
2009-03-01,1.342248,null
2009-03-02,1.36514,null
2009-03-03,1.388811,null
2009-03-04,1.412115,null
2009-03-05,1.437367,null
2009-03-06,1.464006,null
2009-03-07,1.487765,null
2009-03-08,1.512164,null
2009-03-09,1.540605,null
2009-03-10,1.563047,null
2009-03-11,1.586152,null
2009-03-12,1.612053,null
2009-03-13,1.637544,null
2009-03-14,1.662593,null
2009-03-15,1.686977,null
2009-03-16,1.714621,null
2009-03-17,1.745831,null
2009-03-18,1.769371,null
2009-03-19,1.797179,null
2009-03-20,1.822859,null
