Time,ETH total supply,Price
2015-07-30,7.201563799948E7,0.0
2015-07-31,7.207471237448E7,0.0
2015-08-01,7.210347565573E7,0.0
2015-08-02,7.213184112448E7,0.0
2015-08-03,7.215980940573E7,0.0
2015-08-04,7.218823003073E7,0.0
2015-08-05,7.221641299948E7,0.0
2015-08-06,7.224293284323E7,0.0
2015-08-07,7.227030065573E7,3.49087358
2015-08-08,7.229880878073E7,2.64024425
2015-08-09,7.232619128073E7,0.69646382
2015-08-10,7.235375956198E7,0.66556972
2015-08-11,7.238137253073E7,0.70228821
2015-08-12,7.240915518698E7,1.19412768
2015-08-13,7.243722081198E7,1.44813585
2015-08-14,7.246689143698E7,1.95217466
2015-08-15,7.249671659323E7,1.73802364
2015-08-16,7.252373784323E7,1.46309757
2015-08-17,7.255143737448E7,1.31342125
2015-08-18,7.257908331198E7,1.29511821
2015-08-19,7.260556659323E7,1.26502979
2015-08-20,7.262937518698E7,1.31215394
2015-08-21,7.265380362448E7,1.4865005
2015-08-22,7.268129643698E7,1.42915428
2015-08-23,7.270794612448E7,1.40486002
2015-08-24,7.273463034323E7,1.34696114
2015-08-25,7.276104956198E7,1.18612492
2015-08-26,7.278788190573E7,1.19119453
2015-08-27,7.281293721823E7,1.15213394
2015-08-28,7.283778253073E7,1.18332875
2015-08-29,7.286066331198E7,1.18745327
2015-08-30,7.288169034323E7,1.17879224
2015-08-31,7.290352268698E7,1.23122013
2015-09-01,7.292393924948E7,1.3388381
2015-09-02,7.294369956198E7,1.3469727
2015-09-03,7.296047096823E7,1.29891336
2015-09-04,7.298158190573E7,1.27088296
2015-09-05,7.300687206198E7,1.31005204
2015-09-06,7.303290346823E7,1.3656491
2015-09-07,7.305866315573E7,1.25252545
2015-09-08,7.308398065573E7,1.23939872
2015-09-09,7.311052065573E7,1.24503684
2015-09-10,7.313691815573E7,1.19812691
2015-09-11,7.316401784323E7,0.98693073
2015-09-12,7.319039831198E7,0.99802619
2015-09-13,7.321684284323E7,0.985183
2015-09-14,7.324241534323E7,0.89336598
2015-09-15,7.326810112448E7,0.97980434
2015-09-16,7.329417018698E7,0.94147724
2015-09-17,7.332033690573E7,0.89967048
