Time,ETH mining difficulty,Price
2015-07-30,2.1595373727101E10,0.0
2015-07-31,3.14531211833482E11,0.0
2015-08-01,8.26820352956092E11,0.0
2015-08-02,9.73306358977921E11,0.0
2015-08-03,1.09915611832963E12,0.0
2015-08-04,1.175037203944243E12,0.0
2015-08-05,1.294513100890618E12,0.0
2015-08-06,1.364666751780083E12,0.0
2015-08-07,1.441895362037573E12,3.49087358
2015-08-08,1.544176250179989E12,2.64024425
2015-08-09,1.673883428261691E12,0.69646382
2015-08-10,1.771466837934311E12,0.66556972
2015-08-11,1.966162687385958E12,0.70228821
2015-08-12,2.179402495426107E12,1.19412768
2015-08-13,2.268022734447503E12,1.44813585
2015-08-14,2.491453180724073E12,1.95217466
2015-08-15,3.179650155390694E12,1.73802364
2015-08-16,3.539051907552018E12,1.46309757
2015-08-17,3.822325148549015E12,1.31342125
2015-08-18,4.253057085306132E12,1.29511821
2015-08-19,4.402161924600335E12,1.26502979
2015-08-20,4.492935623213054E12,1.31215394
2015-08-21,4.375884047701027E12,1.4865005
2015-08-22,4.641551667668316E12,1.42915428
2015-08-23,5.102724202691785E12,1.40486002
2015-08-24,5.157531317213297E12,1.34696114
2015-08-25,5.162246424130875E12,1.18612492
2015-08-26,5.42338436877292E12,1.19119453
2015-08-27,5.844842560231136E12,1.15213394
2015-08-28,6.134954908835084E12,1.18332875
2015-08-29,6.520672940095373E12,1.18745327
2015-08-30,6.728592536274814E12,1.17879224
2015-08-31,7.048628082736713E12,1.23122013
2015-09-01,7.534394262686535E12,1.3388381
2015-09-02,7.88036833399022E12,1.3469727
2015-09-03,8.88791692754035E12,1.29891336
2015-09-04,6.853541821396624E12,1.27088296
2015-09-05,6.214293630309778E12,1.31005204
2015-09-06,6.306591241952388E12,1.3656491
2015-09-07,6.325553072464282E12,1.25252545
2015-09-08,6.174796401585953E12,1.23939872
2015-09-09,6.137954149458421E12,1.24503684
2015-09-10,6.251564074945902E12,1.19812691
2015-09-11,6.446825744635279E12,0.98693073
2015-09-12,6.762254825895478E12,0.99802619
2015-09-13,6.990841362655091E12,0.985183
2015-09-14,6.783984369521992E12,0.89336598
2015-09-15,6.469440854781395E12,0.97980434
2015-09-16,6.236877295462581E12,0.94147724
2015-09-17,6.135417818448378E12,0.89967048
2015-09-18,5.777883988962103E12,0.86027586
2015-09-19,5.502902100818955E12,0.84628642
2015-09-20,5.952002420242635E12,0.88392901
2015-09-21,6.483120421024598E12,0.94609672
2015-09-22,6.580902174483752E12,0.88314307
2015-09-23,6.802614555904651E12,0.90080476
2015-09-24,7.031544990252737E12,0.8330701
2015-09-25,6.968447783391442E12,0.7689485
2015-09-26,7.157636837874591E12,0.72844189
2015-09-27,7.246873173230904E12,0.77423698
2015-09-28,6.998330569034654E12,0.67991251
2015-09-29,6.299671286347633E12,0.57203287
2015-09-30,5.727214976427726E12,0.64813733
2015-10-01,5.532010636170062E12,0.72640109
2015-10-02,5.901338971541342E12,0.6599189
2015-10-03,6.209244362242257E12,0.70160943
2015-10-04,6.274493229332719E12,0.67040098
2015-10-05,6.231607784345634E12,0.66451824
2015-10-06,6.320156626320521E12,0.62358665
2015-10-07,6.034032116063247E12,0.65175253
2015-10-08,5.950273623437968E12,0.59597468
2015-10-09,6.084020561468703E12,0.66239917
2015-10-10,6.110707349033568E12,0.64317811
2015-10-11,6.069378416312521E12,0.63022649
2015-10-12,6.136205201795255E12,0.65778887
2015-10-13,6.302507164376335E12,0.60851949
2015-10-14,6.445457656938585E12,0.56445336
2015-10-15,6.323911917172435E12,0.54174834
2015-10-16,5.935080347060018E12,0.55452949
2015-10-17,5.911992503682522E12,0.53965616
