Time,ETH number of daily active addresses,Price
2015-07-30,0,0.0
2015-07-31,0,0.0
2015-08-01,0,0.0
2015-08-02,0,0.0
2015-08-03,0,0.0
2015-08-04,0,0.0
2015-08-05,0,0.0
2015-08-06,0,0.0
2015-08-07,791,3.49087358
2015-08-08,933,2.64024425
2015-08-09,968,0.69646382
2015-08-10,780,0.66556972
2015-08-11,4684,0.70228821
2015-08-12,1061,1.19412768
2015-08-13,1105,1.44813585
2015-08-14,1813,1.95217466
2015-08-15,1404,1.73802364
2015-08-16,1348,1.46309757
2015-08-17,1181,1.31342125
2015-08-18,1308,1.29511821
2015-08-19,1368,1.26502979
2015-08-20,1268,1.31215394
2015-08-21,1364,1.4865005
2015-08-22,1595,1.42915428
2015-08-23,1563,1.40486002
2015-08-24,1482,1.34696114
2015-08-25,1531,1.18612492
2015-08-26,1633,1.19119453
2015-08-27,1594,1.15213394
2015-08-28,1609,1.18332875
2015-08-29,1477,1.18745327
2015-08-30,1455,1.17879224
2015-08-31,1664,1.23122013
2015-09-01,1573,1.3388381
2015-09-02,1535,1.3469727
2015-09-03,1587,1.29891336
2015-09-04,1472,1.27088296
2015-09-05,1503,1.31005204
2015-09-06,1544,1.3656491
2015-09-07,1692,1.25252545
2015-09-08,1622,1.23939872
2015-09-09,1612,1.24503684
2015-09-10,1539,1.19812691
2015-09-11,1727,0.98693073
2015-09-12,1641,0.99802619
2015-09-13,1655,0.985183
2015-09-14,1712,0.89336598
2015-09-15,1438,0.97980434
2015-09-16,1654,0.94147724
2015-09-17,1529,0.89967048
2015-09-18,1557,0.86027586
2015-09-19,1465,0.84628642
2015-09-20,1478,0.88392901
2015-09-21,1594,0.94609672
2015-09-22,1630,0.88314307
2015-09-23,1825,0.90080476
2015-09-24,1538,0.8330701
2015-09-25,1635,0.7689485
2015-09-26,1486,0.72844189
2015-09-27,1391,0.77423698
2015-09-28,1561,0.67991251
2015-09-29,1554,0.57203287
2015-09-30,1534,0.64813733
2015-10-01,1553,0.72640109
2015-10-02,1416,0.6599189
2015-10-03,1341,0.70160943
2015-10-04,1410,0.67040098
2015-10-05,1438,0.66451824
2015-10-06,1490,0.62358665
2015-10-07,1413,0.65175253
2015-10-08,1411,0.59597468
2015-10-09,1377,0.66239917
2015-10-10,1344,0.64317811
2015-10-11,1267,0.63022649
2015-10-12,1322,0.65778887
2015-10-13,1584,0.60851949
