Time,Number of new addresses added per day on ETH,Price
2015-07-30,0.0,0.0
2015-07-31,341.0,0.0
2015-08-01,125.0,0.0
2015-08-02,100.0,0.0
2015-08-03,72.0,0.0
2015-08-04,64.0,0.0
2015-08-05,53.0,0.0
2015-08-06,40.0,0.0
2015-08-07,426.0,3.49087358
2015-08-08,329.0,2.64024425
2015-08-09,357.0,0.69646382
2015-08-10,333.0,0.66556972
2015-08-11,2250.0,0.70228821
2015-08-12,366.0,1.19412768
2015-08-13,416.0,1.44813585
2015-08-14,640.0,1.95217466
2015-08-15,381.0,1.73802364
2015-08-16,340.0,1.46309757
2015-08-17,261.0,1.31342125
2015-08-18,251.0,1.29511821
2015-08-19,310.0,1.26502979
2015-08-20,229.0,1.31215394
2015-08-21,272.0,1.4865005
2015-08-22,326.0,1.42915428
2015-08-23,332.0,1.40486002
2015-08-24,199.0,1.34696114
2015-08-25,205.0,1.18612492
2015-08-26,231.0,1.19119453
2015-08-27,201.0,1.15213394
2015-08-28,187.0,1.18332875
2015-08-29,149.0,1.18745327
2015-08-30,162.0,1.17879224
2015-08-31,179.0,1.23122013
2015-09-01,174.0,1.3388381
2015-09-02,159.0,1.3469727
2015-09-03,165.0,1.29891336
2015-09-04,139.0,1.27088296
2015-09-05,153.0,1.31005204
2015-09-06,140.0,1.3656491
2015-09-07,199.0,1.25252545
2015-09-08,145.0,1.23939872
2015-09-09,176.0,1.24503684
2015-09-10,125.0,1.19812691
2015-09-11,149.0,0.98693073
2015-09-12,162.0,0.99802619
2015-09-13,203.0,0.985183
2015-09-14,177.0,0.89336598
2015-09-15,132.0,0.97980434
2015-09-16,174.0,0.94147724
2015-09-17,112.0,0.89967048
2015-09-18,167.0,0.86027586
2015-09-19,118.0,0.84628642
2015-09-20,137.0,0.88392901
2015-09-21,121.0,0.94609672
2015-09-22,128.0,0.88314307
2015-09-23,170.0,0.90080476
2015-09-24,103.0,0.8330701
2015-09-25,139.0,0.7689485
2015-09-26,74.0,0.72844189
2015-09-27,70.0,0.77423698
2015-09-28,84.0,0.67991251
2015-09-29,144.0,0.57203287
2015-09-30,108.0,0.64813733
2015-10-01,112.0,0.72640109
2015-10-02,91.0,0.6599189
2015-10-03,72.0,0.70160943
2015-10-04,128.0,0.67040098
2015-10-05,106.0,0.66451824
2015-10-06,128.0,0.62358665
2015-10-07,92.0,0.65175253
2015-10-08,68.0,0.59597468
2015-10-09,77.0,0.66239917
2015-10-10,67.0,0.64317811
2015-10-11,46.0,0.63022649
2015-10-12,82.0,0.65778887
2015-10-13,230.0,0.60851949
2015-10-14,180.0,0.56445336
2015-10-15,272.0,0.54174834
2015-10-16,119.0,0.55452949
2015-10-17,103.0,0.53965616
2015-10-18,86.0,0.51858705
2015-10-19,292.0,0.51569498
2015-10-20,95.0,0.49077821
2015-10-21,265.0,0.47601378
2015-10-22,157.0,0.4251838
2015-10-23,152.0,0.56755406
2015-10-24,437.0,0.54779279
2015-10-25,345.0,0.65844512
2015-10-26,351.0,0.65446395
2015-10-27,169.0,0.82599086
2015-10-28,174.0,0.83443052
2015-10-29,183.0,1.15395772
2015-10-30,568.0,1.30969465
2015-10-31,365.0,0.96135074
2015-11-01,686.0,0.95633382
2015-11-02,288.0,1.04413021
2015-11-03,319.0,0.9752112
2015-11-04,308.0,0.98588955
2015-11-05,166.0,0.96298873
2015-11-06,191.0,0.86616153
2015-11-07,455.0,0.90581286
2015-11-08,745.0,0.93218809
2015-11-09,283.0,1.10504436
2015-11-10,220.0,0.9734078
2015-11-11,151.0,0.85077131
2015-11-12,148.0,0.77559644
2015-11-13,157.0,0.89510471
2015-11-14,96.0,0.89270341
2015-11-15,108.0,0.89043051
2015-11-16,99.0,0.90162373
2015-11-17,143.0,0.91575503
2015-11-18,120.0,0.96721065
2015-11-19,130.0,1.00674951
2015-11-20,113.0,0.91102046
2015-11-21,135.0,0.92227244
2015-11-22,458.0,0.96180123
2015-11-23,117.0,0.96452993
2015-11-24,240.0,0.94214731
2015-11-25,110.0,0.88942003
2015-11-26,162.0,0.8747912
2015-11-27,58.0,0.87907678
2015-11-28,65.0,0.88074028
2015-11-29,81.0,0.90759629
2015-11-30,100.0,0.86545026
2015-12-01,110.0,0.87134773
2015-12-02,102.0,0.84483999
2015-12-03,106.0,0.8063283
2015-12-04,136.0,0.81392032
2015-12-05,160.0,0.8587696
2015-12-06,267.0,0.86979187
2015-12-07,127.0,0.79386562
2015-12-08,150.0,0.78596514
2015-12-09,128.0,0.7860868
2015-12-10,138.0,0.8399682
2015-12-11,126.0,0.83151817
2015-12-12,432.0,0.99525732
2015-12-13,130.0,0.97319835
2015-12-14,219.0,0.96965766
2015-12-15,121.0,1.01842892
2015-12-16,132.0,0.98498374
2015-12-17,332.0,0.9809624
2015-12-18,252.0,0.91734028
2015-12-19,214.0,0.90443665
2015-12-20,92.0,0.92230278
2015-12-21,196.0,0.89747751
2015-12-22,145.0,0.89644194
2015-12-23,113.0,0.85935557
2015-12-24,116.0,0.87774491
2015-12-25,114.0,0.8661043
2015-12-26,101.0,0.86289287
2015-12-27,152.0,0.8465516
2015-12-28,173.0,0.87239414
2015-12-29,194.0,0.84508348
2015-12-30,159.0,0.88109893
2015-12-31,214.0,0.95315617
2016-01-01,134.0,0.94212908
2016-01-02,184.0,0.95676959
2016-01-03,140.0,0.94983006
2016-01-04,187.0,0.94864452
2016-01-05,192.0,0.97059739
2016-01-06,224.0,0.94355929
2016-01-07,242.0,0.95830619
2016-01-08,222.0,0.96605694
2016-01-09,238.0,0.97822481
2016-01-10,348.0,0.9913255
2016-01-11,286.0,1.06275415
2016-01-12,319.0,1.14950073
2016-01-13,286.0,1.13267255
2016-01-14,222.0,1.14019752
2016-01-15,328.0,1.29996228
2016-01-16,342.0,1.25592315
2016-01-17,282.0,1.23351443
2016-01-18,342.0,1.52444291
2016-01-19,361.0,1.38271248
2016-01-20,356.0,1.59637213
2016-01-21,479.0,1.53912294
2016-01-22,430.0,1.53445899
2016-01-23,436.0,1.52795529
2016-01-24,800.0,2.04427361
2016-01-25,694.0,2.53277397
2016-01-26,1002.0,2.6500597
2016-01-27,773.0,2.36073828
2016-01-28,995.0,2.41116261
2016-01-29,949.0,2.57491207
2016-01-30,997.0,2.56336069
2016-01-31,966.0,2.47952342
2016-02-01,776.0,2.21671295
2016-02-02,613.0,2.16603947
2016-02-03,711.0,2.50334001
2016-02-04,605.0,2.52249646
2016-02-05,885.0,2.55200076
2016-02-06,457.0,2.53738356
2016-02-07,491.0,2.76247025
2016-02-08,663.0,3.02670121
2016-02-09,744.0,3.6983912
2016-02-10,1168.0,4.14425755
2016-02-11,1691.0,4.64397573
2016-02-12,2072.0,6.36936092
2016-02-13,1509.0,4.41588974
2016-02-14,1226.0,4.95998287
2016-02-15,965.0,5.71886015
2016-02-16,847.0,5.26333189
2016-02-17,1077.0,3.9274509
2016-02-18,832.0,3.6640377
2016-02-19,1436.0,4.38084459
2016-02-20,678.0,4.59809685
2016-02-21,1684.0,4.28471136
2016-02-22,847.0,4.90154696
2016-02-23,1008.0,5.82967377
2016-02-24,773.0,6.15653133
2016-02-25,976.0,6.50093651
2016-02-26,1475.0,5.8241024
2016-02-27,841.0,6.3977809
