Time,ETH daily new contracts,Price
2015-07-30,0,0.0
2015-07-31,0,0.0
2015-08-01,0,0.0
2015-08-02,0,0.0
2015-08-03,0,0.0
2015-08-04,0,0.0
2015-08-05,0,0.0
2015-08-06,0,0.0
2015-08-07,8,3.49087358
2015-08-08,31,2.64024425
2015-08-09,65,0.69646382
2015-08-10,37,0.66556972
2015-08-11,27,0.70228821
2015-08-12,28,1.19412768
2015-08-13,29,1.44813585
2015-08-14,25,1.95217466
2015-08-15,24,1.73802364
2015-08-16,13,1.46309757
2015-08-17,17,1.31342125
2015-08-18,7,1.29511821
2015-08-19,13,1.26502979
2015-08-20,20,1.31215394
2015-08-21,33,1.4865005
2015-08-22,22,1.42915428
2015-08-23,46,1.40486002
2015-08-24,30,1.34696114
2015-08-25,26,1.18612492
2015-08-26,33,1.19119453
2015-08-27,34,1.15213394
2015-08-28,31,1.18332875
2015-08-29,25,1.18745327
2015-08-30,29,1.17879224
2015-08-31,15,1.23122013
2015-09-01,36,1.3388381
2015-09-02,14,1.3469727
2015-09-03,36,1.29891336
2015-09-04,33,1.27088296
2015-09-05,46,1.31005204
2015-09-06,29,1.3656491
2015-09-07,75,1.25252545
2015-09-08,13,1.23939872
2015-09-09,34,1.24503684
2015-09-10,11,1.19812691
2015-09-11,17,0.98693073
2015-09-12,32,0.99802619
2015-09-13,38,0.985183
2015-09-14,44,0.89336598
2015-09-15,10,0.97980434
2015-09-16,20,0.94147724
2015-09-17,20,0.89967048
2015-09-18,50,0.86027586
2015-09-19,44,0.84628642
2015-09-20,72,0.88392901
2015-09-21,56,0.94609672
2015-09-22,29,0.88314307
2015-09-23,40,0.90080476
2015-09-24,25,0.8330701
2015-09-25,53,0.7689485
2015-09-26,18,0.72844189
2015-09-27,6,0.77423698
2015-09-28,17,0.67991251
2015-09-29,29,0.57203287
2015-09-30,35,0.64813733
2015-10-01,16,0.72640109
2015-10-02,16,0.6599189
2015-10-03,1,0.70160943
2015-10-04,15,0.67040098
2015-10-05,24,0.66451824
2015-10-06,41,0.62358665
2015-10-07,16,0.65175253
2015-10-08,14,0.59597468
2015-10-09,16,0.66239917
2015-10-10,9,0.64317811
2015-10-11,12,0.63022649
2015-10-12,33,0.65778887
2015-10-13,67,0.60851949
2015-10-14,9,0.56445336
2015-10-15,93,0.54174834
2015-10-16,50,0.55452949
2015-10-17,42,0.53965616
