Time,LTC total supply,Price
2011-10-07,50.0,
2011-10-08,100.0,
2011-10-09,100.0,
2011-10-10,100.0,
2011-10-11,100.0,
2011-10-12,150.0,
2011-10-13,431400.0,
2011-10-14,526800.0,
2011-10-15,564550.0,
2011-10-16,610350.0,
2011-10-17,650150.0,
2011-10-18,689450.0,
2011-10-19,725850.0,
2011-10-20,761200.0,
2011-10-21,806250.0,
2011-10-22,838300.0,
2011-10-23,879100.0,
2011-10-24,915800.0,
2011-10-25,941250.0,
2011-10-26,969800.0,
2011-10-27,993100.0,
2011-10-28,1013500.0,
2011-10-29,1042500.0,
2011-10-30,1076950.0,
2011-10-31,1108200.0,
2011-11-01,1150450.0,
2011-11-02,1214950.0,
2011-11-03,1255850.0,
2011-11-04,1308650.0,
2011-11-05,1338500.0,
2011-11-06,1370900.0,
2011-11-07,1400100.0,
2011-11-08,1426200.0,
2011-11-09,1454950.0,
2011-11-10,1480450.0,
2011-11-11,1507400.0,
2011-11-12,1537150.0,
2011-11-13,1566550.0,
2011-11-14,1594400.0,
2011-11-15,1624350.0,
2011-11-16,1653450.0,
2011-11-17,1682750.0,
2011-11-18,1715150.0,
2011-11-19,1743550.0,
2011-11-20,1775950.0,
2011-11-21,1805900.0,
2011-11-22,1834750.0,
2011-11-23,1862700.0,
2011-11-24,1889050.0,
2011-11-25,1916950.0,
2011-11-26,1946500.0,
2011-11-27,1977150.0,
2011-11-28,2006800.0,
2011-11-29,2034750.0,
2011-11-30,2068750.0,
2011-12-01,2104100.0,
2011-12-02,2139950.0,
2011-12-03,2177850.0,
2011-12-04,2215100.0,
2011-12-05,2239850.0,
2011-12-06,2269850.0,
2011-12-07,2300250.0,
2011-12-08,2327350.0,
2011-12-09,2352700.0,
2011-12-10,2380350.0,
2011-12-11,2411400.0,
2011-12-12,2442050.0,
2011-12-13,2461700.0,
2011-12-14,2479150.0,
2011-12-15,2502050.0,
2011-12-16,2527800.0,
2011-12-17,2560600.0,
2011-12-18,2593200.0,
2011-12-19,2619800.0,
2011-12-20,2647550.0,
2011-12-21,2675550.0,
2011-12-22,2715500.0,
2011-12-23,2740900.0,
2011-12-24,2756050.0,
2011-12-25,2769150.0,
2011-12-26,2784200.0,
2011-12-27,2801300.0,
2011-12-28,2818700.0,
2011-12-29,2868950.0,
2011-12-30,2927650.0,
2011-12-31,2958200.0,
2012-01-01,2984700.0,
2012-01-02,3016150.0,
2012-01-03,3046100.0,
2012-01-04,3079550.0,
2012-01-05,3111000.0,
2012-01-06,3140650.0,
2012-01-07,3163900.0,
2012-01-08,3179100.0,
2012-01-09,3191100.0,
2012-01-10,3200750.0,
2012-01-11,3212350.0,
2012-01-12,3227600.0,
2012-01-13,3277200.0,
2012-01-14,3328900.0,
2012-01-15,3348200.0,
2012-01-16,3365150.0,
2012-01-17,3378150.0,
2012-01-18,3390550.0,
2012-01-19,3399800.0,
2012-01-20,3409650.0,
2012-01-21,3421550.0,
2012-01-22,3437250.0,
2012-01-23,3464500.0,
2012-01-24,3488150.0,
2012-01-25,3515300.0,
2012-01-26,3544500.0,
2012-01-27,3575000.0,
2012-01-28,3610000.0,
2012-01-29,3665400.0,
2012-01-30,3717000.0,
2012-01-31,3742650.0,
2012-02-01,3763250.0,
2012-02-02,3794600.0,
2012-02-03,3829900.0,
2012-02-04,3871250.0,
2012-02-05,3915500.0,
2012-02-06,3949300.0,
2012-02-07,3979700.0,
2012-02-08,4010400.0,
2012-02-09,4039500.0,
2012-02-10,4065500.0,
2012-02-11,4097100.0,
2012-02-12,4128700.0,
2012-02-13,4158400.0,
2012-02-14,4188650.0,
2012-02-15,4219150.0,
2012-02-16,4248000.0,
2012-02-17,4277750.0,
2012-02-18,4306350.0,
2012-02-19,4339550.0,
2012-02-20,4368200.0,
2012-02-21,4398600.0,
2012-02-22,4428150.0,
2012-02-23,4461650.0,
2012-02-24,4486500.0,
2012-02-25,4513050.0,
2012-02-26,4546450.0,
2012-02-27,4568200.0,
2012-02-28,4591300.0,
2012-02-29,4611300.0,
2012-03-01,4633500.0,
2012-03-02,4668600.0,
2012-03-03,4710200.0,
2012-03-04,4754950.0,
2012-03-05,4783400.0,
2012-03-06,4807600.0,
2012-03-07,4823400.0,
2012-03-08,4844000.0,
2012-03-09,4862650.0,
2012-03-10,4881950.0,
2012-03-11,4901650.0,
2012-03-12,4923550.0,
2012-03-13,4949750.0,
2012-03-14,4990300.0,
2012-03-15,5023350.0,
2012-03-16,5052850.0,
2012-03-17,5083450.0,
2012-03-18,5113150.0,
2012-03-19,5148950.0,
2012-03-20,5185000.0,
2012-03-21,5220450.0,
2012-03-22,5251550.0,
2012-03-23,5278250.0,
2012-03-24,5303950.0,
2012-03-25,5327700.0,
2012-03-26,5353550.0,
2012-03-27,5382650.0,
2012-03-28,5411350.0,
2012-03-29,5442000.0,
2012-03-30,5473350.0,
2012-03-31,5501300.0,
2012-04-01,5529950.0,
2012-04-02,5558600.0,
2012-04-03,5585700.0,
2012-04-04,5611450.0,
2012-04-05,5635600.0,
2012-04-06,5661350.0,
2012-04-07,5692600.0,
2012-04-08,5722600.0,
2012-04-09,5754450.0,
2012-04-10,5787750.0,
2012-04-11,5814150.0,
2012-04-12,5843050.0,
2012-04-13,5872050.0,
2012-04-14,5900100.0,
2012-04-15,5926250.0,
2012-04-16,5956650.0,
2012-04-17,5984900.0,
2012-04-18,6012450.0,
2012-04-19,6037950.0,
2012-04-20,6064950.0,
2012-04-21,6091550.0,
2012-04-22,6117100.0,
2012-04-23,6144350.0,
2012-04-24,6174550.0,
2012-04-25,6203050.0,
2012-04-26,6225200.0,
2012-04-27,6248550.0,
2012-04-28,6273250.0,
2012-04-29,6299750.0,
2012-04-30,6329100.0,
2012-05-01,6359700.0,
2012-05-02,6391450.0,
2012-05-03,6420650.0,
2012-05-04,6444850.0,
2012-05-05,6468150.0,
2012-05-06,6495250.0,
2012-05-07,6521600.0,
2012-05-08,6551100.0,
2012-05-09,6578450.0,
2012-05-10,6608000.0,
2012-05-11,6637100.0,
2012-05-12,6664400.0,
2012-05-13,6693750.0,
2012-05-14,6724900.0,
2012-05-15,6751250.0,
2012-05-16,6777150.0,
2012-05-17,6801650.0,
