Time,LTC number of daily active addresses,Price
2011-10-07,1,
2011-10-08,1,
2011-10-09,0,
2011-10-10,0,
2011-10-11,0,
2011-10-12,1,
2011-10-13,8701,
2011-10-14,2252,
2011-10-15,1156,
2011-10-16,3747,
2011-10-17,3766,
2011-10-18,3684,
2011-10-19,2669,
2011-10-20,3510,
2011-10-21,3436,
2011-10-22,2804,
2011-10-23,2992,
2011-10-24,2863,
2011-10-25,2385,
2011-10-26,3897,
2011-10-27,2315,
2011-10-28,2210,
2011-10-29,2649,
2011-10-30,3354,
2011-10-31,3279,
2011-11-01,4035,
2011-11-02,4668,
2011-11-03,3338,
2011-11-04,4122,
2011-11-05,2831,
2011-11-06,2891,
2011-11-07,2850,
2011-11-08,2800,
2011-11-09,2873,
2011-11-10,2547,
2011-11-11,2812,
2011-11-12,2731,
2011-11-13,2504,
2011-11-14,2906,
2011-11-15,4564,
2011-11-16,30959,
2011-11-17,33284,
2011-11-18,16154,
2011-11-19,3458,
2011-11-20,2884,
2011-11-21,2962,
2011-11-22,3441,
2011-11-23,2624,
2011-11-24,2702,
2011-11-25,2465,
2011-11-26,2870,
2011-11-27,2819,
2011-11-28,2393,
2011-11-29,2106,
2011-11-30,2251,
2011-12-01,2233,
2011-12-02,2378,
2011-12-03,2352,
2011-12-04,2252,
2011-12-05,1790,
2011-12-06,2039,
2011-12-07,3164,
2011-12-08,1920,
2011-12-09,1776,
2011-12-10,1745,
2011-12-11,1780,
2011-12-12,1728,
2011-12-13,1468,
2011-12-14,1373,
2011-12-15,1560,
2011-12-16,1597,
2011-12-17,1876,
2011-12-18,1849,
2011-12-19,1771,
2011-12-20,1838,
2011-12-21,1814,
2011-12-22,2169,
2011-12-23,1859,
2011-12-24,1479,
2011-12-25,1236,
2011-12-26,1275,
2011-12-27,1682,
2011-12-28,1455,
2011-12-29,2451,
2011-12-30,2931,
2011-12-31,1812,
2012-01-01,1606,
2012-01-02,1968,
2012-01-03,1923,
2012-01-04,2030,
2012-01-05,1913,
2012-01-06,1937,
2012-01-07,1648,
2012-01-08,1217,
2012-01-09,1089,
2012-01-10,1022,
2012-01-11,1113,
2012-01-12,1243,
2012-01-13,2591,
2012-01-14,2299,
2012-01-15,1481,
2012-01-16,1404,
2012-01-17,1248,
2012-01-18,1093,
2012-01-19,832,
2012-01-20,971,
2012-01-21,840,
2012-01-22,1108,
2012-01-23,1548,
2012-01-24,1553,
2012-01-25,1605,
2012-01-26,1610,
2012-01-27,1969,
2012-01-28,2083,
2012-01-29,2600,
2012-01-30,2307,
2012-01-31,1614,
2012-02-01,1602,
2012-02-02,2286,
2012-02-03,2499,
2012-02-04,2578,
2012-02-05,2652,
2012-02-06,2458,
2012-02-07,2304,
2012-02-08,2418,
2012-02-09,2340,
2012-02-10,2153,
2012-02-11,2280,
2012-02-12,2041,
2012-02-13,2225,
2012-02-14,2015,
2012-02-15,1905,
2012-02-16,1987,
2012-02-17,2040,
2012-02-18,1864,
2012-02-19,2069,
2012-02-20,2017,
2012-02-21,2096,
2012-02-22,1946,
2012-02-23,2315,
2012-02-24,1820,
2012-02-25,1761,
2012-02-26,1740,
2012-02-27,1412,
2012-02-28,1512,
2012-02-29,1476,
2012-03-01,1497,
2012-03-02,2124,
2012-03-03,2309,
2012-03-04,1906,
2012-03-05,1313,
2012-03-06,1394,
2012-03-07,1368,
2012-03-08,1377,
2012-03-09,1458,
2012-03-10,1511,
2012-03-11,1443,
2012-03-12,1548,
2012-03-13,1681,
2012-03-14,2416,
2012-03-15,2629,
