Time,LTC total addresses,Price
2011-10-07,1,
2011-10-08,2,
2011-10-09,2,
2011-10-10,2,
2011-10-11,2,
2011-10-12,3,
2011-10-13,8703,
2011-10-14,10650,
2011-10-15,11634,
2011-10-16,13752,
2011-10-17,16118,
2011-10-18,18617,
2011-10-19,20807,
2011-10-20,23177,
2011-10-21,26044,
2011-10-22,28049,
2011-10-23,30405,
2011-10-24,32725,
2011-10-25,34475,
2011-10-26,36347,
2011-10-27,37868,
2011-10-28,39394,
2011-10-29,41477,
2011-10-30,43861,
2011-10-31,46135,
2011-11-01,48993,
2011-11-02,52640,
2011-11-03,55390,
2011-11-04,58651,
2011-11-05,60873,
2011-11-06,63192,
2011-11-07,65442,
2011-11-08,67549,
2011-11-09,69788,
2011-11-10,71791,
2011-11-11,74010,
2011-11-12,76362,
2011-11-13,78349,
2011-11-14,80511,
2011-11-15,84286,
2011-11-16,114539,
2011-11-17,146693,
2011-11-18,160933,
2011-11-19,163577,
2011-11-20,165721,
2011-11-21,167954,
2011-11-22,170692,
2011-11-23,172671,
2011-11-24,174693,
2011-11-25,176418,
2011-11-26,178548,
2011-11-27,180634,
2011-11-28,182456,
2011-11-29,183971,
2011-11-30,185571,
2011-12-01,187295,
2011-12-02,189143,
2011-12-03,190937,
2011-12-04,192727,
2011-12-05,194037,
2011-12-06,195377,
2011-12-07,196822,
2011-12-08,198218,
2011-12-09,199450,
2011-12-10,200699,
2011-12-11,201988,
2011-12-12,203220,
2011-12-13,204176,
2011-12-14,205057,
2011-12-15,206139,
2011-12-16,207335,
2011-12-17,208702,
2011-12-18,210101,
2011-12-19,211351,
2011-12-20,212647,
2011-12-21,213920,
2011-12-22,215493,
2011-12-23,216821,
2011-12-24,217787,
2011-12-25,218572,
2011-12-26,219417,
2011-12-27,220456,
2011-12-28,221459,
2011-12-29,223372,
2011-12-30,225568,
2011-12-31,226846,
2012-01-01,227983,
2012-01-02,229325,
2012-01-03,230681,
2012-01-04,232066,
2012-01-05,233397,
2012-01-06,234724,
2012-01-07,235802,
2012-01-08,236566,
2012-01-09,237235,
2012-01-10,237852,
2012-01-11,238504,
2012-01-12,239361,
2012-01-13,241277,
2012-01-14,243047,
2012-01-15,243946,
2012-01-16,244743,
2012-01-17,245393,
2012-01-18,246010,
2012-01-19,246453,
2012-01-20,246915,
2012-01-21,247410,
2012-01-22,248053,
2012-01-23,249041,
2012-01-24,249989,
2012-01-25,251036,
2012-01-26,252109,
2012-01-27,253372,
2012-01-28,254798,
2012-01-29,256665,
2012-01-30,258285,
2012-01-31,259300,
2012-02-01,260206,
2012-02-02,261667,
2012-02-03,263281,
2012-02-04,265007,
2012-02-05,266853,
2012-02-06,268451,
2012-02-07,269970,
2012-02-08,271591,
2012-02-09,273116,
2012-02-10,274427,
2012-02-11,275903,
2012-02-12,277305,
2012-02-13,278576,
2012-02-14,279893,
2012-02-15,281160,
2012-02-16,282368,
2012-02-17,283696,
2012-02-18,284896,
2012-02-19,286267,
2012-02-20,287572,
2012-02-21,288934,
2012-02-22,290209,
2012-02-23,291609,
2012-02-24,292678,
2012-02-25,293696,
2012-02-26,294714,
2012-02-27,295482,
2012-02-28,296310,
2012-02-29,297079,
2012-03-01,297979,
2012-03-02,299377,
2012-03-03,300919,
2012-03-04,302149,
2012-03-05,302888,
2012-03-06,303670,
2012-03-07,304404,
2012-03-08,305186,
2012-03-09,305981,
2012-03-10,306845,
2012-03-11,307707,
2012-03-12,308586,
2012-03-13,309601,
2012-03-14,311083,
2012-03-15,312722,
2012-03-16,313866,
