Time,LTC full node data size,Price
2011-10-07,0.00028000,
2011-10-08,0.00049500,
2011-10-09,0.00049500,
2011-10-10,0.00049500,
2011-10-11,0.00049500,
2011-10-12,0.00071000,
2011-10-13,1.94981500,
2011-10-14,2.41786800,
2011-10-15,2.65030400,
2011-10-16,3.37876300,
2011-10-17,4.22907800,
2011-10-18,5.05681000,
2011-10-19,5.78838300,
2011-10-20,6.59091800,
2011-10-21,7.42896800,
2011-10-22,8.14277800,
2011-10-23,8.88640300,
2011-10-24,9.62824000,
2011-10-25,10.18811400,
2011-10-26,10.98958700,
2011-10-27,11.53583600,
2011-10-28,12.12910100,
2011-10-29,12.81873200,
2011-10-30,13.70002200,
2011-10-31,14.47682700,
2011-11-01,15.43600400,
2011-11-02,16.71592200,
2011-11-03,17.60895000,
2011-11-04,18.67865100,
2011-11-05,19.37032800,
2011-11-06,20.10744300,
2011-11-07,20.83678400,
2011-11-08,21.52809800,
2011-11-09,22.31197800,
2011-11-10,22.95192900,
2011-11-11,23.66387300,
2011-11-12,24.89892200,
2011-11-13,25.58926500,
2011-11-14,26.76968400,
2011-11-15,38.61981300,
2011-11-16,93.15425100,
2011-11-17,165.34630200,
2011-11-18,198.18983000,
2011-11-19,201.88214800,
2011-11-20,215.47191100,
2011-11-21,246.96718700,
2011-11-22,289.78930000,
2011-11-23,305.13659600,
2011-11-24,323.52687900,
2011-11-25,329.12249000,
2011-11-26,344.27780000,
2011-11-27,360.60981200,
2011-11-28,361.25463300,
2011-11-29,368.21056200,
2011-11-30,368.84135100,
2011-12-01,369.60068600,
2011-12-02,370.38812100,
2011-12-03,371.27998000,
2011-12-04,372.01708300,
2011-12-05,372.54011600,
2011-12-06,373.08459300,
2011-12-07,373.79227300,
2011-12-08,374.40816700,
2011-12-09,375.14167100,
2011-12-10,375.64533400,
2011-12-11,376.20483900,
2011-12-12,376.73030300,
2011-12-13,377.13797700,
2011-12-14,377.54581700,
2011-12-15,377.92775400,
2011-12-16,378.30615900,
2011-12-17,378.80279600,
2011-12-18,379.40996800,
2011-12-19,379.84468600,
2011-12-20,380.39725500,
2011-12-21,380.81929800,
2011-12-22,381.36174300,
2011-12-23,381.81962400,
2011-12-24,382.14114400,
2011-12-25,382.42211300,
2011-12-26,382.68770100,
2011-12-27,383.03898700,
2011-12-28,383.38776400,
2011-12-29,384.05014300,
2011-12-30,384.84453300,
2011-12-31,385.33717900,
2012-01-01,385.73572300,
2012-01-02,386.37134400,
2012-01-03,386.83039900,
2012-01-04,387.33014400,
2012-01-05,387.79944500,
2012-01-06,388.31433700,
2012-01-07,388.82851400,
2012-01-08,389.08355400,
2012-01-09,389.32226700,
